ID,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%)
C1404,79,86,86
C1405,37,43,43
C1406,55,68,70
C1407,68,77,78
C1408,35,47,48
C1409,54,66,69
C1410,59,74,77
C1411,17,36,44
C1412,40,62,65
C1413,57,78,82
C1414,38,64,69
C1415,80,88,88
C1416,65,73,74
C1417,35,42,45
C1418,39,45,48
C1419,6,13,18
C1420,35,41,46
C1421,19,32,36
C1422,22,35,38
C1423,14,30,34
C1424,13,25,30
C1425,23,40,45
C1426,22,40,40
C1427,7,19,29
C1428,18,34,38
C1429,4,12,17
C1430,22,37,41
C1431,4,16,20
C1432,43,58,60
C1433,34,53,57
C1434,42,49,54
C1435,11,30,39
C1436,70,78,78
C1437,29,29,55
C1438,42,55,56
C1439,54,64,65
C1440,34,52,56
C1441,32,53,57
C1442,36,48,51
C1443,69,80,82
C1444,28,39,46
C1445,30,46,49
C1446,57,77,78
C1447,39,53,56
C1448,21,35,41
C1449,35,44,50
C1450,52,58,58
C1451,60,73,74
C1452,69,74,74
C1453,24,37,37
C1454,31,45,47
C1455,28,49,55
C1456,26,60,67
C1457,20,41,46
C1458,35,62,67
C1459,45,62,64
C1460,17,45,54
C1461,9,25,31
C1462,21,49,54
C1463,14,36,41
C1464,55,79,83
C1465,13,33,41
C1466,19,47,54
C1467,23,46,51
C1468,22,52,58
C1469,24,48,54
C1470,76,92,96
C1471,42,64,70
C1472,,,
C1473,45,54,55
C1474,,,
C1475,,,
C1476,,,
C1477,,,
C1478,,,
C1479,14,28,28
C1480,,,
C1481,57,64,66
C1482,,,
C1483,27,41,42
C1484,13,37,48
C1485,0,4,11
C1486,64,64,64
C1487,43,61,68
C1488,30,47,49
C1489,0,0,0
C1490,83,83,83
C1491,58,61,62
C1492,78,84,84
C1493,0,8,8
C1494,0,5,14
C1495,0,0,0
C1496,,,
C1497,12,32,38
C1498,5,11,11
C1499,0,0,0
C1500,31,41,43
C1501,0,0,0
C1502,,,
C1503,21,24,24
C1504,22,38,44
C1505,13,13,13
C1506,,,
C1507,63,63,63
C1508,48,51,52
C1509,,,
C1510,33,59,66
C1511,3,10,14
C1512,21,46,52
C1513,,,
C1514,,,
C1515,,,
C1516,41,47,48
C1517,55,58,58
C1518,24,38,38
C1519,23,23,23
C1520,,,
C1521,5,18,27
C1522,0,0,0
C1523,10,22,29
C1524,25,25,25
C1525,,,
C1526,22,38,43
C1527,33,33,33
C1528,,,
C1529,,,
C1530,,,
C1531,57,61,61
C1532,,,
C1533,46,54,54
C1534,,,
