ID,Degree of urbanization,Geographic region,Historically Black College or University?,Religious affiliation,Tribal college?
C0545,City: Midsize,New England,No,N/A,No
C0546,City: Midsize,New England,No,Roman Catholic,No
C0547,City: Small,New England,No,N/A,No
C0548,City: Midsize,New England,No,N/A,No
C0549,Suburb: Large,New England,No,N/A,No
C0550,Suburb: Large,New England,No,N/A,No
C0551,City: Large,New England,No,N/A,No
C0552,City: Midsize,New England,No,N/A,No
C0553,Suburb: Midsize,New England,No,N/A,No
C0554,Suburb: Large,New England,No,Roman Catholic,No
C0555,Suburb: Large,New England,No,N/A,No
C0556,City: Small,New England,No,N/A,No
C0557,Suburb: Large,New England,No,N/A,No
C0558,Suburb: Large,New England,No,N/A,No
C0559,Town: Fringe,New England,No,N/A,No
C0560,City: Large,New England,No,N/A,No
C0561,Suburb: Large,New England,No,Roman Catholic,No
C0562,Suburb: Large,New England,No,N/A,No
C0563,Suburb: Large,New England,No,N/A,No
C0564,City: Large,New England,No,N/A,No
C0565,Rural: Fringe,New England,No,N/A,No
C0566,Suburb: Large,New England,No,N/A,No
C0567,City: Midsize,New England,No,N/A,No
C0568,Suburb: Midsize,New England,No,N/A,No
C0569,Suburb: Large,New England,No,Roman Catholic,No
C0570,City: Large,New England,No,N/A,No
C0571,Suburb: Large,New England,No,N/A,No
C0572,Suburb: Large,New England,No,N/A,No
C0573,City: Large,New England,No,N/A,No
C0574,City: Midsize,New England,No,N/A,No
C0575,Suburb: Large,New England,No,N/A,No
C0576,Suburb: Large,New England,No,N/A,No
C0577,City: Large,New England,No,N/A,No
C0578,Town: Fringe,New England,No,N/A,No
C0579,City: Midsize,New England,No,N/A,No
C0580,City: Midsize,New England,No,N/A,No
C0581,Town: Distant,Great Lakes,No,United Methodist,No
C0582,Town: Fringe,Great Lakes,No,United Methodist,No
C0583,Town: Distant,Great Lakes,No,Presbyterian Church (USA),No
C0584,Town: Fringe,Great Lakes,No,Seventh Day Adventists,No
C0585,City: Midsize,Great Lakes,No,Roman Catholic,No
C0586,Town: Distant,Great Lakes,No,N/A,No
C0587,Suburb: Large,Great Lakes,No,N/A,No
C0588,City: Midsize,Great Lakes,No,Christian Reformed Church,No
C0589,Town: Distant,Great Lakes,No,N/A,No
C0590,City: Midsize,Great Lakes,No,Lutheran Church - Missouri Synod,No
C0591,Suburb: Large,Great Lakes,No,N/A,No
C0592,City: Large,Great Lakes,No,Roman Catholic,No
C0593,Suburb: Large,Great Lakes,No,N/A,No
C0594,Town: Remote,Great Lakes,No,N/A,No
C0595,City: Midsize,Great Lakes,No,N/A,No
C0596,City: Small,Great Lakes,No,Other Protestant,No
C0597,City: Midsize,Great Lakes,No,Interdenominational,No
C0598,Suburb: Large,Great Lakes,No,N/A,No
C0599,City: Small,Great Lakes,No,Reformed Church in America,No
C0600,City: Small,Great Lakes,No,N/A,No
C0601,Town: Remote,Great Lakes,No,N/A,No
C0602,City: Small,Great Lakes,No,N/A,No
C0603,City: Small,Great Lakes,No,Roman Catholic,No
C0604,City: Large,Great Lakes,No,Roman Catholic,No
C0605,Suburb: Large,Great Lakes,No,Churches of Christ,No
C0606,City: Midsize,Great Lakes,No,N/A,No
C0607,City: Small,Great Lakes,No,N/A,No
C0608,Town: Remote,Great Lakes,No,N/A,No
C0609,City: Small,Great Lakes,No,N/A,No
C0610,City: Midsize,Great Lakes,No,N/A,No
C0611,City: Small,Great Lakes,No,N/A,No
C0612,Town: Remote,Great Lakes,No,N/A,No
C0613,Suburb: Large,Great Lakes,No,N/A,No
C0614,Rural: Distant,Great Lakes,No,United Church of Christ,No
C0615,Suburb: Large,Great Lakes,No,Other Protestant,No
C0616,Rural: Fringe,Great Lakes,No,N/A,No
C0617,Town: Distant,Great Lakes,No,Roman Catholic,No
C0618,Suburb: Small,Great Lakes,No,Free Methodist,No
C0619,Town: Remote,Great Lakes,No,Evangelical Lutheran Church,No
C0620,City: Large,Great Lakes,No,N/A,No
C0621,City: Small,Great Lakes,No,N/A,No
C0622,City: Large,Plains,No,Evangelical Lutheran Church,No
C0623,Town: Remote,Plains,No,N/A,No
C0624,City: Small,Plains,No,Other (none of the above),No
C0625,Suburb: Large,Plains,No,Baptist,No
C0626,Town: Distant,Plains,No,N/A,No
C0627,Suburb: Midsize,Plains,No,Evangelical Lutheran Church,No
C0628,City: Large,Plains,No,Lutheran Church - Missouri Synod,No
C0629,Town: Distant,Plains,No,Wisconsin Evangelical Lutheran Synod,No
C0630,Town: Fringe,Plains,No,Evangelical Lutheran Church,No
C0631,City: Large,Plains,No,United Methodist,No
C0632,City: Large,Plains,No,Presbyterian Church (USA),No
C0633,City: Small,Plains,No,N/A,No
C0634,City: Large,Plains,No,N/A,No
C0635,City: Large,Plains,No,N/A,No
C0636,Town: Distant,Plains,No,N/A,No
C0637,City: Small,Plains,No,N/A,No
C0638,Town: Remote,Plains,No,N/A,No
C0639,Suburb: Midsize,Plains,No,N/A,No
C0640,City: Large,Plains,No,Assemblies of God Church,No
C0641,Suburb: Large,Plains,No,Other Protestant,No
C0642,Suburb: Midsize,Plains,No,Roman Catholic,No
C0643,City: Small,Plains,No,N/A,No
C0644,Rural: Fringe,Plains,No,Roman Catholic,No
C0645,Town: Distant,Plains,No,Roman Catholic,No
C0646,Town: Distant,Plains,No,Evangelical Lutheran Church,No
C0647,Rural: Fringe,Plains,No,Christ and Missionary Alliance Church,No
C0648,City: Small,Plains,No,Roman Catholic,No
C0649,City: Large,Plains,No,Roman Catholic,No
C0650,City: Large,Plains,No,Roman Catholic,No
C0651,Town: Remote,Plains,No,N/A,No
C0652,Town: Distant,Plains,No,N/A,No
C0653,Rural: Remote,Southeast,Yes,N/A,No
C0654,City: Midsize,Southeast,No,Presbyterian Church (USA),No
C0655,Rural: Distant,Southeast,No,Southern Baptist,No
C0656,Town: Remote,Southeast,No,N/A,No
C0657,City: Midsize,Southeast,Yes,N/A,No
C0658,City: Midsize,Southeast,No,United Methodist,No
C0659,Town: Remote,Southeast,No,N/A,No
C0660,Town: Remote,Southeast,No,N/A,No
C0661,Town: Remote,Southeast,Yes,N/A,No
C0662,Suburb: Large,Southeast,No,Southern Baptist,No
C0663,Town: Remote,Southeast,No,N/A,No
C0664,Town: Distant,Southeast,Yes,United Methodist,No
C0665,City: Small,Southeast,No,N/A,No
C0666,City: Midsize,Southeast,Yes,United Church of Christ,No
C0667,City: Small,Southeast,No,Baptist,No
C0668,City: Large,Plains,No,Roman Catholic,No
C0669,Town: Distant,Plains,No,United Methodist,No
C0670,Town: Distant,Plains,No,N/A,No
C0671,City: Midsize,Plains,No,Christian Church (Disciples of Christ),No
C0672,Rural: Remote,Plains,No,Christian Church (Disciples of Christ),No
C0673,City: Midsize,Plains,No,N/A,No
C0674,City: Midsize,Plains,No,Assemblies of God Church,No
C0675,Suburb: Large,Plains,No,Roman Catholic,No
C0676,Town: Remote,Plains,No,Southern Baptist,No
C0677,City: Large,Plains,Yes,N/A,No
C0678,City: Small,Plains,Yes,N/A,No
C0679,City: Small,Plains,No,N/A,No
C0680,Suburb: Large,Plains,No,N/A,No
C0681,Suburb: Large,Plains,No,Baptist,No
C0682,City: Small,Plains,No,N/A,No
C0683,Town: Remote,Plains,No,Presbyterian Church (USA),No
C0684,City: Small,Plains,No,N/A,No
C0685,City: Midsize,Plains,No,N/A,No
C0686,City: Large,Plains,No,N/A,No
C0687,Town: Remote,Plains,No,N/A,No
C0688,Suburb: Large,Plains,No,N/A,No
C0689,Town: Remote,Plains,No,N/A,No
C0690,Town: Remote,Plains,No,N/A,No
C0691,Town: Distant,Plains,No,Presbyterian Church (USA),No
C0692,Suburb: Large,Plains,No,N/A,No
C0693,City: Large,Plains,No,Roman Catholic,No
C0694,City: Large,Plains,No,Roman Catholic,No
C0695,Town: Distant,Plains,No,Southern Baptist,No
C0696,City: Midsize,Plains,No,N/A,No
C0697,City: Small,Plains,No,N/A,No
C0698,City: Midsize,Plains,No,N/A,No
C0699,Suburb: Large,Plains,No,N/A,No
C0700,Suburb: Large,Plains,No,N/A,No
C0701,Town: Distant,Plains,No,Presbyterian Church (USA),No
C0702,Suburb: Large,Plains,No,N/A,No
C0703,Town: Distant,Plains,No,Christian Church (Disciples of Christ),No
C0704,Town: Remote,Rocky Mountains,No,Roman Catholic,No
C0705,City: Midsize,Rocky Mountains,No,N/A,No
C0706,City: Small,Rocky Mountains,No,Roman Catholic,No
C0707,Town: Remote,Rocky Mountains,No,N/A,No
C0708,Town: Remote,Rocky Mountains,No,N/A,No
C0709,City: Small,Rocky Mountains,No,N/A,No
C0710,Town: Remote,Rocky Mountains,No,N/A,No
C0711,City: Midsize,Rocky Mountains,No,United Church of Christ,No
C0712,Town: Remote,Rocky Mountains,No,N/A,No
C0713,Suburb: Large,Plains,No,N/A,No
C0714,Town: Remote,Plains,No,N/A,No
C0715,Town: Distant,Plains,No,Lutheran Church - Missouri Synod,No
C0716,City: Large,Plains,No,Roman Catholic,No
C0717,Town: Distant,Plains,No,N/A,No
C0718,City: Large,Plains,No,Interdenominational,No
C0719,Town: Distant,Plains,No,Presbyterian Church (USA),No
C0720,Town: Remote,Plains,No,N/A,No
C0721,Town: Distant,Plains,No,Evangelical Lutheran Church,No
C0722,City: Large,Plains,No,N/A,No
C0723,City: Large,Plains,No,United Methodist,No
C0724,City: Large,Plains,No,N/A,No
C0725,Rural: Distant,Plains,No,N/A,No
C0726,City: Large,Plains,No,Roman Catholic,No
C0727,City: Large,Plains,No,Seventh Day Adventists,No
C0728,Town: Distant,Plains,No,N/A,No
C0729,Town: Remote,Plains,No,Churches of Christ,No
C0730,City: Midsize,Far West,No,N/A,No
C0731,City: Midsize,Far West,No,N/A,No
C0732,Town: Remote,Far West,No,N/A,No
C0733,Town: Distant,Far West,No,N/A,No
C0734,Rural: Distant,New England,No,N/A,No
C0735,Town: Remote,New England,No,N/A,No
C0736,Rural: Fringe,New England,No,N/A,No
C0737,Rural: Distant,New England,No,N/A,No
C0738,City: Midsize,New England,No,N/A,No
C0739,Suburb: Small,New England,No,N/A,No
C0740,Town: Distant,New England,No,N/A,No
C0741,City: Midsize,New England,No,N/A,No
C0742,Town: Remote,New England,No,N/A,No
C0743,City: Small,New England,No,Roman Catholic,No
C0744,Suburb: Midsize,New England,No,Roman Catholic,No
C0745,Town: Fringe,New England,No,N/A,No
C0746,Suburb: Midsize,New England,No,Roman Catholic,No
C0747,Suburb: Large,Mid East,No,Presbyterian Church (USA),No
C0748,Suburb: Large,Mid East,No,Roman Catholic,No
C0749,Suburb: Large,Mid East,No,United Methodist,No
C0750,Suburb: Large,Mid East,No,United Methodist,No
C0751,Suburb: Large,Mid East,No,N/A,No
C0752,Suburb: Large,Mid East,No,Roman Catholic,No
C0753,Suburb: Large,Mid East,No,N/A,No
C0754,City: Small,Mid East,No,Roman Catholic,No
C0755,Suburb: Large,Mid East,No,N/A,No
C0756,City: Large,Mid East,No,N/A,No
C0757,Suburb: Large,Mid East,No,N/A,No
C0758,Suburb: Large,Mid East,No,N/A,No
C0759,Suburb: Large,Mid East,No,N/A,No
C0760,City: Large,Mid East,No,N/A,No
C0761,Suburb: Large,Mid East,No,N/A,No
C0762,Suburb: Large,Mid East,No,N/A,No
C0763,Suburb: Large,Mid East,No,N/A,No
C0764,City: Small,Mid East,No,N/A,No
C0765,City: Small,Mid East,No,N/A,No
C0766,City: Large,Mid East,No,N/A,No
C0767,City: Large,Mid East,No,Roman Catholic,No
C0768,Suburb: Large,Mid East,No,Roman Catholic,No
C0769,Suburb: Large,Mid East,No,Roman Catholic,No
C0770,Suburb: Large,Mid East,No,N/A,No
C0771,Suburb: Midsize,Mid East,No,N/A,No
C0772,City: Small,Mid East,No,N/A,No
C0773,Suburb: Large,Mid East,No,N/A,No
C0774,Suburb: Large,Mid East,No,N/A,No
C0775,Town: Remote,Southwest,No,N/A,No
C0776,Town: Remote,Southwest,No,N/A,No
C0777,Town: Remote,Southwest,No,N/A,No
C0778,City: Large,Southwest,No,N/A,No
C0779,Suburb: Midsize,Southwest,No,N/A,No
C0780,Town: Distant,Southwest,No,N/A,No
C0781,Rural: Fringe,Southwest,No,N/A,No
C0782,Town: Remote,Southwest,No,N/A,No
C0783,City: Large,Mid East,No,N/A,No
C0784,Suburb: Large,Mid East,No,N/A,No
C0785,Town: Remote,Mid East,No,N/A,No
C0786,Town: Fringe,Mid East,No,N/A,No
C0787,City: Large,Mid East,No,N/A,No
C0788,City: Large,Mid East,No,N/A,No
C0789,City: Large,Mid East,No,Roman Catholic,No
C0790,Town: Fringe,Mid East,No,N/A,No
C0791,Town: Remote,Mid East,No,N/A,No
C0792,Town: Distant,Mid East,No,N/A,No
C0793,City: Large,Mid East,No,N/A,No
C0794,City: Large,Mid East,No,N/A,No
C0795,Suburb: Large,Mid East,No,Lutheran Church - Missouri Synod,No
C0796,City: Large,Mid East,No,N/A,No
C0797,City: Small,Mid East,No,N/A,No
C0798,City: Large,Mid East,No,N/A,No
C0799,City: Large,Mid East,No,N/A,No
C0800,City: Large,Mid East,No,N/A,No
C0801,City: Large,Mid East,No,N/A,No
C0802,City: Large,Mid East,No,N/A,No
C0803,City: Large,Mid East,No,N/A,No
C0804,City: Large,Mid East,No,N/A,No
C0805,City: Large,Mid East,No,N/A,No
C0806,City: Large,Mid East,No,N/A,No
C0807,City: Large,Mid East,No,N/A,No
C0808,City: Large,Mid East,No,N/A,No
C0809,City: Large,Mid East,No,N/A,No
C0810,City: Large,Mid East,No,N/A,No
C0811,Suburb: Large,Mid East,No,N/A,No
C0812,Suburb: Large,Mid East,No,N/A,No
C0813,Suburb: Large,Mid East,No,N/A,No
C0814,City: Small,Mid East,No,N/A,No
C0815,City: Large,Mid East,No,N/A,No
C0816,City: Large,Mid East,No,Roman Catholic,No
C0817,Rural: Fringe,Mid East,No,N/A,No
C0818,Town: Remote,Mid East,No,N/A,No
C0819,Suburb: Large,Mid East,No,Roman Catholic,No
C0820,Town: Distant,Mid East,No,N/A,No
C0821,Suburb: Large,Mid East,No,N/A,No
C0822,Rural: Remote,Mid East,No,Wesleyan,No
C0823,Suburb: Large,Mid East,No,Roman Catholic,No
C0824,Suburb: Small,Mid East,No,N/A,No
C0825,Town: Distant,Mid East,No,Baptist,No
C0826,City: Midsize,Mid East,No,Roman Catholic,No
C0827,City: Large,Mid East,No,N/A,No
C0828,Suburb: Large,Mid East,No,N/A,No
C0829,Suburb: Large,Mid East,No,N/A,No
C0830,City: Large,Mid East,No,Roman Catholic,No
C0831,Suburb: Large,Mid East,No,N/A,No
C0832,Suburb: Large,Mid East,No,N/A,No
C0833,City: Large,Mid East,No,N/A,No
C0834,City: Large,Mid East,No,N/A,No
C0835,Suburb: Large,Mid East,No,N/A,No
C0836,Suburb: Large,Mid East,No,Roman Catholic,No
C0837,Suburb: Large,Mid East,No,Roman Catholic,No
C0838,City: Large,Mid East,No,Roman Catholic,No
C0839,Suburb: Large,Mid East,No,N/A,No
C0840,Suburb: Large,Mid East,No,N/A,No
C0841,City: Large,Mid East,No,N/A,No
C0842,City: Large,Mid East,No,N/A,No
C0843,Suburb: Large,Mid East,No,Roman Catholic,No
C0844,Suburb: Large,Mid East,No,N/A,No
C0845,Suburb: Large,Mid East,No,Christ and Missionary Alliance Church,No
C0846,City: Large,Mid East,No,N/A,No
C0847,Rural: Distant,Mid East,No,N/A,No
C0848,City: Large,Mid East,No,N/A,No
C0849,City: Small,Mid East,No,N/A,No
C0850,Suburb: Large,Mid East,No,Free Methodist,No
C0851,Suburb: Large,Mid East,No,N/A,No
C0852,City: Midsize,Mid East,No,N/A,No
C0853,City: Small,Mid East,No,N/A,No
C0854,Town: Remote,Mid East,No,Roman Catholic,No
C0855,City: Large,Mid East,No,N/A,No
C0856,Town: Remote,Mid East,No,N/A,No
C0857,City: Small,Mid East,No,N/A,No
C0858,Suburb: Large,Mid East,No,N/A,No
C0859,Suburb: Large,Mid East,No,N/A,No
C0860,Suburb: Large,Mid East,No,Roman Catholic,No
C0861,Suburb: Small,Mid East,No,N/A,No
C0862,City: Large,Mid East,No,N/A,No
C0863,Suburb: Large,Mid East,No,Roman Catholic,No
C0864,City: Large,Mid East,No,Roman Catholic,No
C0865,Town: Remote,Mid East,No,N/A,No
C0866,Town: Remote,Mid East,No,N/A,No
C0867,Town: Remote,Mid East,No,N/A,No
C0868,Town: Distant,Mid East,No,N/A,No
C0869,Suburb: Large,Mid East,No,N/A,No
C0870,Rural: Distant,Mid East,No,N/A,No
C0871,City: Small,Mid East,No,N/A,No
C0872,Suburb: Midsize,Mid East,No,N/A,No
C0873,Suburb: Large,Mid East,No,N/A,No
C0874,Suburb: Large,Mid East,No,N/A,No
C0875,City: Midsize,Mid East,No,N/A,No
C0876,Suburb: Midsize,Mid East,No,N/A,No
C0877,Town: Fringe,Mid East,No,N/A,No
C0878,City: Large,Mid East,No,N/A,No
C0879,Town: Distant,Mid East,No,N/A,No
C0880,Town: Distant,Mid East,No,N/A,No
C0881,Town: Distant,Mid East,No,N/A,No
C0882,Suburb: Large,Mid East,No,N/A,No
C0883,Town: Remote,Mid East,No,N/A,No
C0884,Town: Distant,Mid East,No,N/A,No
C0885,Town: Remote,Mid East,No,N/A,No
C0886,Suburb: Large,Mid East,No,N/A,No
C0887,Suburb: Large,Mid East,No,N/A,No
C0888,Town: Distant,Mid East,No,N/A,No
C0889,Suburb: Small,Mid East,No,N/A,No
C0890,City: Large,Mid East,No,N/A,No
C0891,City: Midsize,Mid East,No,N/A,No
C0892,City: Large,Mid East,No,N/A,No
C0893,City: Large,Mid East,No,N/A,No
C0894,City: Small,Mid East,No,N/A,No
C0895,City: Small,Mid East,No,N/A,No
C0896,Suburb: Large,US Service schools,No,N/A,No
C0897,City: Small,Mid East,No,N/A,No
C0898,Suburb: Large,Mid East,No,N/A,No
C0899,City: Large,Mid East,No,Lutheran Church in America,No
C0900,Rural: Distant,Mid East,No,N/A,No
C0901,City: Large,Mid East,No,N/A,No
C0902,Town: Distant,Southeast,No,N/A,No
C0903,Town: Fringe,Southeast,No,Christian Church (Disciples of Christ),No
C0904,Suburb: Midsize,Southeast,No,Roman Catholic,No
C0905,City: Large,Southeast,Yes,United Methodist,No
C0906,Town: Fringe,Southeast,No,United Methodist,No
C0907,Town: Fringe,Southeast,No,Baptist,No
C0908,Suburb: Midsize,Southeast,No,N/A,No
C0909,Town: Distant,Southeast,No,Southern Baptist,No
C0910,Suburb: Large,Southeast,No,Presbyterian Church (USA),No
C0911,City: Midsize,Southeast,No,United Methodist,No
C0912,City: Small,Southeast,No,N/A,No
C0913,Town: Distant,Southeast,Yes,N/A,No
C0914,Suburb: Midsize,Southeast,No,N/A,No
C0915,City: Midsize,Southeast,Yes,N/A,No
C0916,Town: Distant,Southeast,No,Southern Baptist,No
C0917,City: Large,Southeast,No,United Methodist,No
C0918,City: Large,Southeast,No,Friends,No
C0919,City: Midsize,Southeast,No,United Methodist,No
C0920,City: Large,Southeast,Yes,N/A,No
C0921,Rural: Distant,Southeast,No,Presbyterian Church (USA),No
C0922,City: Small,Southeast,No,Evangelical Lutheran Church,No
C0923,Suburb: Midsize,Southeast,Yes,African Methodist Episcopal Zion Church,No
C0924,Suburb: Large,Southeast,No,N/A,No
C0925,City: Large,Southeast,No,N/A,No
C0926,City: Midsize,Southeast,No,United Methodist,No
C0927,Suburb: Large,Southeast,No,Presbyterian Church (USA),No
C0928,Town: Fringe,Southeast,No,Original Free Will Baptist,No
C0929,City: Large,Southeast,Yes,N/A,No
C0930,City: Small,Southeast,No,N/A,No
C0931,City: Small,Southeast,No,N/A,No
C0932,City: Large,Southeast,No,N/A,No
C0933,City: Large,Southeast,No,N/A,No
C0934,City: Midsize,Southeast,Yes,N/A,No
C0935,City: Large,Southeast,No,N/A,No
C0936,City: Small,Southeast,No,United Methodist,No
C0937,City: Midsize,Southeast,No,N/A,No
C0938,City: Large,Southeast,No,Presbyterian Church (USA),No
C0939,Town: Distant,Southeast,No,N/A,No
C0940,Rural: Distant,Southeast,No,United Methodist,No
C0941,City: Large,Southeast,No,Presbyterian Church (USA),No
C0942,Town: Distant,Southeast,No,Christian Churches and Churches of Christ,No
C0943,City: Large,Southeast,Yes,Protestant Episcopal,No
C0944,City: Midsize,Southeast,No,Moravian Church,No
C0945,City: Large,Southeast,Yes,Baptist,No
C0946,Town: Distant,Southeast,No,Presbyterian Church (USA),No
C0947,City: Midsize,Southeast,No,N/A,No
C0948,Suburb: Large,Southeast,No,N/A,No
C0949,Suburb: Large,Southeast,No,N/A,No
C0950,City: Midsize,Southeast,Yes,N/A,No
C0951,Rural: Fringe,Southeast,No,N/A,No
C0952,Town: Remote,Plains,No,N/A,No
C0953,Town: Remote,Plains,No,Presbyterian Church (USA),No
C0954,Rural: Fringe,Plains,No,Roman Catholic,No
C0955,Rural: Remote,Plains,No,N/A,No
C0956,Town: Remote,Plains,No,N/A,No
C0957,City: Small,Plains,No,N/A,No
C0958,City: Midsize,Plains,No,N/A,No
C0959,Town: Remote,Plains,No,N/A,No
C0960,City: Midsize,Great Lakes,No,N/A,No
C0961,Town: Fringe,Great Lakes,No,Brethren Church,No
C0962,Suburb: Large,Great Lakes,No,United Methodist,No
C0963,Town: Distant,Great Lakes,No,Mennonite Church,No
C0964,Town: Fringe,Great Lakes,No,N/A,No
C0965,Suburb: Large,Great Lakes,No,Evangelical Lutheran Church,No
C0966,City: Large,Great Lakes,No,N/A,No
C0967,Town: Fringe,Great Lakes,No,Baptist,No
C0968,Rural: Fringe,Great Lakes,Yes,N/A,No
C0969,City: Large,Great Lakes,No,N/A,No
C0970,Town: Distant,Great Lakes,No,Other Protestant,No
C0971,City: Large,Great Lakes,No,N/A,No
C0972,City: Midsize,Great Lakes,No,Roman Catholic,No
C0973,Town: Distant,Great Lakes,No,United Church of Christ,No
C0974,Suburb: Small,Great Lakes,No,N/A,No
C0975,Town: Distant,Great Lakes,No,Church of God,No
C0976,Town: Distant,Great Lakes,No,United Church of Christ,No
C0977,Town: Fringe,Great Lakes,No,N/A,No
C0978,Suburb: Large,Great Lakes,No,Roman Catholic,No
C0979,Rural: Fringe,Great Lakes,No,N/A,No
C0980,Suburb: Large,Great Lakes,No,N/A,No
C0981,Town: Distant,Great Lakes,No,N/A,No
C0982,Suburb: Large,Great Lakes,No,N/A,No
C0983,Suburb: Large,Great Lakes,No,Roman Catholic,No
C0984,City: Small,Great Lakes,No,Friends,No
C0985,Town: Fringe,Great Lakes,No,N/A,No
C0986,Town: Fringe,Great Lakes,No,N/A,No
C0987,Town: Fringe,Great Lakes,No,United Methodist,No
C0988,Town: Distant,Great Lakes,No,Church of the Nazarene,No
C0989,Suburb: Large,Great Lakes,No,Roman Catholic,No
C0990,Town: Distant,Great Lakes,No,Presbyterian Church (USA),No
C0991,Suburb: Large,Great Lakes,No,Roman Catholic,No
C0992,Town: Fringe,Great Lakes,No,N/A,No
C0993,City: Large,Great Lakes,No,Roman Catholic,No
C0994,Town: Fringe,Great Lakes,No,United Methodist,No
C0995,Rural: Fringe,Great Lakes,No,N/A,No
C0996,Rural: Fringe,Great Lakes,No,N/A,No
C0997,Town: Distant,Great Lakes,No,N/A,No
C0998,Suburb: Small,Great Lakes,No,N/A,No
C0999,City: Large,Great Lakes,No,N/A,No
C1000,Town: Distant,Great Lakes,No,N/A,No
C1001,Suburb: Large,Great Lakes,No,United Methodist,No
C1002,Suburb: Large,Great Lakes,No,United Methodist,No
C1003,Rural: Distant,Great Lakes,No,N/A,No
C1004,Town: Fringe,Great Lakes,No,N/A,No
C1005,City: Small,Great Lakes,No,Roman Catholic,No
C1006,Town: Distant,Great Lakes,No,N/A,No
C1007,City: Large,Great Lakes,No,N/A,No
C1008,City: Large,Great Lakes,No,N/A,No
C1009,Rural: Fringe,Great Lakes,No,N/A,No
C1010,Suburb: Large,Great Lakes,No,Roman Catholic,No
C1011,Suburb: Large,Great Lakes,No,Roman Catholic,No
C1012,Rural: Fringe,Great Lakes,Yes,African Methodist Episcopal,No
C1013,Rural: Fringe,Great Lakes,No,Friends,No
C1014,City: Small,Great Lakes,No,Lutheran Church in America,No
C1015,Town: Distant,Great Lakes,No,N/A,No
C1016,Suburb: Large,Great Lakes,No,N/A,No
C1017,City: Large,Great Lakes,No,Roman Catholic,No
C1018,City: Small,Great Lakes,No,N/A,No
C1019,Town: Distant,Southwest,No,American Baptist,No
C1020,Town: Distant,Southwest,No,Wesleyan,No
C1021,Suburb: Large,Southwest,No,Church of the Nazarene,No
C1022,City: Small,Southwest,No,N/A,No
C1023,Suburb: Large,Southwest,No,N/A,No
C1024,Town: Remote,Southwest,No,N/A,No
C1025,Rural: Distant,Southwest,Yes,N/A,No
C1026,Town: Remote,Southwest,No,N/A,No
C1027,Town: Remote,Southwest,No,N/A,No
C1028,City: Large,Southwest,No,Churches of Christ,No
C1029,Rural: Distant,Southwest,No,N/A,No
C1030,Town: Distant,Southwest,No,N/A,No
C1031,Town: Distant,Southwest,No,Baptist,No
C1032,City: Large,Southwest,No,United Methodist,No
C1033,Suburb: Midsize,Southwest,No,N/A,No
C1034,City: Large,Southwest,No,Other Protestant,No
C1035,Town: Fringe,Southwest,No,N/A,No
C1036,Rural: Fringe,Southwest,No,Roman Catholic,No
C1037,Town: Distant,Southwest,No,N/A,No
C1038,Town: Distant,Southwest,No,N/A,No
C1039,Suburb: Large,Southwest,No,Pentecostal Holiness Church,No
C1040,Town: Remote,Southwest,No,N/A,No
C1041,City: Large,Southwest,No,Presbyterian Church (USA),No
C1042,City: Large,Far West,No,Lutheran Church - Missouri Synod,No
C1043,Town: Remote,Far West,No,N/A,No
C1044,Town: Fringe,Far West,No,Friends,No
C1045,City: Large,Far West,No,N/A,No
C1046,Town: Distant,Far West,No,American Baptist,No
C1047,Suburb: Large,Far West,No,Roman Catholic,No
C1048,City: Midsize,Far West,No,Christian Church (Disciples of Christ),No
C1049,Town: Remote,Far West,No,N/A,No
C1050,City: Small,Far West,No,N/A,No
C1051,City: Midsize,Far West,No,N/A,No
C1052,Suburb: Large,Far West,No,N/A,No
C1053,City: Large,Far West,No,N/A,No
C1054,City: Large,Far West,No,Roman Catholic,No
C1055,City: Large,Far West,No,N/A,No
C1056,Suburb: Midsize,Far West,No,N/A,No
C1057,City: Large,Far West,No,Church of God,No
C1058,City: Midsize,Far West,No,Baptist,No
C1059,City: Midsize,Far West,No,N/A,No
C1060,Town: Fringe,Far West,No,N/A,No
C1061,Suburb: Large,Mid East,No,Other (none of the above),No
C1062,City: Small,Mid East,No,United Methodist,No
C1063,Town: Distant,Mid East,No,United Methodist,No
C1064,Rural: Fringe,Mid East,No,Roman Catholic,No
C1065,City: Small,Mid East,No,Roman Catholic,No
C1066,Suburb: Large,Mid East,No,Presbyterian Church (USA),No
C1067,City: Small,Mid East,No,N/A,No
C1068,Suburb: Large,Mid East,No,N/A,No
C1069,Town: Distant,Mid East,No,N/A,No
C1070,Suburb: Large,Mid East,No,Roman Catholic,No
C1071,Suburb: Small,Mid East,No,N/A,No
C1072,City: Large,Mid East,No,Roman Catholic,No
C1073,City: Large,Mid East,No,N/A,No
C1074,City: Midsize,Mid East,No,N/A,No
C1075,City: Large,Mid East,No,N/A,No
C1076,City: Large,Mid East,No,Roman Catholic,No
C1077,Suburb: Large,Mid East,Yes,N/A,No
C1078,Town: Remote,Mid East,No,N/A,No
C1079,Suburb: Large,Mid East,No,N/A,No
C1080,City: Small,Mid East,No,N/A,No
C1081,City: Large,Mid East,No,N/A,No
C1082,City: Large,Mid East,No,Roman Catholic,No
C1083,City: Small,Mid East,No,N/A,No
C1084,Suburb: Large,Mid East,No,American Baptist,No
C1085,Town: Fringe,Mid East,No,N/A,No
C1086,Suburb: Large,Mid East,No,Church of Brethren,No
C1087,City: Small,Mid East,No,N/A,No
