ID,Control,Highest degree offered,ACT Composite score (75th percentile),Tuition and fees 2013-14 ($),Admission rate (%)
C0656,Public,Doctoral degree,22,6562,89
C0657,Public,Doctoral degree,21,6348,65
C0658,Private,Master's degree,28,32520,47
C0659,Public,Doctoral degree,27,6760,59
C0660,Public,Doctoral degree,24,5640,43
C0661,Public,Master's degree,19,5916,23
C0662,Private,Doctoral degree,27,14868,67
C0663,Public,Doctoral degree,28,6772,65
C0664,Private,Bachelor's degree,14,8900,14
C0665,Public,Doctoral degree,27,6744,66
C0666,Private,Bachelor's degree,21,10227,36
C0667,Private,Doctoral degree,28,10800,49
C0668,Private,Master's degree,24,24950,61
C0669,Private,Bachelor's degree,24,21320,65
C0670,Public,Master's degree,24,7265,81
C0671,Private,Master's degree,,7115,
C0672,Private,Master's degree,23,23300,59
C0673,Private,Master's degree,28,22295,81
C0674,Private,Master's degree,26,20040,64
C0675,Private,Master's degree,25,22684,65
C0676,Private,Master's degree,25,18770,68
C0677,Public,Bachelor's degree,,5220,
C0678,Public,Master's degree,,6838,
C0679,Private,Doctoral degree,25,15150,66
C0680,Private,Doctoral degree,27,25002,76
C0681,Private,Doctoral degree,24,21790,61
C0682,Public,Master's degree,24,5376,97
C0683,Private,Master's degree,21,18300,22
C0684,Public,Master's degree,,6400,
C0685,Public,Doctoral degree,28,9415,79
C0686,Public,Doctoral degree,27,9456,33
C0687,Public,Doctoral degree,31,9510,82
C0688,Public,Doctoral degree,26,9474,74
C0689,Public,Master's degree,30,7368,72
C0690,Public,Master's degree,25,6390,72
C0691,Private,Bachelor's degree,25,18330,13
C0692,Private,Master's degree,,10600,96
C0693,Private,Doctoral degree,28,31290,75
C0694,Private,Doctoral degree,30,36726,64
C0695,Private,Doctoral degree,26,20040,90
C0696,Private,Master's degree,26,27954,68
C0697,Public,Master's degree,25,6863,85
C0698,Public,Doctoral degree,26,6908,85
C0699,Private,Doctoral degree,34,44841,16
C0700,Private,Doctoral degree,27,23760,58
C0701,Private,Bachelor's degree,27,21680,72
C0702,Private,Bachelor's degree,28,31000,58
C0703,Private,Doctoral degree,26,20650,75
C0704,Private,Bachelor's degree,26,27914,53
C0705,Public,Master's degree,,5745,
C0706,Private,Master's degree,,20960,73
C0707,Public,Master's degree,27,6464,89
C0708,Public,Doctoral degree,27,6752,84
C0709,Public,Doctoral degree,26,6045,94
C0710,Public,Master's degree,22,5480,100
C0711,Private,Master's degree,25,23718,67
C0712,Public,Bachelor's degree,,4141,
C0713,Private,Doctoral degree,,6300,
C0714,Public,Master's degree,,5600,
C0715,Private,Master's degree,27,24750,72
C0716,Private,Doctoral degree,30,34330,77
C0717,Private,Bachelor's degree,26,26180,72
C0718,Private,Master's degree,24,18256,58
C0719,Private,Master's degree,26,25520,74
C0720,Public,Master's degree,25,6542,85
C0721,Private,Master's degree,23,27146,68
C0722,Public,Doctoral degree,26,6550,71
C0723,Private,Master's degree,26,27242,77
C0724,Public,Doctoral degree,28,8060,64
C0725,Public,Master's degree,,6188,
C0726,Private,Doctoral degree,26,26934,57
C0727,Private,Master's degree,26,20470,52
C0728,Public,Master's degree,,5574,
C0729,Private,Master's degree,22,15600,49
C0730,Public,Doctoral degree,24,6690,85
C0731,Public,Doctoral degree,26,6610,84
C0732,Public,Bachelor's degree,,2700,
C0733,Private,Master's degree,,28483,
C0734,Private,Bachelor's degree,,37300,83
C0735,Private,Doctoral degree,34,46752,10
C0736,Private,Doctoral degree,21,31000,85
C0737,Private,Doctoral degree,,33000,90
C0738,Private,Doctoral degree,,28884,79
C0739,Public,Doctoral degree,,16496,78
C0740,Public,Master's degree,,12776,82
C0741,Public,Bachelor's degree,,13762,73
C0742,Public,Doctoral degree,23,12610,77
C0743,Private,Doctoral degree,21,28055,89
C0744,Private,Bachelor's degree,27,35204,74
C0745,Public,Master's degree,,7065,
C0746,Private,Bachelor's degree,,19800,
C0747,Private,Master's degree,,25880,55
C0748,Private,Doctoral degree,25,29000,64
C0749,Private,Master's degree,23,30540,91
C0750,Private,Doctoral degree,27,44068,77
C0751,Private,Doctoral degree,,34882,73
C0752,Private,Doctoral degree,23,29990,88
C0753,Private,Doctoral degree,,37348,78
C0754,Private,Master's degree,,29606,78
C0755,Public,Doctoral degree,,12380,59
C0756,Public,Doctoral degree,,10653,41
C0757,Public,Doctoral degree,,10918,80
C0758,Private,Doctoral degree,25,31018,78
C0759,Public,Doctoral degree,,11318,65
C0760,Public,Doctoral degree,29,15218,65
C0761,Private,Doctoral degree,35,40170,7
C0762,Public,Master's degree,26,13388,55
C0763,Private,Master's degree,25,35270,72
C0764,Public,Doctoral degree,,13348,59
C0765,Public,Doctoral degree,,13499,60
C0766,Public,Doctoral degree,,12998,54
C0767,Private,Doctoral degree,21,32284,54
C0768,Private,Doctoral degree,27,35820,79
C0769,Private,Doctoral degree,,31095,48
C0770,Private,Doctoral degree,32,44490,38
C0771,Public,Doctoral degree,24,12322,62
C0772,Public,Master's degree,,5700,
C0773,Public,Master's degree,,14730,43
C0774,Public,Doctoral degree,,11918,68
C0775,Public,Master's degree,22,4558,63
C0776,Public,Master's degree,,4000,
C0777,Public,Doctoral degree,29,5714,41
C0778,Public,Doctoral degree,25,6846,65
C0779,Public,Doctoral degree,24,6220,85
C0780,Public,Bachelor's degree,,4060,
C0781,Private,Master's degree,,14280,
C0782,Public,Master's degree,,4723,
C0783,Private,Master's degree,,20450,77
C0784,Private,Doctoral degree,24,30800,68
C0785,Private,Doctoral degree,27,25430,70
C0786,Private,Doctoral degree,,46370,38
C0787,Private,Bachelor's degree,32,44790,21
C0788,Private,Master's degree,,11025,
C0789,Private,Master's degree,27,33332,73
C0790,Private,Bachelor's degree,,29410,78
C0791,Private,Doctoral degree,28,40540,64
C0792,Private,Master's degree,32,46380,26
C0793,Private,Master's degree,,17530,55
C0794,Private,Doctoral degree,34,49138,7
C0795,Private,Master's degree,20,28095,67
C0796,Private,Master's degree,33,41400,8
C0797,Private,Doctoral degree,34,45358,16
C0798,Public,Master's degree,,6210,25
C0799,Public,Master's degree,,6184,32
C0800,Public,Master's degree,,6158,100
C0801,Public,Doctoral degree,,6089,34
C0802,Public,Doctoral degree,,,
C0803,Public,Doctoral degree,,6129,30
C0804,Public,Master's degree,,6059,34
C0805,Public,Master's degree,,6108,23
C0806,Public,Bachelor's degree,,6032,91
C0807,Public,Bachelor's degree,,6069,77
C0808,Public,Master's degree,,6207,37
C0809,Public,Master's degree,,6096,35
C0810,Private,Doctoral degree,25,22850,79
C0811,Private,Doctoral degree,,24090,49
C0812,Private,Doctoral degree,23,24790,72
C0813,Private,Doctoral degree,,28390,78
C0814,Private,Master's degree,27,38150,80
C0815,Public,Master's degree,,5105,45
C0816,Private,Doctoral degree,30,43902,47
C0817,Private,Bachelor's degree,33,46080,27
C0818,Private,Bachelor's degree,27,38930,84
C0819,Private,Master's degree,,19940,81
C0820,Private,Master's degree,,46165,49
C0821,Private,Doctoral degree,28,37400,59
C0822,Private,Master's degree,28,27728,91
C0823,Private,Master's degree,24,32770,92
C0824,Private,Doctoral degree,,38400,67
C0825,Private,Master's degree,,27465,88
C0826,Private,Master's degree,26,30460,62
C0827,Private,Doctoral degree,22,34120,87
C0828,Private,Doctoral degree,23,34070,81
C0829,Private,Master's degree,,,
C0830,Private,Master's degree,27,35725,66
C0831,Private,Doctoral degree,,35370,77
C0832,Private,Master's degree,,31290,37
C0833,Private,Bachelor's degree,26,26640,75
C0834,Private,Doctoral degree,,23812,54
C0835,Private,Doctoral degree,,17576,57
C0836,Private,Doctoral degree,25,25710,73
C0837,Private,Master's degree,24,26250,86
C0838,Private,Master's degree,23,30290,73
C0839,Private,Doctoral degree,,29624,68
C0840,Private,Master's degree,25,31260,57
C0841,Private,Doctoral degree,28,40426,67
C0842,Private,Doctoral degree,32,44848,26
C0843,Private,Doctoral degree,25,28200,66
C0844,Private,Doctoral degree,24,30780,74
C0845,Private,Doctoral degree,22,23250,97
C0846,Private,Doctoral degree,25,38069,77
C0847,Private,Bachelor's degree,25,25261,75
C0848,Private,Doctoral degree,32,41328,75
C0849,Private,Doctoral degree,31,46269,41
C0850,Private,Master's degree,25,27364,73
C0851,Private,Doctoral degree,31,34424,60
C0852,Private,Doctoral degree,32,45372,36
C0853,Private,Doctoral degree,,28000,57
C0854,Private,Master's degree,27,29589,80
C0855,Private,Master's degree,,20700,64
C0856,Private,Master's degree,,46040,46
C0857,Private,Master's degree,,27684,78
C0858,Private,Master's degree,20,26340,82
C0859,Private,Master's degree,,48696,62
C0860,Private,Master's degree,27,31368,68
C0861,Private,Master's degree,30,45874,35
C0862,Private,Master's degree,25,21878,75
C0863,Private,Doctoral degree,27,28430,63
C0864,Private,Doctoral degree,27,37260,53
C0865,Public,Bachelor's degree,26,7294,55
C0866,Public,Bachelor's degree,,7181,78
C0867,Public,Bachelor's degree,,7200,59
C0868,Public,Bachelor's degree,22,7149,73
C0869,Public,Bachelor's degree,23,7125,53
C0870,Public,Bachelor's degree,21,7412,59
C0871,Public,Doctoral degree,26,8040,55
C0872,Public,Doctoral degree,30,8144,43
C0873,Public,Doctoral degree,28,8211,57
C0874,Public,Doctoral degree,30,7995,39
C0875,Public,Doctoral degree,27,7033,51
C0876,Public,Master's degree,26,7090,48
C0877,Public,Master's degree,26,7222,48
C0878,Public,Master's degree,,7022,49
C0879,Public,Master's degree,25,7327,47
C0880,Public,Master's degree,26,7400,52
C0881,Public,Master's degree,29,7430,46
C0882,Public,Master's degree,27,7083,44
C0883,Public,Master's degree,25,7230,51
C0884,Public,Master's degree,26,7181,49
C0885,Public,Master's degree,,7174,68
C0886,Public,Master's degree,26,7573,33
C0887,Public,Master's degree,22,6624,58
C0888,Public,Master's degree,24,7179,46
C0889,Public,Master's degree,,6265,81
C0890,Public,Master's degree,26,7109,64
C0891,Private,Doctoral degree,28,40458,49
C0892,Private,Doctoral degree,,,
C0893,Private,Doctoral degree,,15250,59
C0894,Private,Master's degree,,,
C0895,Private,Bachelor's degree,31,46785,37
C0896,Public,Master's degree,,1032,
C0897,Private,Doctoral degree,23,33320,85
C0898,Private,Master's degree,33,47890,24
C0899,Private,Master's degree,27,39220,70
C0900,Private,Bachelor's degree,26,35900,60
C0901,Private,Doctoral degree,29,37600,82
C0902,Public,Doctoral degree,28,6462,63
C0903,Private,Master's degree,22,25396,42
C0904,Private,Bachelor's degree,24,18500,68
C0905,Private,Bachelor's degree,,17355,83
C0906,Private,Bachelor's degree,22,25200,45
C0907,Private,Doctoral degree,27,26240,70
C0908,Private,Master's degree,,26820,41
C0909,Private,Master's degree,17,22510,62
C0910,Private,Bachelor's degree,33,42849,26
C0911,Private,Doctoral degree,34,45376,13
C0912,Public,Doctoral degree,24,6143,62
C0913,Public,Master's degree,18,4429,57
C0914,Private,Doctoral degree,26,30149,54
C0915,Public,Doctoral degree,19,4605,55
C0916,Private,Doctoral degree,25,25830,48
C0917,Private,Master's degree,21,26306,78
C0918,Private,Bachelor's degree,26,32470,68
C0919,Private,Doctoral degree,26,30715,64
C0920,Private,Bachelor's degree,19,18236,37
C0921,Private,Bachelor's degree,,24150,66
C0922,Private,Master's degree,23,29310,68
C0923,Private,Bachelor's degree,16,16024,71
C0924,Private,Master's degree,23,25636,64
C0925,Private,Master's degree,25,30562,62
C0926,Private,Master's degree,23,27830,61
C0927,Private,Master's degree,23,23520,54
C0928,Private,Bachelor's degree,20,17300,50
C0929,Public,Doctoral degree,21,5422,70
C0930,Public,Master's degree,27,6241,64
C0931,Public,Doctoral degree,32,8340,28
C0932,Public,Doctoral degree,25,6107,69
C0933,Public,Doctoral degree,25,6382,60
C0934,Public,Doctoral degree,19,5526,50
C0935,Public,Doctoral degree,30,8206,50
C0936,Private,Bachelor's degree,20,26632,47
C0937,Public,Doctoral degree,26,6343,54
C0938,Private,Bachelor's degree,21,23900,91
C0939,Public,Master's degree,21,5144,72
C0940,Private,Master's degree,22,24150,96
C0941,Private,Master's degree,26,29800,77
C0942,Private,Bachelor's degree,20,12160,41
C0943,Private,Bachelor's degree,17,17890,67
C0944,Private,Master's degree,27,24566,58
C0945,Private,Master's degree,,16480,54
C0946,Private,Master's degree,23,23332,64
C0947,Private,Doctoral degree,,44742,35
C0948,Private,Master's degree,27,29540,70
C0949,Private,Doctoral degree,24,25040,79
C0950,Public,Doctoral degree,19,5468,56
C0951,Public,Doctoral degree,24,6265,38
C0952,Public,Bachelor's degree,23,5846,49
C0953,Private,Doctoral degree,24,18494,57
C0954,Private,Doctoral degree,25,14730,83
C0955,Public,Bachelor's degree,,6353,
C0956,Public,Master's degree,24,6086,57
C0957,Public,Doctoral degree,26,7508,74
C0958,Public,Doctoral degree,26,7660,84
C0959,Public,Master's degree,23,6516,83
C0960,Public,Doctoral degree,25,10054,96
C0961,Private,Doctoral degree,25,29836,74
C0962,Private,Master's degree,27,27840,64
C0963,Private,Master's degree,25,28504,53
C0964,Public,Doctoral degree,24,10726,72
C0965,Private,Doctoral degree,27,31990,76
C0966,Private,Doctoral degree,33,41800,42
C0967,Private,Doctoral degree,29,26420,74
C0968,Public,Master's degree,19,6058,33
C0969,Public,Doctoral degree,28,10784,73
C0970,Private,Master's degree,23,17720,97
C0971,Public,Doctoral degree,25,9499,63
C0972,Private,Doctoral degree,29,35800,53
C0973,Private,Master's degree,23,28690,72
C0974,Private,Bachelor's degree,31,43910,46
C0975,Private,Doctoral degree,26,29798,68
C0976,Private,Master's degree,,26180,
C0977,Private,Master's degree,25,30290,57
C0978,Private,Master's degree,27,34480,83
C0979,Public,Bachelor's degree,,5554,
C0980,Public,Doctoral degree,25,9816,83
C0981,Private,Bachelor's degree,32,45640,38
C0982,Private,Master's degree,23,27368,56
C0983,Private,Master's degree,,17655,69
C0984,Private,Master's degree,26,25678,72
C0985,Private,Master's degree,27,31940,64
C0986,Public,Doctoral degree,30,13800,67
C0987,Private,Master's degree,25,27380,71
C0988,Private,Master's degree,26,23690,63
C0989,Private,Doctoral degree,24,25800,88
C0990,Private,Master's degree,24,23662,76
C0991,Private,Master's degree,22,26344,90
C0992,Private,Master's degree,32,46870,30
C0993,Private,Master's degree,24,28932,49
C0994,Private,Doctoral degree,29,36720,68
C0995,Public,Master's degree,,7140,
C0996,Public,Master's degree,,7140,
C0997,Public,Master's degree,,7140,
C0998,Public,Master's degree,,7140,
C0999,Public,Doctoral degree,31,10037,56
C1000,Public,Doctoral degree,26,10446,73
C1001,Private,Bachelor's degree,27,40510,75
C1002,Private,Doctoral degree,26,31424,74
C1003,Private,Master's degree,,20780,
C1004,Public,Master's degree,,7177,
C1005,Private,Master's degree,28,23160,76
C1006,Private,Master's degree,23,20700,39
C1007,Public,Doctoral degree,25,9275,91
C1008,Private,Doctoral degree,,11904,
C1009,Private,Master's degree,,21566,
C1010,Private,Doctoral degree,24,26720,58
C1011,Private,Doctoral degree,25,25840,77
C1012,Private,Master's degree,,15140,58
C1013,Private,Master's degree,24,28190,46
C1014,Private,Master's degree,25,38030,89
C1015,Private,Bachelor's degree,30,41680,56
C1016,Public,Doctoral degree,,8542,
C1017,Private,Doctoral degree,27,33000,70
C1018,Public,Doctoral degree,,8129,
C1019,Private,Bachelor's degree,19,14050,72
C1020,Private,Master's degree,24,22252,49
C1021,Private,Master's degree,,22044,
C1022,Public,Master's degree,,5055,
C1023,Public,Master's degree,24,5437,84
C1024,Public,Master's degree,23,5241,98
C1025,Public,Doctoral degree,,3815,
C1026,Public,Doctoral degree,23,4992,73
C1027,Public,Master's degree,22,5642,60
C1028,Private,Master's degree,28,18800,63
C1029,Public,Bachelor's degree,21,6739,48
C1030,Public,Doctoral degree,28,7442,76
C1031,Private,Master's degree,27,21842,56
C1032,Private,Doctoral degree,29,29426,72
C1033,Public,Doctoral degree,29,8916,80
C1034,Private,Doctoral degree,25,22508,44
C1035,Public,Bachelor's degree,23,5349,54
C1036,Private,Master's degree,,20595,95
C1037,Public,Bachelor's degree,24,4866,62
C1038,Public,Master's degree,22,5315,80
C1039,Private,Master's degree,23,14220,88
C1040,Public,Doctoral degree,24,5460,90
C1041,Private,Doctoral degree,32,34835,41
C1042,Private,Doctoral degree,24,27492,56
C1043,Public,Master's degree,,7530,67
C1044,Private,Doctoral degree,26,31120,75
C1045,Private,Doctoral degree,31,41928,63
C1046,Private,Bachelor's degree,26,36310,92
C1047,Private,Master's degree,,19665,39
C1048,Private,Master's degree,23,24930,70
C1049,Public,Master's degree,25,8548,71
C1050,Public,Doctoral degree,27,8322,79
C1051,Public,Doctoral degree,27,9763,74
C1052,Private,Doctoral degree,27,37024,86
C1053,Public,Doctoral degree,,7878,61
C1054,Private,Doctoral degree,,38670,67
C1055,Private,Master's degree,33,46010,49
C1056,Public,Master's degree,,7438,73
C1057,Private,Master's degree,,19770,53
C1058,Private,Doctoral degree,26,27431,32
C1059,Private,Doctoral degree,29,42305,58
C1060,Public,Master's degree,,8634,88
C1061,Private,Master's degree,25,17724,52
C1062,Private,Master's degree,25,36660,62
C1063,Private,Bachelor's degree,29,39100,65
C1064,Private,Doctoral degree,26,31250,76
C1065,Private,Doctoral degree,22,29060,78
C1066,Private,Doctoral degree,27,36810,60
C1067,Public,Doctoral degree,23,8582,89
C1068,Private,Doctoral degree,32,43900,40
C1069,Private,Master's degree,32,46902,30
C1070,Private,Master's degree,23,29000,74
C1071,Public,Master's degree,21,9239,93
C1072,Private,Doctoral degree,23,25416,95
C1073,Private,Doctoral degree,34,47642,25
C1074,Private,Master's degree,24,33000,59
C1075,Private,Doctoral degree,,32454,61
C1076,Private,Doctoral degree,23,31170,58
C1077,Public,Master's degree,,8806,
C1078,Public,Master's degree,,9404,93
C1079,Private,Master's degree,25,32890,68
C1080,Private,Bachelor's degree,31,46094,44
C1081,Private,Doctoral degree,30,37505,81
C1082,Private,Doctoral degree,27,31385,74
C1083,Public,Master's degree,22,8991,78
C1084,Private,Doctoral degree,24,28090,64
C1085,Public,Master's degree,22,8849,87
C1086,Private,Master's degree,28,38200,70
C1087,Private,Bachelor's degree,,46285,39
C1088,Private,Doctoral degree,26,27546,80
C1089,Private,Master's degree,26,25220,68
C1090,Private,Bachelor's degree,29,45870,42
C1091,Private,Doctoral degree,,,
C1092,Private,Master's degree,22,29450,66
C1093,Private,Bachelor's degree,33,45426,23
C1094,Private,Doctoral degree,22,27100,76
C1095,Private,Doctoral degree,21,30740,80
C1096,Public,Doctoral degree,22,9080,90
C1097,Private,Master's degree,,37170,74
C1098,Private,Bachelor's degree,21,21300,72
C1099,Private,Master's degree,,30310,72
C1100,Public,Master's degree,22,8819,82
C1101,Private,Master's degree,24,24778,56
C1102,Private,Doctoral degree,25,38200,80
C1103,Private,Bachelor's degree,31,44670,34
C1104,Private,Doctoral degree,27,35700,67
C1105,Private,Doctoral degree,32,43520,31
C1106,Public,Master's degree,20,9804,61
C1107,Public,Master's degree,23,8899,88
C1108,Private,Bachelor's degree,26,33746,72
C1109,Public,Master's degree,23,9192,92
C1110,Private,Doctoral degree,,30690,71
C1111,Private,Doctoral degree,26,30300,75
C1112,Private,Master's degree,29,30470,66
C1113,Public,Master's degree,24,8866,72
C1114,Private,Doctoral degree,26,28210,65
C1115,Private,Master's degree,,35518,80
C1116,Private,Master's degree,22,20268,69
C1117,Private,Bachelor's degree,31,42755,46
C1118,Private,Doctoral degree,20,24948,55
C1119,Public,Master's degree,25,14240,84
C1120,Public,Master's degree,,,
C1121,Public,Master's degree,27,13412,74
C1122,Public,Bachelor's degree,22,13318,69
C1123,Public,Bachelor's degree,23,13354,82
C1124,Public,Bachelor's degree,22,13486,82
C1125,Public,Bachelor's degree,28,13602,85
C1126,Public,Bachelor's degree,23,14240,85
C1127,Public,Bachelor's degree,24,13470,87
C1128,Public,Bachelor's degree,25,14240,83
C1129,Public,Doctoral degree,24,14240,80
C1130,Public,Bachelor's degree,23,13608,79
C1131,Public,Bachelor's degree,22,13354,88
C1132,Public,Bachelor's degree,21,13412,89
C1133,Public,Bachelor's degree,24,13550,86
C1134,Public,Doctoral degree,29,16992,54
C1135,Public,Master's degree,24,13464,80
C1136,Public,Bachelor's degree,23,13470,83
C1137,Public,Bachelor's degree,24,13608,78
C1138,Public,Bachelor's degree,21,13550,81
C1139,Public,Master's degree,25,13602,84
C1140,Private,Master's degree,,17040,
C1141,Private,Doctoral degree,34,45890,12
C1142,Private,Doctoral degree,25,33690,64
C1143,Private,Master's degree,26,22455,51
C1144,Public,Bachelor's degree,23,13078,85
C1145,Public,Bachelor's degree,24,13128,93
C1146,Public,Bachelor's degree,24,13130,90
C1147,Public,Doctoral degree,30,17100,56
C1148,Private,Master's degree,25,26170,74
C1149,Private,Doctoral degree,24,25114,81
C1150,Private,Master's degree,23,30950,58
C1151,Private,Doctoral degree,25,29992,76
C1152,Private,Doctoral degree,26,39040,79
C1153,Private,Doctoral degree,25,30350,69
C1154,Private,Doctoral degree,27,38754,75
C1155,Private,Master's degree,26,30300,65
C1156,Public,Master's degree,22,9448,83
C1157,Public,Doctoral degree,23,9027,67
C1158,Private,Bachelor's degree,27,38780,72
C1159,Private,Bachelor's degree,34,44718,14
C1160,Public,Doctoral degree,27,14096,64
C1161,Private,Bachelor's degree,23,26802,66
C1162,Private,Bachelor's degree,30,44530,66
C1163,Private,Master's degree,25,19394,66
C1164,Private,Doctoral degree,31,44430,49
C1165,Private,Bachelor's degree,,39710,40
C1166,Private,Doctoral degree,25,20540,75
C1167,Public,Master's degree,,8850,52
C1168,Private,Master's degree,25,32445,73
C1169,Private,Doctoral degree,,38028,67
C1170,Private,Doctoral degree,,30350,76
C1171,Private,Master's degree,24,29370,53
C1172,Private,Doctoral degree,25,17010,74
C1173,Private,Doctoral degree,34,45612,9
C1174,Private,Master's degree,27,37234,77
C1175,Private,Doctoral degree,,27456,76
C1176,Private,Master's degree,,21285,
C1177,Private,Master's degree,28,43245,60
C1178,Public,Doctoral degree,22,7602,69
C1179,Public,Doctoral degree,26,12450,79
C1180,Private,Master's degree,,31668,81
C1181,Private,Doctoral degree,26,34950,67
C1182,Private,Bachelor's degree,,11940,
C1183,Private,Doctoral degree,26,22790,65
C1184,Private,Master's degree,23,22090,69
C1185,Private,Bachelor's degree,,18254,
C1186,Private,Master's degree,22,22200,94
C1187,Public,Master's degree,28,10626,70
C1188,Public,Master's degree,25,10838,80
C1189,Private,Master's degree,21,15010,53
C1190,Public,Doctoral degree,31,13054,58
C1191,Private,Master's degree,22,24579,53
C1192,Private,Doctoral degree,25,18930,63
C1193,Private,Master's degree,24,26800,65
C1194,Private,Master's degree,26,29124,52
C1195,Private,Doctoral degree,24,31580,70
C1196,Public,Master's degree,22,9386,57
C1197,Private,Master's degree,30,43164,64
C1198,Public,Master's degree,22,10100,42
C1199,Private,Master's degree,23,22080,53
C1200,Private,Bachelor's degree,,11087,
C1201,Private,Bachelor's degree,22,23800,59
C1202,Private,Doctoral degree,29,14772,58
C1203,Private,Doctoral degree,28,33650,66
C1204,Public,Master's degree,23,9308,51
C1205,Public,Bachelor's degree,22,8972,73
C1206,Public,Doctoral degree,29,10816,61
C1207,Public,Master's degree,23,9760,74
C1208,Public,Doctoral degree,19,9776,51
C1209,Public,Master's degree,23,10198,64
C1210,Private,Bachelor's degree,,10780,51
C1211,Public,Master's degree,25,13670,72
C1212,Private,Bachelor's degree,29,35515,69
C1213,Private,Master's degree,27,28630,68
C1214,Public,Master's degree,23,7617,89
C1215,Public,Doctoral degree,24,7506,83
C1216,Private,Master's degree,27,22700,70
C1217,Private,Master's degree,25,22892,72
C1218,Public,Master's degree,25,7563,93
C1219,Private,Bachelor's degree,22,17014,66
C1220,Public,Doctoral degree,25,7713,92
C1221,Private,Master's degree,26,24550,97
C1222,Public,Doctoral degree,26,8022,88
C1223,Private,Master's degree,27,20550,52
C1224,Public,Master's degree,24,6876,86
C1225,Private,Doctoral degree,29,27380,80
C1226,Private,Master's degree,22,15714,51
C1227,Private,Master's degree,25,21150,38
C1228,Private,Doctoral degree,26,23696,67
C1229,Private,Master's degree,27,28210,47
C1230,Private,Master's degree,23,20200,47
C1231,Private,Doctoral degree,28,26094,53
C1232,Public,Doctoral degree,25,7249,86
C1233,Private,Master's degree,18,20449,40
C1234,Private,Bachelor's degree,,12842,
C1235,Private,Master's degree,27,20468,92
C1236,Private,Master's degree,25,24960,64
C1237,Private,Bachelor's degree,16,9180,49
C1238,Private,Bachelor's degree,17,10680,23
C1239,Private,Master's degree,27,13750,92
C1240,Private,Doctoral degree,27,19490,70
C1241,Private,Bachelor's degree,,22272,
C1242,Private,Bachelor's degree,26,31132,73
C1243,Public,Doctoral degree,25,8312,68
C1244,Public,Doctoral degree,24,7546,70
C1245,Private,Master's degree,26,27916,68
C1246,Private,Master's degree,31,39794,58
C1247,Private,Doctoral degree,30,35756,60
C1248,Private,Doctoral degree,25,19790,38
C1249,Private,Master's degree,24,21800,71
C1250,Public,Doctoral degree,25,7554,78
C1251,Public,Doctoral degree,29,11194,72
C1252,Public,Master's degree,25,7507,77
C1253,Public,Doctoral degree,,6498,
C1254,Public,Doctoral degree,26,7063,93
C1255,Private,Doctoral degree,26,22330,77
C1256,Private,Master's degree,23,22250,72
C1257,Private,Doctoral degree,29,26880,74
C1258,Private,Doctoral degree,34,42978,13
C1259,Private,Doctoral degree,27,28350,49
C1260,Public,Doctoral degree,23,6559,80
C1261,Private,Master's degree,27,33830,59
C1262,Private,Doctoral degree,29,35972,57
C1263,Private,Master's degree,25,25880,47
C1264,Public,Doctoral degree,23,7172,93
C1265,Private,Doctoral degree,27,22350,42
C1266,Private,Doctoral degree,30,33110,90
C1267,Private,Master's degree,22,22590,74
C1268,Public,Master's degree,23,5578,37
C1269,Public,Doctoral degree,24,6583,68
C1270,Private,Doctoral degree,25,23460,38
C1271,Private,Master's degree,27,27930,73
C1272,Public,Doctoral degree,,,
C1273,Public,Master's degree,21,5238,95
C1274,Public,Master's degree,21,6248,51
C1275,Public,Doctoral degree,27,8401,58
C1276,Private,Master's degree,22,23200,54
C1277,Private,Bachelor's degree,17,13494,46
C1278,Private,Doctoral degree,23,24790,93
C1279,Private,Bachelor's degree,,11369,
C1280,Public,Doctoral degree,23,7429,77
C1281,Public,Doctoral degree,20,5818,48
C1282,Private,Master's degree,30,25740,41
C1283,Private,Master's degree,24,18740,95
C1284,Private,Doctoral degree,27,25200,85
C1285,Private,Master's degree,24,24296,59
C1286,Public,Master's degree,23,7665,72
C1287,Public,Doctoral degree,26,8745,60
C1288,Private,Doctoral degree,21,23938,66
C1289,Public,Doctoral degree,21,5173,62
C1290,Public,Doctoral degree,,5372,
C1291,Private,Bachelor's degree,18,13525,99
C1292,Public,Doctoral degree,20,6764,42
C1293,Private,Doctoral degree,34,38941,17
C1294,Private,Master's degree,26,33720,79
C1295,Private,Doctoral degree,28,28240,77
C1296,Public,Doctoral degree,23,7022,65
C1297,Private,Master's degree,24,22484,93
C1298,Private,Doctoral degree,24,25126,58
C1299,Private,Doctoral degree,31,43800,51
C1300,Private,Master's degree,,17830,35
C1301,Private,Bachelor's degree,29,35240,52
C1302,Public,Doctoral degree,24,8412,57
C1303,Public,Doctoral degree,25,8060,75
C1304,Private,Master's degree,22,18640,54
C1305,Private,Bachelor's degree,,7620,
C1306,Public,Master's degree,21,5436,52
C1307,Public,Doctoral degree,23,5856,57
C1308,Public,Doctoral degree,21,6940,88
C1309,Public,Doctoral degree,,,
C1310,Public,Doctoral degree,29,8506,69
C1311,Public,Doctoral degree,26,8878,60
C1312,Public,Doctoral degree,31,9798,40
C1313,Public,Doctoral degree,31,10864,59
C1314,Public,Doctoral degree,22,7255,100
C1315,Public,Doctoral degree,25,7222,82
C1316,Private,Doctoral degree,29,36590,47
C1317,Private,Bachelor's degree,,10008,
C1318,Private,Master's degree,25,25890,51
C1319,Public,Master's degree,23,5250,84
