ID,Control,Highest degree offered,,Admission rate (%),Admission yield (%),Admissions total,Applicants total,Tuition and fees 2013-14 ($),Full-time enrollment,Graduate enrollment,Part-time enrollment,Total enrollment,Undergraduate enrollment,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),Geographic region,ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile)
C0207,Public,Doctoral degree,,87,10,1676,1922,25800,1275,1237,1267,2542,1305,28,47,50,Southeast,22,27,490,590,490,590,,
C0208,Private,Master's degree,,95,32,637,669,26934,2945,526,518,3463,2937,36,52,53,Far West,19,24,350,430,410,510,,
C0209,Private,Master's degree,,59,23,772,1309,29100,333,0,45,378,378,65,74,74,Southeast,,,,,,,,
C0210,Public,Doctoral degree,,64,28,5838,9126,25046,3004,1073,251,3255,2182,33,63,70,Far West,,,,,,,,
C0211,Public,Doctoral degree,,72,21,2052,2867,7517,2342,1965,388,2730,765,67,76,76,Far West,20,25,470,580,470,580,450,560
C0212,Private,Doctoral degree,,42,40,1412,3349,7336,10597,2469,4666,15263,12794,1,19,20,Southeast,21,26,435,575,393,560,,
C0213,Private,Bachelor's degree,,44,40,1406,3195,35725,2402,20,330,2732,2712,16,37,43,New England,,,,,,,,
C0214,Private,Doctoral degree,,65,44,517,791,29800,2269,116,507,2776,2660,48,53,54,Far West,,,,,,,,
C0215,Private,Master's degree,,,,,,,4947,644,1585,6532,5888,35,49,53,Mid East,19,23,440,530,450,530,430,520
C0216,Private,Doctoral degree,,72,30,2544,3528,33000,2808,1463,1196,4004,2541,28,46,50,Southeast,20,25,480,560,500,600,470,550
C0217,Private,Bachelor's degree,,80,33,2056,2557,44222,466,16,13,479,463,55,65,65,New England,21,25,490,580,500,590,500,580
C0218,Public,Doctoral degree,,33,40,15570,46813,8866,2493,1328,1219,3712,2384,53,62,63,New England,18,23,420,460,440,510,380,440
C0219,Private,Doctoral degree,,73,27,3018,4161,17211,3169,5149,1980,5149,0,19,30,40,Mid East,18,22,420,520,430,530,,
C0220,Private,Doctoral degree,,92,43,7871,8526,6491,1011,108,167,1178,1070,16,24,24,Far West,19,24,450,550,460,560,,
C0221,Private,Doctoral degree,,49,39,15572,31820,34740,2463,0,26,2489,2489,17,28,29,Mid East,19,23,,,,,,
C0222,Private,Doctoral degree,,67,24,675,1006,22508,1658,206,378,2036,1830,42,45,45,Great Lakes,19,24,400,620,440,550,,
C0223,Public,Bachelor's degree,,89,72,854,957,7500,3044,829,414,3458,2629,30,43,46,Great Lakes,21,27,460,570,465,590,455,570
C0224,Public,Doctoral degree,,96,23,1275,1326,25520,2057,609,969,3026,2417,36,39,44,Mid East,21,26,,,,,,
C0225,Private,Doctoral degree,,30,35,2262,7438,6870,3670,37,351,4021,3984,40,61,65,Southeast,22,26,520,590,520,590,,
C0226,Private,Doctoral degree,,67,11,3185,4786,6070,3699,500,905,4604,4104,48,60,61,Plains,,,380,480,370,480,390,490
C0227,Private,Master's degree,,73,40,1013,1387,5376,6131,12817,33426,39557,26740,16,26,31,New England,,,400,510,400,520,380,500
C0228,Private,Master's degree,,78,17,1800,2322,17040,3982,530,683,4665,4135,17,30,34,Mid East,16,19,390,460,380,460,370,450
C0229,Private,Master's degree,,85,43,6367,7482,11340,2046,200,583,2629,2429,45,55,57,Southeast,16,19,390,460,400,470,370,450
C0230,Private,Master's degree,,47,24,787,1680,45625,3463,669,832,4295,3626,66,70,72,Far West,29,33,630,730,600,710,610,710
C0231,Public,Doctoral degree,,,,,,45314,1067,0,15,1082,1082,34,49,51,Southeast,23,27,510,590,540,630,500,590
C0232,Private,Bachelor's degree,,93,34,1411,1514,7457,840,47,133,973,926,53,57,57,Southeast,17,20,400,490,410,500,370,480
C0233,Public,Master's degree,,57,42,619,1088,8040,1149,270,562,1711,1441,4,12,17,Mid East,21,26,480,570,480,580,470,560
C0234,Public,Doctoral degree,,53,37,1398,2658,4429,3365,128,1213,4578,4450,25,56,63,Southeast,27,29,600,690,600,680,,
C0235,Private,Bachelor's degree,,76,25,8135,10718,5153,1588,449,1687,3275,2826,33,55,60,Mid East,20,25,450,550,440,560,440,540
C0236,Private,Doctoral degree,,,,,,30596,767,60,37,804,744,21,24,24,Plains,21,26,490,590,490,585,470,570
C0237,Private,Master's degree,,44,65,617,1417,26094,1815,0,131,1946,1946,48,59,60,Southeast,18,27,472,656,476,648,,
C0238,Private,Doctoral degree,,94,43,46,49,35062,36353,29874,40985,77338,47464,32,61,67,Far West,19,25,490,610,430,570,470,590
C0239,Private,Bachelor's degree,,42,21,2574,6072,45388,1268,12,73,1341,1329,41,49,52,Mid East,19,25,450,590,470,620,,
C0240,Public,Master's degree,,74,26,15770,21263,8342,952,0,62,1014,1014,76,80,81,Southeast,20,24,470,580,470,600,470,540
C0241,Public,Doctoral degree,,63,16,2771,4381,35573,1788,549,147,1935,1386,79,83,84,Mid East,,,550,660,580,680,560,670
C0242,Private,Master's degree,,52,33,6922,13424,31126,2753,0,87,2840,2840,28,46,47,Great Lakes,18,22,410,500,420,510,410,500
C0243,Public,Bachelor's degree,,15,47,1054,7052,32482,4585,1973,1392,5977,4004,53,62,63,Great Lakes,21,26,470,570,480,580,,
C0244,Private,Bachelor's degree,,27,40,521,1907,6562,6550,1873,1543,8093,6220,38,52,54,Southeast,20,26,457,580,460,570,,
C0245,Private,Doctoral degree,,57,29,1618,2840,28800,1585,662,526,2111,1449,30,46,49,Southeast,22,27,460,550,470,630,480,630
C0246,Public,Master's degree,,48,29,929,1954,15620,6025,1471,2352,8377,6906,24,43,46,Mid East,,,,,,,,
C0247,Public,Doctoral degree,,57,47,191,335,6649,2118,62,104,2222,2160,19,36,41,Mid East,25,29,500,640,580,700,540,630
C0248,Public,Master's degree,,72,29,1430,1985,7127,265,207,110,375,168,20,32,36,Great Lakes,24,29,520,630,540,650,520,630
C0249,Public,Doctoral degree,,70,40,13432,19112,40649,21737,6030,7261,28998,22968,11,17,20,Southeast,21,27,470,590,480,600,,
C0250,Public,Doctoral degree,,58,55,482,836,28390,2498,1372,429,2927,1555,33,50,54,Mid East,19,24,420,500,420,540,,
C0251,Public,Doctoral degree,,64,35,343,535,24579,13508,463,9244,22752,22289,14,40,53,Mid East,19,22,450,530,470,550,430,520
C0252,Public,Doctoral degree,,56,25,326,585,6524,12848,9345,2200,15048,5703,58,70,71,Plains,20,25,490,540,470,510,480,570
C0253,Public,Doctoral degree,,38,23,2312,6081,6764,37467,9955,9350,46817,36862,89,91,91,Plains,22,27,,,498,660,470,600
C0254,Private,Master's degree,,38,41,957,2551,26540,1744,866,1166,2910,2044,36,47,55,Great Lakes,,,,,,,,
C0255,Private,Doctoral degree,,67,18,2607,3916,9192,669,0,15,684,684,61,66,67,Southeast,19,24,453,468,420,508,403,445
C0256,Private,Doctoral degree,,62,21,1834,2972,36012,2801,615,1040,3841,3226,85,88,88,Mid East,19,23,460,550,460,540,,
C0257,Private,Bachelor's degree,,59,30,827,1396,17500,681,200,805,1486,1286,53,61,61,Mid East,,,,,,,,
C0258,Public,Doctoral degree,,84,26,763,905,42755,2411,440,508,2919,2479,82,85,85,Mid East,23,29,518,650,530,660,,
C0259,Private,Master's degree,,86,43,1018,1179,15718,1623,1953,1902,3525,1572,59,74,76,Great Lakes,19,27,480,500,500,540,,
C0260,Private,Bachelor's degree,,,,,,45426,8799,1736,2292,11091,9355,70,74,75,Great Lakes,19,24,450,580,450,570,,
C0261,Private,Doctoral degree,,50,48,677,1344,26076,1605,230,702,2307,2077,,,,Southeast,21,25,470,570,480,580,460,560
C0262,Private,Master's degree,,54,57,3913,7266,28850,3316,1798,267,3583,1785,9,25,31,Great Lakes,21,26,490,625,490,650,450,580
C0263,Public,Master's degree,,,,,,6350,635,0,16,651,651,35,53,53,Mid East,20,25,450,560,480,590,,
C0264,Private,Master's degree,,61,49,520,850,26820,2826,1625,1056,3882,2257,83,86,88,Far West,31,34,690,780,700,790,690,780
C0265,Private,Bachelor's degree,,65,43,297,457,25890,6665,2231,2469,9134,6903,12,30,38,Southwest,,,,,,,,
C0266,Public,Master's degree,,77,29,2653,3447,31527,28287,6067,4824,33111,27044,38,45,47,New England,21,27,440,570,440,560,423,550
C0267,Private,Master's degree,,89,47,2239,2511,23718,2033,1251,1049,3082,1831,41,53,56,Mid East,21,26,470,590,500,610,450,550
C0268,Private,Bachelor's degree,,55,22,1702,3115,19650,1488,312,524,2012,1700,31,41,43,Great Lakes,18,23,450,535,435,530,430,540
C0269,Private,Bachelor's degree,,88,32,1434,1637,31424,332,91,330,662,571,15,33,40,Far West,19,24,420,520,450,530,400,490
C0270,Public,Doctoral degree,,75,18,3035,4029,26250,13390,20514,12280,25670,5156,40,46,46,Plains,18,27,400,510,420,530,,
C0271,Private,Master's degree,,62,21,2282,3708,32520,2509,0,15,2524,2524,32,48,51,Mid East,21,25,470,560,490,598,450,550
C0272,Public,Doctoral degree,,74,35,892,1198,9356,1726,996,641,2367,1371,25,47,53,Mid East,20,25,,,,,,
C0273,Private,Master's degree,,46,24,2378,5152,26720,1184,780,9794,10978,10198,17,33,40,Mid East,27,32,580,680,620,720,600,690
C0274,Public,Doctoral degree,,60,26,960,1611,46269,3817,335,225,4042,3707,25,39,45,Southwest,,,,,,,,
C0275,Public,Doctoral degree,,76,32,1277,1679,15995,1102,69,71,1173,1104,32,48,51,Great Lakes,21,26,500,590,500,590,510,600
C0276,Private,Master's degree,,94,24,654,698,5906,5739,1369,2906,8645,7276,17,36,42,Far West,18,25,430,560,450,560,410,540
C0277,Public,Bachelor's degree,,66,24,1093,1663,7172,2682,251,366,3048,2797,50,50,60,Rocky Mountains,21,24,480,550,500,570,450,540
C0278,Public,Doctoral degree,,,,,,35900,2273,422,4,2277,1855,26,36,37,Great Lakes,22,26,530,610,520,620,510,600
C0279,Public,Doctoral degree,,80,36,5527,6901,20768,3254,1458,1763,5017,3559,10,14,14,New England,,,470,570,480,580,460,570
C0280,Public,Doctoral degree,,74,21,4024,5433,27800,666,667,320,986,319,81,88,90,Mid East,21,26,440,545,490,600,410,555
C0281,Private,Master's degree,,72,31,4113,5680,39316,10521,4776,6822,17343,12567,24,39,45,Southwest,,,490,600,510,640,480,580
C0282,Public,Bachelor's degree,,85,42,4571,5365,21890,626,552,731,1357,805,22,35,41,Plains,,,,,,,,
C0283,Private,Doctoral degree,,38,24,2056,5466,7665,34675,10247,1523,36198,25951,21,38,42,Great Lakes,22,27,480,570,510,600,460,560
C0284,Private,Bachelor's degree,,88,47,386,439,40707,2983,2239,969,3952,1713,10,29,38,Mid East,21,27,,,490,670,510,660
C0285,Private,Bachelor's degree,,77,38,7833,10201,8022,23034,7751,3934,26968,19217,67,75,76,Southeast,23,27,510,620,510,610,490,610
C0286,Private,Doctoral degree,,60,25,3200,5350,16610,366,0,0,366,366,0,0,0,Mid East,,,,,,,,
C0287,Private,Bachelor's degree,,76,34,1214,1595,13746,2328,94,287,2615,2521,6,6,49,Southeast,19,25,480,630,510,640,500,570
C0288,Private,Doctoral degree,,85,28,4856,5700,21800,1361,0,120,1481,1481,33,50,51,Mid East,,,373,515,360,547,,
C0289,Public,Doctoral degree,,74,46,724,972,28810,2955,1133,845,3800,2667,23,37,40,Great Lakes,20,25,470,580,500,630,480,590
C0290,Private,Doctoral degree,,,,,,35800,982,14,151,1133,1119,27,38,44,Southeast,,,320,440,340,420,330,440
C0291,Private,Master's degree,,69,33,3364,4855,34850,2635,407,670,3305,2898,11,30,39,Far West,19,24,460,560,450,540,,
C0292,Private,Doctoral degree,,55,28,2204,4010,22290,216,0,27,243,243,21,43,50,New England,16,22,400,510,400,530,,
C0293,Private,Doctoral degree,,61,23,1987,3240,22252,4439,969,581,5020,4051,31,53,57,New England,,,,,,,,
C0294,Private,Bachelor's degree,,72,33,957,1333,6158,2437,0,40,2477,2477,55,64,65,Southeast,19,24,400,520,380,550,,
C0295,Public,Master's degree,,75,24,1850,2461,7024,341,0,9,350,350,37,56,59,New England,23,27,520,620,540,640,,
C0296,Private,Master's degree,,60,41,6069,10112,7140,14960,1066,1396,16356,15290,24,39,42,New England,15,20,380,470,390,470,370,460
C0297,Private,Bachelor's degree,,100,55,859,861,26650,1788,0,0,1788,1788,4,8,9,Southeast,19,25,440,550,440,550,,
C0298,Public,Doctoral degree,,89,44,840,941,33020,9146,1556,3379,12525,10969,30,45,49,New England,24,29,520,660,530,680,,
C0299,Private,Master's degree,,35,23,2904,8285,30000,2044,20,17,2061,2041,63,66,67,New England,26,30,530,650,630,750,580,670
C0300,Public,Doctoral degree,,83,45,2567,3083,18494,248,3,43,291,288,46,66,69,Southeast,,,,,,,,
C0301,Private,Doctoral degree,,33,47,1334,4076,46380,1678,280,737,2415,2135,31,39,41,Plains,,,,,,,,
C0302,Public,Doctoral degree,,85,37,14060,16521,35820,8877,8133,9330,18207,10074,80,84,84,Mid East,16,22,430,520,420,530,420,520
C0303,Private,Bachelor's degree,,76,32,1437,1889,28350,2998,429,494,3492,3063,33,47,51,Great Lakes,15,22,390,500,400,520,,
C0304,Private,Master's degree,,,,,,9861,572,398,371,943,545,54,67,67,Southeast,26,31,560,690,590,680,,
C0305,Private,Doctoral degree,,71,44,6519,9166,35730,26770,9473,7239,34009,24536,38,45,46,New England,17,27,380,655,385,645,390,650
C0306,Public,Doctoral degree,,43,29,4805,11145,25040,2457,993,545,3002,2009,83,87,87,Southeast,19,23,430,520,440,540,,
C0307,Private,Doctoral degree,,13,41,3963,31099,,4008,2735,882,4890,2155,9,23,30,Southeast,,,,,,,,
C0308,Private,Bachelor's degree,,78,21,1568,1998,12862,1931,78,166,2097,2019,64,78,80,Great Lakes,17,23,420,500,410,500,420,510
C0309,Private,Master's degree,,67,17,910,1358,29426,799,609,193,992,383,23,23,23,Mid East,15,22,390,520,390,500,400,510
C0310,Private,Doctoral degree,,94,43,4542,4820,8720,7284,100,2392,9676,9576,61,69,70,Mid East,22,25,502,580,490,570,490,570
C0311,Private,Bachelor's degree,,77,37,20251,26329,13354,1307,171,665,1972,1801,,,,Mid East,15,22,400,480,390,510,380,480
C0312,Private,Doctoral degree,,49,23,7319,14966,7838,2477,253,493,2970,2717,27,44,52,Far West,16,21,,,,,,
C0313,Private,Bachelor's degree,,90,20,5521,6142,9816,867,159,302,1169,1010,43,61,61,New England,20,25,450,560,470,560,,
C0314,Private,Doctoral degree,,63,43,1254,1984,41928,1367,484,194,1561,1077,50,58,63,New England,20,25,424,555,456,620,383,505
C0315,Private,Doctoral degree,,60,82,531,888,13750,2188,68,63,2251,2183,66,73,74,Far West,16,22,400,510,410,520,,
C0316,Private,Bachelor's degree,,,,,,34368,15585,11072,2761,18346,7274,31,39,43,Plains,24,29,540,640,560,650,,
C0317,Private,Doctoral degree,,52,35,781,1493,35700,7899,1077,2341,10240,9163,,,,Plains,,,,,,,,
C0318,Private,Master's degree,,46,31,13566,29339,12002,14478,4658,3486,17964,13306,32,60,67,Plains,18,26,443,588,430,550,,
C0319,Private,Doctoral degree,,33,28,476,1455,45622,113,89,234,347,258,73,82,82,Mid East,24,29,520,640,530,630,520,630
C0320,Public,Doctoral degree,,56,32,644,1158,30780,2199,299,2812,5011,4712,86,89,91,Southwest,25,29,540,620,550,650,540,640
C0321,Private,Doctoral degree,,67,31,3315,4978,26710,2323,1190,2631,4954,3764,31,42,44,Mid East,13,16,360,510,280,530,640,680
C0322,Public,Master's degree,,74,31,5033,6793,31385,18775,964,928,19703,18739,4,15,21,New England,21,24,430,570,430,530,,
C0323,Private,Doctoral degree,,57,20,597,1042,26050,5225,1604,3523,8748,7144,20,45,52,Southeast,19,24,,,,,,
C0324,Private,Master's degree,,68,20,1525,2253,31000,10572,4648,2366,12938,8290,3,19,41,New England,16,21,410,520,400,510,,
C0325,Private,Master's degree,,,,,,17010,737,1,286,1023,1022,15,27,30,Mid East,,,,,,,,
C0326,Private,Master's degree,,42,21,2063,4960,37352,14407,10213,3442,17849,7636,19,41,47,Southeast,23,28,500,600,550,660,,
C0327,Private,Doctoral degree,,71,70,298,417,17724,1929,99,316,2245,2146,68,79,81,New England,18,23,440,540,450,560,450,540
C0328,Private,Doctoral degree,,86,53,2864,3332,9760,5386,2211,439,5825,3614,38,55,59,Great Lakes,20,23,470,590,460,560,,
C0329,Private,Doctoral degree,,93,36,828,894,33690,1424,610,171,1595,985,36,50,51,Mid East,20,25,,,,,,
C0330,Private,Master's degree,,95,52,477,501,6265,28425,7171,2780,31205,24034,84,91,93,Plains,18,23,410,530,410,530,410,500
C0331,Public,Doctoral degree,,58,30,715,1229,7090,975,119,187,1162,1043,13,31,37,Mid East,24,29,530,640,530,630,520,610
C0332,Private,Bachelor's degree,,61,52,512,840,6468,984,0,314,1298,1298,44,66,70,Great Lakes,,,,,,,,
C0333,Public,Doctoral degree,,68,47,781,1147,45527,2181,1204,0,2181,977,66,82,84,Great Lakes,18,23,430,530,440,550,,
C0334,Public,Doctoral degree,,67,27,1691,2528,28240,2293,789,530,2823,2034,56,64,66,Southeast,22,24,440,550,460,600,430,540
C0335,Private,Master's degree,,59,32,2374,4011,25416,382,431,839,1221,790,23,29,32,Southeast,30,33,680,750,690,770,680,770
C0336,Private,Doctoral degree,,58,16,2518,4306,6550,9458,864,1829,11287,10423,24,34,36,Great Lakes,21,26,480,590,480,600,460,560
C0337,Public,Doctoral degree,,84,43,1361,1618,26280,2148,621,585,2733,2112,66,74,76,Mid East,,,450,560,480,580,460,560
C0338,Private,Doctoral degree,,57,20,1458,2542,10838,10360,1204,4574,14934,13730,57,77,78,Great Lakes,22,26,540,620,560,630,520,600
C0339,Private,Doctoral degree,,15,41,4912,32060,33830,3982,1845,2447,6429,4584,27,36,42,Mid East,20,24,450,540,460,550,,
C0340,Public,Doctoral degree,,38,21,2415,6399,23200,16767,2613,3750,20517,17904,58,63,64,Mid East,18,22,,,,,,
C0341,Private,Master's degree,,,,,,33280,1630,0,41,1671,1671,27,47,50,Mid East,,,,,,,,
C0342,Private,Doctoral degree,,39,65,2016,5228,40600,1928,0,374,2302,2302,74,79,79,Mid East,13,17,350,450,350,450,,
C0343,Private,Master's degree,,7,65,1963,26499,36051,1065,498,313,1378,880,21,46,52,Southeast,22,26,510,610,510,610,490,600
C0344,Private,Bachelor's degree,,100,50,4,4,10653,1525,418,549,2074,1656,9,23,30,Southeast,18,22,430,520,450,530,,
C0345,Private,Master's degree,,62,17,3667,5924,9180,1199,96,89,1288,1192,43,56,58,New England,,,,,,,,
C0346,Private,Doctoral degree,,64,34,602,944,1032,25873,10673,8506,34379,23706,50,57,57,Southwest,,,,,,,,
C0347,Private,Bachelor's degree,,60,13,793,1319,33145,1649,138,352,2001,1863,67,77,79,Mid East,21,26,480,590,480,570,,
C0348,Private,Master's degree,,61,30,1261,2072,19000,1041,0,334,1375,1375,24,63,68,Plains,23,28,540,650,510,620,,
C0349,Private,Doctoral degree,,50,32,1054,2117,7401,2498,994,1464,3962,2968,17,33,36,Southwest,25,30,540,680,540,650,,
C0350,Private,Bachelor's degree,,40,18,11691,28907,17400,2373,211,196,2569,2358,25,45,50,New England,18,24,430,530,470,550,,
C0351,Private,Bachelor's degree,,51,11,1377,2726,29836,6565,1262,149,6714,5452,30,47,49,Southeast,33,35,720,800,770,800,720,790
C0352,Private,Master's degree,,83,41,469,568,26240,2321,576,872,3193,2617,27,39,44,Mid East,24,29,520,630,530,630,520,630
C0353,Public,Master's degree,,68,27,2256,3325,26430,3984,677,1886,5870,5193,43,55,57,Mid East,,,,,,,,
C0354,Public,Doctoral degree,,27,36,1364,5017,10054,479,10,26,505,495,20,42,48,Plains,22,27,520,630,510,610,490,610
C0355,Private,Doctoral degree,,17,38,2581,15415,39040,14764,2481,2194,16958,14477,53,62,63,Mid East,22,27,,,,,,
C0356,Public,Doctoral degree,,,,,,11448,2676,2235,6915,9591,7356,35,44,44,Great Lakes,19,25,390,530,400,550,350,470
C0357,Public,Doctoral degree,,,,,,7265,1386,0,23,1409,1409,31,50,53,New England,23,28,510,620,500,610,,
C0358,Public,Master's degree,,,,,,30040,1070,27,52,1122,1095,17,33,37,Southeast,22,28,490,610,490,610,470,590
C0359,Public,Master's degree,,69,30,906,1312,12668,3392,480,491,3883,3403,10,22,29,Southeast,19,24,410,480,440,540,370,470
C0360,Public,Doctoral degree,,53,32,237,450,14240,1327,4,65,1392,1388,81,82,82,New England,20,26,,,,,,
C0361,Public,Master's degree,,73,20,1970,2710,23612,1128,0,55,1183,1183,9,29,41,Great Lakes,15,19,350,485,385,510,,
C0362,Public,Master's degree,,88,33,1146,1302,27345,7283,887,4086,11369,10482,30,50,53,Plains,19,22,360,470,390,540,,
C0363,Public,Master's degree,,84,52,2362,2812,12160,182,0,12,194,194,40,56,58,Mid East,,,,,,,,
C0364,Private,Doctoral degree,,,,,,22196,3241,600,1019,4260,3660,82,84,85,Southeast,21,26,450,550,450,580,,
C0365,Private,Doctoral degree,,66,24,2247,3427,5824,2668,0,360,3028,3028,54,61,62,Mid East,19,25,440,560,430,550,,
C0366,Private,Doctoral degree,,35,63,136,393,32370,39966,8256,19623,59589,51333,74,78,79,Southeast,,,,,,,,
C0367,Private,Master's degree,,96,53,3279,3399,31280,5749,2544,672,6421,3877,16,42,50,Southeast,20,25,495,623,490,590,,
C0368,Private,Doctoral degree,,,,,,30540,2356,0,40,2396,2396,44,53,53,Southeast,16,25,410,520,420,540,,
C0369,Private,Doctoral degree,,47,64,3299,7064,6908,827,455,516,1343,888,27,32,43,Southeast,23,28,530,670,530,630,530,650
C0370,Public,Master's degree,,73,50,507,695,46902,359,605,564,923,318,11,24,32,New England,,,,,,,,
C0371,Public,Master's degree,,77,21,1780,2315,21832,1433,102,36,1469,1367,72,75,75,New England,,,,,,,,
C0372,Private,Master's degree,,45,75,3430,7657,15688,793,0,0,793,793,63,71,73,New England,19,26,460,550,440,560,,
C0373,Private,Master's degree,,75,38,3673,4870,9386,1012,0,32,1044,1044,29,29,43,Southeast,29,33,640,730,660,740,650,730
C0374,Private,Master's degree,,74,31,333,452,8849,2011,0,28,2039,2039,55,73,76,Plains,19,24,,,,,,
C0375,Private,Bachelor's degree,,29,100,8,28,9032,1685,399,672,2357,1958,47,67,70,Far West,,,,,,,,
C0376,Private,Master's degree,,60,12,1321,2214,32920,2027,13,13,2040,2027,31,38,39,Southeast,,,400,493,420,520,,
C0377,Private,Master's degree,,76,29,1024,1350,29990,517,143,366,883,740,3,10,14,Far West,29,31,590,690,620,710,600,690
C0378,Private,Doctoral degree,,60,20,11948,19957,13602,1010,28,162,1172,1144,50,62,64,Rocky Mountains,19,26,565,665,530,650,565,585
C0379,Private,Bachelor's degree,,80,36,558,699,8460,1712,339,251,1963,1624,14,22,27,New England,20,24,460,560,480,570,440,530
C0380,Private,Doctoral degree,,74,65,784,1066,31990,2790,309,277,3067,2758,37,54,57,Southeast,23,29,510,640,510,650,,
C0381,Private,Master's degree,,34,24,2283,6683,27900,4966,1709,1350,6316,4607,43,47,47,Southeast,,,,,,,,
C0382,Private,Bachelor's degree,,77,47,2791,3640,4000,1106,0,7,1113,1113,39,43,43,Southwest,,,,,,,,
C0383,Private,Doctoral degree,,61,21,3113,5086,7577,1586,68,179,1765,1697,42,55,57,Great Lakes,16,19,410,470,430,490,380,460
C0384,Private,Master's degree,,44,29,19121,43048,13397,1528,1154,1326,2854,1700,35,62,67,Plains,,,,,,,,
C0385,Private,Bachelor's degree,,59,43,432,737,9852,745,104,606,1351,1247,30,53,59,Mid East,27,31,620,720,670,768,,
C0386,Private,Master's degree,,54,41,370,689,5808,1076,26,68,1144,1118,24,48,54,Southwest,24,30,520,640,540,660,500,620
C0387,Private,Doctoral degree,,58,35,497,854,11025,2888,4,806,3694,3690,14,24,30,Southwest,17,21,390,470,380,470,,
C0388,Private,Doctoral degree,,59,39,59,100,13412,1905,97,346,2251,2154,24,40,45,Southeast,23,26,,,,,,
C0389,Private,Doctoral degree,,63,21,2521,4016,26500,11577,2871,3114,14691,11820,88,93,93,New England,18,22,430,520,440,530,420,510
C0390,Private,Master's degree,,68,21,6086,8935,6344,988,1196,283,1271,75,0,76,76,Great Lakes,13,16,320,410,320,410,310,390
C0391,Private,Bachelor's degree,,95,17,3943,4160,19986,1786,42,135,1921,1879,30,44,50,Great Lakes,19,23,440,540,460,550,420,520
C0392,Public,Doctoral degree,,35,24,4675,13319,4482,2505,0,377,2882,2882,15,34,43,Southeast,,,,,,,,
C0393,Private,Bachelor's degree,,51,23,6125,12080,,7841,1761,3072,10913,9152,37,44,44,Southwest,21,25,480,590,500,600,450,560
C0394,Public,Doctoral degree,,41,71,450,1088,30290,438,0,141,579,579,58,69,70,Southeast,19,28,480,600,470,570,480,570
C0395,Private,Master's degree,,79,15,4221,5323,47510,2192,516,564,2756,2240,51,59,61,Mid East,,,,,,,,
C0396,Private,Bachelor's degree,,,,,,5105,3724,167,455,4179,4012,51,62,64,Southeast,22,28,520,640,520,650,,
C0397,Private,Doctoral degree,,58,33,2764,4801,5574,938,308,470,1408,1100,41,47,48,Far West,16,19,400,460,410,480,,
C0398,Private,Master's degree,,58,31,1527,2649,6058,1722,2144,1935,3657,1513,55,58,58,Mid East,,,,,,,,
C0399,Private,Master's degree,,80,38,4146,5204,22628,18909,9516,7223,26132,16616,29,34,34,Mid East,20,26,470,600,470,600,460,590
C0400,Public,Doctoral degree,,53,17,500,948,25880,2384,463,999,3383,2920,48,51,52,Mid East,19,24,430,540,460,540,,
C0401,Private,Bachelor's degree,,64,39,1167,1821,43902,1587,0,36,1623,1623,45,56,56,Far West,24,30,550,680,540,650,530,660
C0402,Private,Doctoral degree,,44,36,1983,4545,28378,4309,996,7514,11823,10827,,,,Great Lakes,22,26,510,620,500,590,490,600
C0403,Private,Master's degree,,67,19,1725,2560,,1092,284,308,1400,1116,71,74,75,Great Lakes,,,,,,,,
C0404,Private,Master's degree,,,,,,6968,21548,4768,5868,27416,22648,46,52,53,Great Lakes,21,25,480,550,500,580,,
C0405,Private,Bachelor's degree,,,,,,31866,1945,512,352,2297,1785,27,34,34,Mid East,18,25,450,570,440,580,440,560
C0406,Private,Master's degree,,56,23,3035,5432,44000,710,61,114,824,763,88,91,92,Southeast,,,,,,,,
C0407,Private,Doctoral degree,,93,55,1936,2071,5818,1349,1115,2326,3675,2560,27,52,57,New England,18,24,503,675,525,648,533,673
C0408,Private,Master's degree,,,,,,,2580,1027,595,3175,2148,44,54,56,Southwest,21,28,490,610,480,590,480,590
C0409,Private,Bachelor's degree,,,,,,6690,11644,2002,5576,17220,15218,58,67,69,Mid East,,,,,,,,
C0410,Private,Bachelor's degree,,51,11,5313,10513,10800,3926,444,410,4336,3892,,,,Mid East,25,31,570,670,570,670,570,670
C0411,Private,Bachelor's degree,,67,31,2088,3138,18690,2118,54,32,2150,2096,9,14,18,Mid East,22,26,480,583,460,583,450,600
C0412,Private,Bachelor's degree,,57,60,885,1554,22700,28606,5712,911,29517,23805,21,51,59,Southeast,22,28,520,640,510,610,,
C0413,Public,Doctoral degree,,66,38,6514,9938,26880,1672,368,29,1701,1333,90,92,92,Mid East,32,35,700,800,710,790,710,800
C0414,Public,Master's degree,,85,30,1550,1833,15840,6261,3477,2222,8483,5006,19,38,38,Plains,14,20,340,530,360,500,,
C0415,Private,Master's degree,,60,25,1980,3285,18300,6832,891,1447,8279,7388,68,82,82,Southeast,20,25,432,510,440,557,420,550
C0416,Public,Doctoral degree,,81,37,871,1076,5924,6101,1294,1445,7546,6252,18,27,33,Mid East,16,21,390,500,410,510,,
C0417,Private,Master's degree,,34,27,2310,6766,6265,9284,4843,1736,11020,6177,44,67,67,Great Lakes,25,30,510,620,570,740,,
