ID,Loan amount ($),Loan intent,Loan interest rate (%),Annual income ($),Loan grade,Home ownership,Job title,Length of employment (years),FICO score (high),FICO score (low),Open credit lines,Total credit limit ($),Total credit lines,Total current balance ($)
L275,8400,Debt consolidation,7.49,30000,A,Own,iron fitter,1,734,730,9,54564,13,44202
L276,5000,Credit card refinancing,14.85,67000,C,Rent,Social Worker Supervisor,2,674,670,18,138379,38,123030
L277,5000,Debt consolidation,9.8,55000,B,Rent,Maintenance worker,10,669,665,6,25203,11,16016
L278,2400,Debt consolidation,11.48,60000,B,Mortgage,Chemical operator,5,674,670,10,196467,22,178927
L279,15000,Debt consolidation,5.32,60000,A,Own,Truck Driver,9,794,790,8,103800,16,23508
L280,6075,,9.17,64400,B,Mortgage,Senior Compliance Analyst ,9,734,730,17,371139,40,334235
L281,20000,Debt consolidation,10.78,55000,B,Rent,Analytical Research Scientist,2,674,670,11,69850,22,47397
L282,6025,Debt consolidation,14.85,110000,C,Rent,Mgr. Quality Control,10,669,665,17,87869,37,71368
L283,8400,Debt consolidation,9.17,70000,B,Mortgage,Budget Services Coordinator,2,694,690,7,133800,36,134707
L284,15000,Debt consolidation,12.88,90000,C,Rent,Systems Software Specialist II,2,714,710,14,89240,29,42952
L285,19200,Debt consolidation,8.49,72000,B,Mortgage,HR Assistant,10,724,720,15,467614,28,442322
L286,12000,Debt consolidation,15.77,143000,D,Mortgage,Payroll Manager,1,699,695,8,410330,12,356838
L287,28800,Home improvement,12.88,60000,C,Mortgage,Manager,8,704,700,9,52400,19,25166
L288,5000,Debt consolidation,5.32,60000,A,Mortgage,Orientation ,10,734,730,7,468812,19,406338
L289,5000,Home improvement,12.88,60000,C,Mortgage,Bartender ,7,689,685,10,72546,31,41131
L290,31500,Debt consolidation,11.99,120000,C,Mortgage,Lieutenant ,10,759,755,7,590498,20,549792
L291,24000,Debt consolidation,18.49,165000,D,Rent,Laboratory Manager,10,664,660,13,72751,38,59253
L292,20000,Debt consolidation,12.88,110000,C,Mortgage,Division Manager,1,674,670,18,337189,33,286847
L293,24000,Debt consolidation,10.78,110000,B,Mortgage,Division Director OBGYN ,2,739,735,15,261238,35,199389
L294,21850,Debt consolidation,17.27,65000,D,Mortgage,College professor,10,664,660,9,131099,32,120551
L295,9500,Home improvement,6.49,126500,A,Mortgage,Executive manager,10,684,680,14,307298,47,264336
L296,20000,Debt consolidation,8.49,98000,B,Mortgage,registered nurse,10,679,675,11,345325,30,308743
L297,20000,Credit card refinancing,13.44,59000,C,Rent,teacher,8,684,680,22,101255,35,76322
L298,20000,Home improvement,16.59,135000,D,Mortgage,IT Consultant,10,689,685,18,253826,30,148848
L299,20000,,12.88,65000,C,Rent,Payroll Processor,1,739,735,16,94864,41,28351
L300,25200,Credit card refinancing,13.44,78000,C,Mortgage,Information Assurance Manager,2,714,710,7,387367,17,327255
L301,12000,Credit card refinancing,6.99,50000,A,Mortgage,Store Manager,10,794,790,13,199861,21,135859
L302,10000,Debt consolidation,12.88,65000,C,Mortgage,Revenue tech,10,674,670,11,43585,22,31312
L303,12000,Debt consolidation,9.8,36500,B,Mortgage,Business Office Asst,10,809,805,10,134586,24,106299
L304,12000,Debt consolidation,7.91,75000,A,Mortgage,Registered Nurse,8,754,750,4,237285,10,213908
L305,6425,Debt consolidation,15.77,41000,D,Rent,Laboratory Services Technician,1,674,670,4,6700,13,476
L306,12700,Debt consolidation,17.97,32760,D,Rent,Accounting ,3,679,675,21,48784,30,27300
L307,35000,Credit card refinancing,13.99,121000,C,Own,Teacher,10,684,680,27,89983,87,35619
L308,16000,Debt consolidation,13.44,110000,C,Mortgage,Lead Medic/Critical Care Paramedic,5,679,675,16,213148,28,183857
L309,15000,Credit card refinancing,13.99,48000,C,Own,Table Games Supervisor,2,674,670,6,59055,11,48714
L310,20550,Debt consolidation,16.59,60000,D,Rent,Flight Attendant ,10,719,715,12,375754,20,290278
L311,25000,Home improvement,6.99,127000,A,Mortgage,Program Analyst,10,729,725,10,193561,26,128658
L312,14000,Debt consolidation,19.48,115000,E,Rent,foreman pipe fitter ,10,664,660,7,47151,11,38073
L313,16925,Major purchase,21.48,47000,E,Rent,Executive Assistant,10,684,680,10,86819,27,77020
L314,4700,Debt consolidation,13.44,22000,C,Rent,Phlebotomist ,3,709,705,12,31333,19,16145
L315,5000,Debt consolidation,8.49,25000,B,Own,,,679,675,17,36100,24,7259
L316,12000,Debt consolidation,14.85,92500,C,Mortgage,Business Project Manager,2,674,670,12,231354,19,25800
L317,12000,Debt consolidation,9.8,55000,B,Rent,Hvac tech,10,664,660,9,18042,13,7963
L318,15000,Debt consolidation,6.99,117000,A,Mortgage,Head of Corporate Physical Security,1,704,700,4,700359,13,658060
L319,4900,Debt consolidation,13.44,123000,C,Mortgage,Project Manager ,2,689,685,8,451519,16,421365
L320,18000,Credit card refinancing,7.49,70000,A,Mortgage,Registered Nurse,1,694,690,10,167690,31,148756
L321,18000,Debt consolidation,14.85,48000,C,Rent,administrative assistant,5,664,660,15,59287,40,41300
L322,25000,Debt consolidation,17.27,120000,D,Mortgage,Account manager,10,664,660,17,94194,26,73675
L323,15000,Debt consolidation,12.88,50000,C,Mortgage,line leader,10,669,665,12,273354,34,248016
L324,3600,Car financing,11.48,97000,B,Mortgage,Police Officer,1,664,660,16,259782,30,245735
L325,33000,Other,8.49,92250,B,Mortgage,Systems Administrator II,5,739,735,8,367796,18,320452
L326,14950,Debt consolidation,18.99,68000,E,Mortgage,electrical lead,10,689,685,11,138722,40,116969
L327,15000,Debt consolidation,12.88,154000,C,Mortgage,"Associate Director, Info. Management",10,734,730,20,724714,58,625574
L328,7000,Debt consolidation,16.59,30100,D,Mortgage,Vendor Auditor,2,684,680,13,129045,30,112712
L329,15000,Debt consolidation,16.59,35300,D,Rent,Dispatcher II,10,684,680,9,64511,21,37590
L330,35000,Debt consolidation,12.88,98000,C,Rent,Sr Software Eng,4,694,690,11,185399,24,115692
L331,8000,Credit card refinancing,8.49,58000,B,Mortgage,,,734,730,11,339800,42,308483
L332,20000,Credit card refinancing,11.99,40000,C,Mortgage,Driver,8,714,710,18,71700,65,21678
L333,14375,Debt consolidation,19.89,80000,E,Mortgage,Sr Tax Accountant,1,699,695,15,295397,39,224733
L334,21000,Debt consolidation,9.17,85000,B,Mortgage,Paint and Body technician ,1,709,705,16,251100,30,198508
L335,3700,Debt consolidation,12.88,65000,C,Own,warehouse reciever/ lead,10,704,700,17,93587,34,32007
L336,8400,Credit card refinancing,9.17,85000,B,Rent,Technical manager,10,664,660,23,80403,34,40798
L337,7200,Debt consolidation,11.48,22000,B,Rent,Teller,1,754,750,10,36131,10,14303
L338,16800,Debt consolidation,8.49,85400,B,Mortgage,Director of Admissions,8,709,705,10,219016,21,195318
L339,9000,Major purchase,5.32,150000,A,Mortgage,Financial Advisor,7,799,795,4,69300,30,4842
L340,6000,Home improvement,13.99,43700,C,Mortgage,A/C Technician,6,664,660,20,165592,33,122566
L341,34000,Debt consolidation,10.78,76497,B,Rent,Clinical Documentation Specialist,7,709,705,4,36000,7,34886
L342,20000,Debt consolidation,11.99,67000,C,Mortgage,Police Officer,10,684,680,5,205500,17,196474
L343,16000,Debt consolidation,12.88,91000,C,Mortgage,SR. Analyst,10,669,665,14,519959,36,377656
L344,11200,Debt consolidation,8.49,70000,B,Mortgage, Equipment operator ,10,689,685,9,390100,28,336832
L345,21000,Debt consolidation,18.49,95000,D,Mortgage,Commander /03,10,679,675,19,405225,39,364710
L346,16000,Credit card refinancing,12.88,65000,C,Mortgage,Teacher,10,709,705,23,156092,41,103228
L347,6000,Debt consolidation,7.91,50000,A,Mortgage,Mortician,10,789,785,8,199278,20,144011
L348,9100,Credit card refinancing,6.49,84000,A,Rent,Lean Manger,4,734,730,12,118995,33,84112
L349,10000,Other,6.99,60000,A,Mortgage,foodservice manager,10,714,710,18,363294,45,278584
L350,28000,Debt consolidation,10.78,135000,B,Mortgage,Process Facility Engineer,3,744,740,13,429857,30,342398
L351,30000,Other,27.49,115000,G,Mortgage,Service Technian Lead,1,679,675,14,348717,20,300130
L352,8450,Debt consolidation,11.99,37380,C,Rent,Shipping & Receiving,10,674,670,6,20766,14,6295
L353,8775,Credit card refinancing,22.45,75000,F,Rent,Service Rep,10,664,660,14,87952,44,65963
L354,6000,Debt consolidation,5.32,72000,A,Mortgage,Engineering Manager,5,694,690,11,169626,22,149763
L355,10000,Debt consolidation,5.32,75000,A,Mortgage,letter carrier,10,774,770,10,262700,30,186318
L356,10000,Debt consolidation,15.77,128000,D,Rent,General Manager,4,689,685,18,136066,29,83718
L357,7200,Debt consolidation,17.27,22000,D,Rent,Part-time Supervisor ,3,704,700,10,46500,13,31313
L358,20000,Debt consolidation,14.85,75000,C,Own,Accounting Manager,5,709,705,16,424836,36,369878
L359,20000,Debt consolidation,9.17,95750,B,Rent,service advisor ,2,689,685,11,114125,22,87694
L360,5000,Debt consolidation,5.32,130000,A,Mortgage,Senior Buyer,8,724,720,9,748546,27,686601
L361,15000,Debt consolidation,9.8,35179,B,Mortgage,Exec. Administrative,1,709,705,19,233839,40,203650
L362,23950,Credit card refinancing,17.97,160000,D,Rent,SALES MANAGER,3,679,675,14,174051,46,141658
L363,15000,Debt consolidation,10.78,160000,B,Mortgage,Cheif Electronic Tech ,10,674,670,13,318154,30,259264
L364,2250,Credit card refinancing,8.49,60000,B,Mortgage,PTC Support,1,694,690,13,179618,23,186499
L365,14000,Debt consolidation,13.44,40000,C,Mortgage,manager,1,674,670,14,70490,20,31789
L366,14000,Debt consolidation,12.88,80000,C,Rent,Sales Account Rep,2,664,660,11,18500,18,7002
L367,18000,Debt consolidation,7.49,83000,A,Mortgage,Sr. Designer,3,704,700,17,268635,28,218712
L368,12000,Other,5.32,72500,A,Mortgage,Executive Steward,3,749,745,10,381800,19,349210
L369,5600,Credit card refinancing,10.78,46000,B,Own,Department manager,10,664,660,7,261476,14,253597
L370,35000,Debt consolidation,16.59,83000,D,Rent,Certified Teacher,1,704,700,16,169692,33,159887
L371,8000,Other,12.88,43500,C,Rent,admin//qa,3,704,700,11,34321,16,17589
L372,2400,Debt consolidation,13.44,26000,C,Rent,Logistics,3,674,670,7,15897,8,11041
L373,35000,Debt consolidation,17.27,98000,D,Mortgage,irrigation technician,1,689,685,18,371902,43,333930
L374,35000,Credit card refinancing,10.78,140000,B,Mortgage,National Sales Manager,10,749,745,9,566628,30,474040
L375,7000,Other,12.88,55000,C,Own,BILLING REPRESENTATIVE,10,739,735,4,59970,6,52076
L376,8000,Debt consolidation,11.99,23200,C,Own,Manufacturing associate,2,679,675,12,40450,22,17312
L377,6125,Debt consolidation,17.27,70000,D,Rent,High Voltage Electrician/Plant Engineer,4,694,690,9,42956,11,31704
L378,10400,Debt consolidation,13.44,150000,C,Mortgage,Senior Director,10,674,670,23,283207,44,252779
L379,30000,Debt consolidation,7.91,134000,A,Mortgage,District Manager,5,729,725,12,308556,49,256121
L380,4000,Debt consolidation,14.85,30000,C,Mortgage,CNA,5,669,665,11,26600,22,5339
L381,10000,Debt consolidation,10.78,125000,B,Mortgage,Pharmacist,10,689,685,19,459291,38,382609
L382,16000,Debt consolidation,7.91,50000,A,Mortgage,lead operator,1,719,715,9,134618,22,106144
L383,24000,Home improvement,17.27,67000,D,Mortgage,Special Education Teacher,10,694,690,12,288950,32,251690
L384,19225,,26.99,56600,G,Mortgage,OTR Truck Driver,1,714,710,8,44633,22,33946
L385,13000,Home improvement,12.88,130000,C,Mortgage,Sr. Ops Coordinator,5,709,705,11,251012,32,221561
L386,16800,Debt consolidation,9.17,52000,B,Mortgage,Public Services Librarian,7,739,735,14,207561,20,154736
L387,2000,Credit card refinancing,6.49,35037,A,Own,GIS Specialist,3,764,760,9,154544,14,129310
L388,19200,Debt consolidation,5.32,50000,A,Mortgage,Truck driver,1,694,690,4,42804,11,25243
L389,10000,Debt consolidation,13.44,140000,C,Rent,General Manager,10,664,660,12,261697,24,298210
L390,35000,Debt consolidation,7.91,165000,A,Mortgage,agent,4,714,710,21,153583,34,81908
L391,15000,Debt consolidation,12.88,60000,C,Mortgage,Area Manager,10,679,675,9,234987,42,200590
L392,35000,Debt consolidation,15.77,84468,D,Rent,Registered Nurse,1,669,665,13,111537,35,81087
L393,18000,Credit card refinancing,8.49,55000,B,Rent,General Manager,1,674,670,14,71928,24,52980
L394,8000,Debt consolidation,9.8,40000,B,Rent,driver ,6,689,685,19,57095,25,27080
L395,15000,Debt consolidation,12.88,50000,C,Own,Credit Reager,10,809,805,9,118179,11,96280
L396,17400,Debt consolidation,8.49,175000,B,Mortgage,Owner,10,699,695,6,327424,18,315597
L397,35000,Credit card refinancing,11.99,156000,C,Mortgage,Assistant Vice President,10,714,710,11,438979,22,388441
L398,12000,Debt consolidation,9.17,100000,B,Rent,Senior Associate,3,749,745,11,66660,17,37896
L399,24000,Debt consolidation,9.17,66000,B,Rent,teacher/school employee,10,669,665,26,168493,41,125585
L400,8000,Home improvement,7.91,66500,A,Own,Designer/Programmer,5,729,725,10,88699,13,50862
L401,16775,Debt consolidation,19.89,74000,E,Mortgage,Media Operations Manager,1,679,675,16,409218,29,369811
L402,8000,Credit card refinancing,8.49,48000,B,Mortgage,Truck Driver,3,674,670,4,141827,24,123372
L403,21000,Debt consolidation,10.78,100000,B,Mortgage,Problem Manager Level 2,1,734,730,24,194160,48,62696
L404,20000,Other,13.44,150000,C,Mortgage,It director,2,674,670,7,316738,15,288842
L405,10000,Credit card refinancing,12.88,113000,C,Mortgage,Fire Chief,1,694,690,12,435365,27,389737
L406,6000,Debt consolidation,7.91,81120,A,Mortgage,Benefits Subject Matter Expert,1,689,685,10,220385,22,190302
L407,6000,Debt consolidation,18.49,54744,D,Mortgage,,,669,665,7,347499,26,328594
L408,8400,Credit card refinancing,11.48,80000,B,Rent,Customer advocate,1,714,710,12,43053,61,26155
L409,10000,Credit card refinancing,12.88,33000,C,Rent,teacher aid,10,669,665,8,40700,18,21272
L410,6000,Credit card refinancing,9.17,72000,B,Own,Controller honduras,2,664,660,9,46600,24,4752
L411,20000,Credit card refinancing,8.49,70000,B,Rent,Executive Chef,10,679,675,3,51800,4,32224
L412,4600,Credit card refinancing,11.99,14688,C,Rent,,,674,670,10,21600,26,14395
L413,20000,,17.27,50000,D,Mortgage,Electrician,10,709,705,11,147579,26,127260
L414,15000,Credit card refinancing,9.17,48112,B,Rent,Customer Service Manager,2,689,685,12,64120,23,33101
L415,12000,Debt consolidation,12.88,40000,C,Mortgage,server,4,694,690,13,256305,22,238974
L416,5000,Debt consolidation,10.78,75000,B,Own,Reliability Mechanic,10,709,705,13,113838,53,56423
L417,6000,Debt consolidation,10.78,57000,B,Mortgage,Procurement ,1,694,690,12,312021,23,259307
L418,10050,Credit card refinancing,17.27,34000,D,Rent,Library Associate,10,714,710,5,17940,12,6303
L419,6000,Debt consolidation,5.32,43000,A,Rent,Supervisor,10,684,680,8,47281,11,27746
L420,28000,Debt consolidation,20.5,84000,E,Rent,Engineer Instructor,10,704,700,22,209989,52,114340
L421,15000,Credit card refinancing,5.32,81000,A,Own,teacher assistant,3,804,800,14,250286,26,64382
L422,10500,Other,8.49,168400,B,Mortgage,Project Manager,10,719,715,18,236340,36,139884
L423,10000,Debt consolidation,13.44,34000,C,Mortgage,MHW2,3,724,720,17,132650,21,85375
L424,3600,Debt consolidation,7.49,62000,A,Mortgage,Accounts Receivable Manager,1,724,720,21,230175,43,213212
L425,10000,Other,11.48,72000,B,Mortgage,Accounting Assistant,10,684,680,13,454144,26,420706
L426,30000,Credit card refinancing,8.49,115000,B,Rent,pit Manager,10,694,690,23,74945,44,33898
L427,8000,Debt consolidation,11.99,35000,C,Rent,Customer service,2,724,720,10,23600,23,6352
L428,15000,Debt consolidation,16.59,55000,D,Mortgage,CNA,1,664,660,13,27275,22,22026
L429,21600,Debt consolidation,8.49,60000,B,Mortgage,Finisher Carpenter,2,689,685,10,147841,22,132095
L430,12000,,9.17,105000,B,Mortgage,Outbound Warehouse Manager,10,674,670,12,271461,29,242572
L431,28000,Credit card refinancing,7.91,102000,A,Mortgage,Nurse Practitioner,8,704,700,24,258185,48,150054
L432,6400,Credit card refinancing,11.48,33000,B,Rent,sales associate,10,689,685,9,28921,18,21252
L433,15000,Car financing,9.17,48000,B,Rent,Intl Logistics LifeScience Agent,10,684,680,10,22300,11,15450
L434,13000,Credit card refinancing,7.91,70000,A,Rent,Consultant,2,714,710,10,130300,27,100336
L435,10000,Credit card refinancing,13.44,80000,C,Rent,assistant svc manager ,3,674,670,9,54793,24,47467
L436,24800,,7.91,95000,A,Mortgage,account manager,10,769,765,14,311769,24,197541
L437,12000,Other,10.78,56000,B,Own,Maint. Machinist,10,709,705,7,62836,15,42392
L438,10800,Car financing,8.49,96000,B,Mortgage,Senior Consultant,9,699,695,17,298922,26,231437
L439,15000,,11.99,65000,C,Mortgage,Lead Tech,1,669,665,9,251645,16,231860
L440,24000,Credit card refinancing,5.32,120000,A,Mortgage,Pharmacist,3,729,725,13,585052,31,470657
L441,2000,Debt consolidation,13.44,75600,C,Own,Engineer,10,689,685,5,188481,19,161917
L442,22600,Debt consolidation,15.77,53867,D,Mortgage,Teacher,3,679,675,33,210041,46,204160
L443,13500,Debt consolidation,23.13,50000,F,Rent,Electrician,10,664,660,17,61443,21,26347
L444,6000,,10.78,66000,B,Mortgage,"Pastor assigned-Minneapolis, MN",10,699,695,11,322369,28,287417
L445,20000,Credit card refinancing,9.8,84000,B,Mortgage,CPS Supervisor,10,694,690,12,203104,40,142068
L446,5000,Debt consolidation,6.49,55000,A,Own,Pressoperater,10,704,700,9,82320,15,56358
L447,20000,Credit card refinancing,7.49,100000,A,Mortgage,Pilot,10,739,735,9,295901,18,227847
L448,12000,Debt consolidation,9.8,103000,B,Mortgage,Sergeant Major,10,684,680,11,100066,50,85818
L449,32000,Credit card refinancing,11.48,107000,B,Mortgage,Professor,10,714,710,12,264927,27,197622
L450,15200,Debt consolidation,13.99,69998,C,Own,Engineer,10,664,660,7,35970,15,29586
L451,12500,Debt consolidation,11.99,60000,C,Mortgage,Owner,1,689,685,5,37774,8,22593
L452,21000,Debt consolidation,10.78,81000,B,Mortgage,IT Specialist,4,704,700,12,204648,39,171617
L453,16000,Credit card refinancing,8.49,35000,B,Rent,Customer Care coordinator,3,709,705,10,42866,13,25404
L454,24650,Debt consolidation,11.48,100000,B,Mortgage,Supervising Psychiatric Social Worker,10,729,725,11,314083,24,232132
L455,11000,Debt consolidation,7.91,77000,A,Mortgage,Senior Financial/Budget Analyst,3,689,685,11,142858,25,102832
L456,22400,Credit card refinancing,14.85,70000,C,Rent,librarian,10,699,695,10,61506,20,46351
L457,15125,Debt consolidation,18.49,61000,D,Mortgage,driver,10,684,680,16,168163,18,138317
L458,8725,Debt consolidation,11.99,60000,C,Mortgage,account sales mng,10,734,730,9,231019,33,182657
L459,8000,Debt consolidation,7.91,63800,A,Mortgage,Teacher,10,734,730,11,202465,35,176193
L460,8000,Major purchase,9.17,52000,B,Rent,Wholesale Mgr,2,669,665,4,18000,16,4715
L461,11000,,14.85,42240,C,Rent,Field Technician,2,689,685,13,32800,16,17527
L462,11725,Debt consolidation,18.99,82000,E,Mortgage,Teacher,5,684,680,10,475402,22,462075
L463,28500,Debt consolidation,18.99,70000,E,Mortgage,Sales,1,694,690,16,77351,29,51516
L464,25000,Credit card refinancing,6.49,120000,A,Own,Manager,5,749,745,17,331839,33,205345
L465,7000,Moving and relocation,9.17,70000,B,Rent,Nurse Lvn ,5,664,660,13,47634,20,18851
L466,12000,Debt consolidation,9.8,100000,B,Mortgage,Director of Channel Sales & Marketing,1,669,665,10,78247,44,64010
L467,20000,Credit card refinancing,8.49,40000,B,Own,Sales,10,789,785,16,232020,44,166975
L468,5875,Debt consolidation,15.77,56000,D,Rent,manufacturing driver,10,674,670,5,56536,11,40710
L469,18000,Debt consolidation,18.49,145000,D,Rent,Sales Account Manager,10,674,670,26,136740,49,91350
L470,28000,Home improvement,7.91,160000,A,Mortgage,Group Manager,1,714,710,16,995789,31,863809
L471,35000,Moving and relocation,9.8,205000,B,Rent,Pilot,10,714,710,10,109250,44,52253
L472,31800,Debt consolidation,16.59,65000,D,Mortgage,Finance and Admn. Director,1,814,810,12,303782,23,151320
L473,25000,Debt consolidation,17.97,105000,D,Mortgage,Driver,10,684,680,10,150404,41,126079
L474,16000,Debt consolidation,17.27,54000,D,Rent,O&M Specialist II,6,719,715,10,69983,16,54383
L475,25000,Credit card refinancing,10.78,82000,B,Own,Business Analyst,10,724,720,8,94054,19,51088
L476,35000,Credit card refinancing,16.59,139000,D,Mortgage,Registered Nurse,5,674,670,10,490301,28,437916
L477,18000,Credit card refinancing,7.91,60000,A,Own,Sales,1,684,680,12,275636,18,249471
L478,10000,Debt consolidation,7.49,55500,A,Mortgage,Support Staff,1,704,700,8,233647,16,197329
L479,8000,Credit card refinancing,14.85,53040,C,Rent,ESTIMATING ASSISTANT,2,664,660,12,24400,35,18745
L480,12000,Debt consolidation,13.44,75000,C,Mortgage,Team member ,10,684,680,11,214359,19,188332
L481,15000,Debt consolidation,5.32,75000,A,Mortgage,,,784,780,11,402524,34,348839
L482,20000,Home buying,11.99,155000,C,Mortgage,CEO/Therapist,4,714,710,17,682399,25,589998
L483,14000,Business,19.89,80000,E,Mortgage,Program Group Leader,10,704,700,13,235487,28,161577
L484,20500,Debt consolidation,8.49,77700,B,Rent,,,689,685,16,64791,51,36371
L485,4700,Debt consolidation,13.99,88000,C,Mortgage,Sales,4,664,660,6,339546,13,307949
L486,28000,Debt consolidation,9.17,76008,B,Mortgage,Attorney,4,694,690,18,88700,38,38235
L487,12000,Debt consolidation,7.91,71000,A,Mortgage,HR Director,10,719,715,27,435795,65,314205
L488,7200,Credit card refinancing,7.91,42500,A,Rent,Sales Associate,1,674,670,10,17400,18,8187
L489,11000,Debt consolidation,7.49,33000,A,Own,,,804,800,26,171175,44,33480
L490,11000,Debt consolidation,13.99,52000,C,Mortgage,sales/merchandiser,5,664,660,8,15500,8,8800
L491,3500,Car financing,9.8,45000,B,Mortgage,Operation to Cash Analyst,1,729,725,30,209664,66,177019
L492,23850,Major purchase,13.44,111000,C,Own,System Administrator,3,664,660,24,90204,38,69813
L493,3600,Other,15.77,70000,D,Rent,Production Supervisor,3,689,685,12,49778,30,44177
L494,15000,Debt consolidation,7.91,54000,A,Rent,Teacher,2,674,670,6,51902,14,24581
L495,16500,Credit card refinancing,11.99,76000,C,Mortgage,Information Specialist 4,10,729,725,12,30900,15,7256
L496,8275,Credit card refinancing,10.78,55000,B,Mortgage,,,719,715,10,293433,23,267768
L497,35000,Home improvement,17.27,80000,D,Mortgage,Director of Catering & Events,1,694,690,9,50604,19,43461
L498,20000,Debt consolidation,5.32,106000,A,Mortgage,Radiology Ancillary Manager ,1,739,735,14,439594,28,373014
L499,22800,Debt consolidation,5.32,76000,A,Mortgage,Owner,6,739,735,12,141601,27,90166
L500,10000,Credit card refinancing,8.49,35000,B,Own,Accounting Clerk,4,709,705,12,75496,30,38331
