ID,Loan amount ($),Loan intent,Loan interest rate (%),Annual income ($),Annual income ($),Job title,Loan grade
L426,30000,Credit card refinancing,8.49,115000,115000,pit Manager,B
L427,8000,Debt consolidation,11.99,35000,35000,Customer service,C
L428,15000,Debt consolidation,16.59,55000,55000,CNA,D
L429,21600,Debt consolidation,8.49,60000,60000,Finisher Carpenter,B
L430,12000,,9.17,105000,105000,Outbound Warehouse Manager,B
L431,28000,Credit card refinancing,7.91,102000,102000,Nurse Practitioner,A
L432,6400,Credit card refinancing,11.48,33000,33000,sales associate,B
L433,15000,Car financing,9.17,48000,48000,Intl Logistics LifeScience Agent,B
L434,13000,Credit card refinancing,7.91,70000,70000,Consultant,A
L435,10000,Credit card refinancing,13.44,80000,80000,assistant svc manager ,C
L436,24800,,7.91,95000,95000,account manager,A
L437,12000,Other,10.78,56000,56000,Maint. Machinist,B
L438,10800,Car financing,8.49,96000,96000,Senior Consultant,B
L439,15000,,11.99,65000,65000,Lead Tech,C
L440,24000,Credit card refinancing,5.32,120000,120000,Pharmacist,A
L441,2000,Debt consolidation,13.44,75600,75600,Engineer,C
L442,22600,Debt consolidation,15.77,53867,53867,Teacher,D
L443,13500,Debt consolidation,23.13,50000,50000,Electrician,F
L444,6000,,10.78,66000,66000,"Pastor assigned-Minneapolis, MN",B
L445,20000,Credit card refinancing,9.8,84000,84000,CPS Supervisor,B
L446,5000,Debt consolidation,6.49,55000,55000,Pressoperater,A
L447,20000,Credit card refinancing,7.49,100000,100000,Pilot,A
L448,12000,Debt consolidation,9.8,103000,103000,Sergeant Major,B
L449,32000,Credit card refinancing,11.48,107000,107000,Professor,B
L450,15200,Debt consolidation,13.99,69998,69998,Engineer,C
L451,12500,Debt consolidation,11.99,60000,60000,Owner,C
L452,21000,Debt consolidation,10.78,81000,81000,IT Specialist,B
L453,16000,Credit card refinancing,8.49,35000,35000,Customer Care coordinator,B
L454,24650,Debt consolidation,11.48,100000,100000,Supervising Psychiatric Social Worker,B
L455,11000,Debt consolidation,7.91,77000,77000,Senior Financial/Budget Analyst,A
L456,22400,Credit card refinancing,14.85,70000,70000,librarian,C
L457,15125,Debt consolidation,18.49,61000,61000,driver,D
L458,8725,Debt consolidation,11.99,60000,60000,account sales mng,C
L459,8000,Debt consolidation,7.91,63800,63800,Teacher,A
L460,8000,Major purchase,9.17,52000,52000,Wholesale Mgr,B
L461,11000,,14.85,42240,42240,Field Technician,C
L462,11725,Debt consolidation,18.99,82000,82000,Teacher,E
L463,28500,Debt consolidation,18.99,70000,70000,Sales,E
L464,25000,Credit card refinancing,6.49,120000,120000,Manager,A
L465,7000,Moving and relocation,9.17,70000,70000,Nurse Lvn ,B
L466,12000,Debt consolidation,9.8,100000,100000,Director of Channel Sales & Marketing,B
L467,20000,Credit card refinancing,8.49,40000,40000,Sales,B
L468,5875,Debt consolidation,15.77,56000,56000,manufacturing driver,D
L469,18000,Debt consolidation,18.49,145000,145000,Sales Account Manager,D
L470,28000,Home improvement,7.91,160000,160000,Group Manager,A
L471,35000,Moving and relocation,9.8,205000,205000,Pilot,B
L472,31800,Debt consolidation,16.59,65000,65000,Finance and Admn. Director,D
L473,25000,Debt consolidation,17.97,105000,105000,Driver,D
L474,16000,Debt consolidation,17.27,54000,54000,O&M Specialist II,D
L475,25000,Credit card refinancing,10.78,82000,82000,Business Analyst,B
L476,35000,Credit card refinancing,16.59,139000,139000,Registered Nurse,D
L477,18000,Credit card refinancing,7.91,60000,60000,Sales,A
L478,10000,Debt consolidation,7.49,55500,55500,Support Staff,A
L479,8000,Credit card refinancing,14.85,53040,53040,ESTIMATING ASSISTANT,C
L480,12000,Debt consolidation,13.44,75000,75000,Team member ,C
L481,15000,Debt consolidation,5.32,75000,75000,,A
L482,20000,Home buying,11.99,155000,155000,CEO/Therapist,C
L483,14000,Business,19.89,80000,80000,Program Group Leader,E
L484,20500,Debt consolidation,8.49,77700,77700,,B
L485,4700,Debt consolidation,13.99,88000,88000,Sales,C
L486,28000,Debt consolidation,9.17,76008,76008,Attorney,B
L487,12000,Debt consolidation,7.91,71000,71000,HR Director,A
L488,7200,Credit card refinancing,7.91,42500,42500,Sales Associate,A
L489,11000,Debt consolidation,7.49,33000,33000,,A
L490,11000,Debt consolidation,13.99,52000,52000,sales/merchandiser,C
L491,3500,Car financing,9.8,45000,45000,Operation to Cash Analyst,B
L492,23850,Major purchase,13.44,111000,111000,System Administrator,C
L493,3600,Other,15.77,70000,70000,Production Supervisor,D
L494,15000,Debt consolidation,7.91,54000,54000,Teacher,A
L495,16500,Credit card refinancing,11.99,76000,76000,Information Specialist 4,C
L496,8275,Credit card refinancing,10.78,55000,55000,,B
L497,35000,Home improvement,17.27,80000,80000,Director of Catering & Events,D
L498,20000,Debt consolidation,5.32,106000,106000,Radiology Ancillary Manager ,A
L499,22800,Debt consolidation,5.32,76000,76000,Owner,A
L500,10000,Credit card refinancing,8.49,35000,35000,Accounting Clerk,B
