ID,Control,Highest degree offered,,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),Tuition and fees 2013-14 ($),Geographic region,Total enrollment,Admission rate (%),Receiving financial aid (%),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile)
C0273,Private,Master's degree,,17,33,40,26720,Mid East,10978,46,100,27,32,580,680,620,720,600,690
C0274,Public,Doctoral degree,,25,39,45,46269,Southwest,4042,60,95,,,,,,,,
C0275,Public,Doctoral degree,,32,48,51,15995,Great Lakes,1173,76,95,21,26,500,590,500,590,510,600
C0276,Private,Master's degree,,17,36,42,5906,Far West,8645,94,91,18,25,430,560,450,560,410,540
C0277,Public,Bachelor's degree,,50,50,60,7172,Rocky Mountains,3048,66,74,21,24,480,550,500,570,450,540
C0278,Public,Doctoral degree,,26,36,37,35900,Great Lakes,2277,,100,22,26,530,610,520,620,510,600
C0279,Public,Doctoral degree,,10,14,14,20768,New England,5017,80,95,,,470,570,480,580,460,570
C0280,Public,Doctoral degree,,81,88,90,27800,Mid East,986,74,100,21,26,440,545,490,600,410,555
C0281,Private,Master's degree,,24,39,45,39316,Southwest,17343,72,99,,,490,600,510,640,480,580
C0282,Public,Bachelor's degree,,22,35,41,21890,Plains,1357,85,100,,,,,,,,
C0283,Private,Doctoral degree,,21,38,42,7665,Great Lakes,36198,38,90,22,27,480,570,510,600,460,560
C0284,Private,Bachelor's degree,,10,29,38,40707,Mid East,3952,88,85,21,27,,,490,670,510,660
C0285,Private,Bachelor's degree,,67,75,76,8022,Southeast,26968,77,93,23,27,510,620,510,610,490,610
C0286,Private,Doctoral degree,,0,0,0,16610,Mid East,366,60,100,,,,,,,,
C0287,Private,Bachelor's degree,,6,6,49,13746,Southeast,2615,76,70,19,25,480,630,510,640,500,570
C0288,Private,Doctoral degree,,33,50,51,21800,Mid East,1481,85,95,,,373,515,360,547,,
C0289,Public,Doctoral degree,,23,37,40,28810,Great Lakes,3800,74,100,20,25,470,580,500,630,480,590
C0290,Private,Doctoral degree,,27,38,44,35800,Southeast,1133,,98,,,320,440,340,420,330,440
C0291,Private,Master's degree,,11,30,39,34850,Far West,3305,69,100,19,24,460,560,450,540,,
C0292,Private,Doctoral degree,,21,43,50,22290,New England,243,55,99,16,22,400,510,400,530,,
C0293,Private,Doctoral degree,,31,53,57,22252,New England,5020,61,100,,,,,,,,
C0294,Private,Bachelor's degree,,55,64,65,6158,Southeast,2477,72,71,19,24,400,520,380,550,,
C0295,Public,Master's degree,,37,56,59,7024,New England,350,75,76,23,27,520,620,540,640,,
C0296,Private,Master's degree,,24,39,42,7140,New England,16356,60,94,15,20,380,470,390,470,370,460
C0297,Private,Bachelor's degree,,4,8,9,26650,Southeast,1788,100,97,19,25,440,550,440,550,,
C0298,Public,Doctoral degree,,30,45,49,33020,New England,12525,89,97,24,29,520,660,530,680,,
C0299,Private,Master's degree,,63,66,67,30000,New England,2061,35,98,26,30,530,650,630,750,580,670
C0300,Public,Doctoral degree,,46,66,69,18494,Southeast,291,83,100,,,,,,,,
C0301,Private,Doctoral degree,,31,39,41,46380,Plains,2415,33,41,,,,,,,,
C0302,Public,Doctoral degree,,80,84,84,35820,Mid East,18207,85,98,16,22,430,520,420,530,420,520
C0303,Private,Bachelor's degree,,33,47,51,28350,Great Lakes,3492,76,99,15,22,390,500,400,520,,
C0304,Private,Master's degree,,54,67,67,9861,Southeast,943,,91,26,31,560,690,590,680,,
C0305,Private,Doctoral degree,,38,45,46,35730,New England,34009,71,72,17,27,380,655,385,645,390,650
C0306,Public,Doctoral degree,,83,87,87,25040,Southeast,3002,43,99,19,23,430,520,440,540,,
C0307,Private,Doctoral degree,,9,23,30,,Southeast,4890,13,,,,,,,,,
C0308,Private,Bachelor's degree,,64,78,80,12862,Great Lakes,2097,78,63,17,23,420,500,410,500,420,510
C0309,Private,Master's degree,,23,23,23,29426,Mid East,992,67,96,15,22,390,520,390,500,400,510
C0310,Private,Doctoral degree,,61,69,70,8720,Mid East,9676,94,93,22,25,502,580,490,570,490,570
C0311,Private,Bachelor's degree,,,,,13354,Mid East,1972,77,95,15,22,400,480,390,510,380,480
C0312,Private,Doctoral degree,,27,44,52,7838,Far West,2970,49,95,16,21,,,,,,
C0313,Private,Bachelor's degree,,43,61,61,9816,New England,1169,90,91,20,25,450,560,470,560,,
C0314,Private,Doctoral degree,,50,58,63,41928,New England,1561,63,90,20,25,424,555,456,620,383,505
C0315,Private,Doctoral degree,,66,73,74,13750,Far West,2251,60,100,16,22,400,510,410,520,,
C0316,Private,Bachelor's degree,,31,39,43,34368,Plains,18346,,94,24,29,540,640,560,650,,
C0317,Private,Doctoral degree,,,,,35700,Plains,10240,52,100,,,,,,,,
C0318,Private,Master's degree,,32,60,67,12002,Plains,17964,46,79,18,26,443,588,430,550,,
C0319,Private,Doctoral degree,,73,82,82,45622,Mid East,347,33,59,24,29,520,640,530,630,520,630
C0320,Public,Doctoral degree,,86,89,91,30780,Southwest,5011,56,97,25,29,540,620,550,650,540,640
C0321,Private,Doctoral degree,,31,42,44,26710,Mid East,4954,67,100,13,16,360,510,280,530,640,680
C0322,Public,Master's degree,,4,15,21,31385,New England,19703,74,100,21,24,430,570,430,530,,
C0323,Private,Doctoral degree,,20,45,52,26050,Southeast,8748,57,98,19,24,,,,,,
C0324,Private,Master's degree,,3,19,41,31000,New England,12938,68,100,16,21,410,520,400,510,,
C0325,Private,Master's degree,,15,27,30,17010,Mid East,1023,,98,,,,,,,,
C0326,Private,Master's degree,,19,41,47,37352,Southeast,17849,42,100,23,28,500,600,550,660,,
C0327,Private,Doctoral degree,,68,79,81,17724,New England,2245,71,100,18,23,440,540,450,560,450,540
C0328,Private,Doctoral degree,,38,55,59,9760,Great Lakes,5825,86,91,20,23,470,590,460,560,,
C0329,Private,Doctoral degree,,36,50,51,33690,Mid East,1595,93,98,20,25,,,,,,
C0330,Private,Master's degree,,84,91,93,6265,Plains,31205,95,94,18,23,410,530,410,530,410,500
C0331,Public,Doctoral degree,,13,31,37,7090,Mid East,1162,58,92,24,29,530,640,530,630,520,610
C0332,Private,Bachelor's degree,,44,66,70,6468,Great Lakes,1298,61,95,,,,,,,,
C0333,Public,Doctoral degree,,66,82,84,45527,Great Lakes,2181,68,63,18,23,430,530,440,550,,
C0334,Public,Doctoral degree,,56,64,66,28240,Southeast,2823,67,92,22,24,440,550,460,600,430,540
C0335,Private,Master's degree,,23,29,32,25416,Southeast,1221,59,100,30,33,680,750,690,770,680,770
C0336,Private,Doctoral degree,,24,34,36,6550,Great Lakes,11287,58,85,21,26,480,590,480,600,460,560
C0337,Public,Doctoral degree,,66,74,76,26280,Mid East,2733,84,100,,,450,560,480,580,460,560
C0338,Private,Doctoral degree,,57,77,78,10838,Great Lakes,14934,57,85,22,26,540,620,560,630,520,600
C0339,Private,Doctoral degree,,27,36,42,33830,Mid East,6429,15,99,20,24,450,540,460,550,,
C0340,Public,Doctoral degree,,58,63,64,23200,Mid East,20517,38,99,18,22,,,,,,
C0341,Private,Master's degree,,27,47,50,33280,Mid East,1671,,98,,,,,,,,
C0342,Private,Doctoral degree,,74,79,79,40600,Mid East,2302,39,98,13,17,350,450,350,450,,
C0343,Private,Master's degree,,21,46,52,36051,Southeast,1378,7,99,22,26,510,610,510,610,490,600
C0344,Private,Bachelor's degree,,9,23,30,10653,Southeast,2074,100,90,18,22,430,520,450,530,,
C0345,Private,Master's degree,,43,56,58,9180,New England,1288,62,99,,,,,,,,
C0346,Private,Doctoral degree,,50,57,57,1032,Southwest,34379,64,18,,,,,,,,
C0347,Private,Bachelor's degree,,67,77,79,33145,Mid East,2001,60,100,21,26,480,590,480,570,,
C0348,Private,Master's degree,,24,63,68,19000,Plains,1375,61,100,23,28,540,650,510,620,,
C0349,Private,Doctoral degree,,17,33,36,7401,Southwest,3962,50,83,25,30,540,680,540,650,,
C0350,Private,Bachelor's degree,,25,45,50,17400,New England,2569,40,95,18,24,430,530,470,550,,
C0351,Private,Bachelor's degree,,30,47,49,29836,Southeast,6714,51,97,33,35,720,800,770,800,720,790
C0352,Private,Master's degree,,27,39,44,26240,Mid East,3193,83,100,24,29,520,630,530,630,520,630
C0353,Public,Master's degree,,43,55,57,26430,Mid East,5870,68,95,,,,,,,,
C0354,Public,Doctoral degree,,20,42,48,10054,Plains,505,27,90,22,27,520,630,510,610,490,610
C0355,Private,Doctoral degree,,53,62,63,39040,Mid East,16958,17,97,22,27,,,,,,
C0356,Public,Doctoral degree,,35,44,44,11448,Great Lakes,9591,,92,19,25,390,530,400,550,350,470
C0357,Public,Doctoral degree,,31,50,53,7265,New England,1409,,94,23,28,510,620,500,610,,
C0358,Public,Master's degree,,17,33,37,30040,Southeast,1122,,100,22,28,490,610,490,610,470,590
C0359,Public,Master's degree,,10,22,29,12668,Southeast,3883,69,54,19,24,410,480,440,540,370,470
C0360,Public,Doctoral degree,,81,82,82,14240,New England,1392,53,75,20,26,,,,,,
C0361,Public,Master's degree,,9,29,41,23612,Great Lakes,1183,73,98,15,19,350,485,385,510,,
C0362,Public,Master's degree,,30,50,53,27345,Plains,11369,88,100,19,22,360,470,390,540,,
C0363,Public,Master's degree,,40,56,58,12160,Mid East,194,84,100,,,,,,,,
C0364,Private,Doctoral degree,,82,84,85,22196,Southeast,4260,,95,21,26,450,550,450,580,,
C0365,Private,Doctoral degree,,54,61,62,5824,Mid East,3028,66,93,19,25,440,560,430,550,,
C0366,Private,Doctoral degree,,74,78,79,32370,Southeast,59589,35,91,,,,,,,,
C0367,Private,Master's degree,,16,42,50,31280,Southeast,6421,96,97,20,25,495,623,490,590,,
C0368,Private,Doctoral degree,,44,53,53,30540,Southeast,2396,,100,16,25,410,520,420,540,,
C0369,Private,Doctoral degree,,27,32,43,6908,Southeast,1343,47,89,23,28,530,670,530,630,530,650
C0370,Public,Master's degree,,11,24,32,46902,New England,923,73,55,,,,,,,,
C0371,Public,Master's degree,,72,75,75,21832,New England,1469,77,99,,,,,,,,
C0372,Private,Master's degree,,63,71,73,15688,New England,793,45,99,19,26,460,550,440,560,,
C0373,Private,Master's degree,,29,29,43,9386,Southeast,1044,75,99,29,33,640,730,660,740,650,730
C0374,Private,Master's degree,,55,73,76,8849,Plains,2039,74,91,19,24,,,,,,
C0375,Private,Bachelor's degree,,47,67,70,9032,Far West,2357,29,97,,,,,,,,
C0376,Private,Master's degree,,31,38,39,32920,Southeast,2040,60,89,,,400,493,420,520,,
C0377,Private,Master's degree,,3,10,14,29990,Far West,883,76,100,29,31,590,690,620,710,600,690
C0378,Private,Doctoral degree,,50,62,64,13602,Rocky Mountains,1172,60,81,19,26,565,665,530,650,565,585
C0379,Private,Bachelor's degree,,14,22,27,8460,New England,1963,80,77,20,24,460,560,480,570,440,530
C0380,Private,Doctoral degree,,37,54,57,31990,Southeast,3067,74,100,23,29,510,640,510,650,,
C0381,Private,Master's degree,,43,47,47,27900,Southeast,6316,34,92,,,,,,,,
C0382,Private,Bachelor's degree,,39,43,43,4000,Southwest,1113,77,95,,,,,,,,
C0383,Private,Doctoral degree,,42,55,57,7577,Great Lakes,1765,61,84,16,19,410,470,430,490,380,460
C0384,Private,Master's degree,,35,62,67,13397,Plains,2854,44,80,,,,,,,,
C0385,Private,Bachelor's degree,,30,53,59,9852,Mid East,1351,59,76,27,31,620,720,670,768,,
C0386,Private,Master's degree,,24,48,54,5808,Southwest,1144,54,96,24,30,520,640,540,660,500,620
C0387,Private,Doctoral degree,,14,24,30,11025,Southwest,3694,58,96,17,21,390,470,380,470,,
C0388,Private,Doctoral degree,,24,40,45,13412,Southeast,2251,59,93,23,26,,,,,,
C0389,Private,Doctoral degree,,88,93,93,26500,New England,14691,63,96,18,22,430,520,440,530,420,510
C0390,Private,Master's degree,,0,76,76,6344,Great Lakes,1271,68,87,13,16,320,410,320,410,310,390
C0391,Private,Bachelor's degree,,30,44,50,19986,Great Lakes,1921,95,97,19,23,440,540,460,550,420,520
C0392,Public,Doctoral degree,,15,34,43,4482,Southeast,2882,35,89,,,,,,,,
C0393,Private,Bachelor's degree,,37,44,44,,Southwest,10913,51,,21,25,480,590,500,600,450,560
C0394,Public,Doctoral degree,,58,69,70,30290,Southeast,579,41,100,19,28,480,600,470,570,480,570
C0395,Private,Master's degree,,51,59,61,47510,Mid East,2756,79,41,,,,,,,,
C0396,Private,Bachelor's degree,,51,62,64,5105,Southeast,4179,,69,22,28,520,640,520,650,,
C0397,Private,Doctoral degree,,41,47,48,5574,Far West,1408,58,92,16,19,400,460,410,480,,
C0398,Private,Master's degree,,55,58,58,6058,Mid East,3657,58,91,,,,,,,,
C0399,Private,Master's degree,,29,34,34,22628,Mid East,26132,80,100,20,26,470,600,470,600,460,590
C0400,Public,Doctoral degree,,48,51,52,25880,Mid East,3383,53,96,19,24,430,540,460,540,,
C0401,Private,Bachelor's degree,,45,56,56,43902,Far West,1623,64,92,24,30,550,680,540,650,530,660
C0402,Private,Doctoral degree,,,,,28378,Great Lakes,11823,44,83,22,26,510,620,500,590,490,600
C0403,Private,Master's degree,,71,74,75,,Great Lakes,1400,67,,,,,,,,,
C0404,Private,Master's degree,,46,52,53,6968,Great Lakes,27416,,90,21,25,480,550,500,580,,
C0405,Private,Bachelor's degree,,27,34,34,31866,Mid East,2297,,99,18,25,450,570,440,580,440,560
C0406,Private,Master's degree,,88,91,92,44000,Southeast,824,56,61,,,,,,,,
C0407,Private,Doctoral degree,,27,52,57,5818,New England,3675,93,99,18,24,503,675,525,648,533,673
C0408,Private,Master's degree,,44,54,56,,Southwest,3175,,,21,28,490,610,480,590,480,590
C0409,Private,Bachelor's degree,,58,67,69,6690,Mid East,17220,,92,,,,,,,,
C0410,Private,Bachelor's degree,,,,,10800,Mid East,4336,51,100,25,31,570,670,570,670,570,670
C0411,Private,Bachelor's degree,,9,14,18,18690,Mid East,2150,67,93,22,26,480,583,460,583,450,600
C0412,Private,Bachelor's degree,,21,51,59,22700,Southeast,29517,57,100,22,28,520,640,510,610,,
C0413,Public,Doctoral degree,,90,92,92,26880,Mid East,1701,66,100,32,35,700,800,710,790,710,800
C0414,Public,Master's degree,,19,38,38,15840,Plains,8483,85,100,14,20,340,530,360,500,,
C0415,Private,Master's degree,,68,82,82,18300,Southeast,8279,60,100,20,25,432,510,440,557,420,550
C0416,Public,Doctoral degree,,18,27,33,5924,Mid East,7546,81,88,16,21,390,500,410,510,,
C0417,Private,Master's degree,,44,67,67,6265,Great Lakes,11020,34,83,25,30,510,620,570,740,,
C0418,Public,Doctoral degree,,45,56,57,6252,Plains,2378,6,95,21,26,470,580,450,620,,
C0419,Private,Master's degree,,19,38,44,33746,Great Lakes,2175,85,100,18,24,410,520,430,560,400,500
C0420,Private,Master's degree,,51,69,71,27456,Southeast,3905,,98,,,,,,,,
C0421,Private,Master's degree,,65,72,73,13078,Mid East,9053,12,97,19,25,430,563,450,560,420,540
C0422,Private,Master's degree,,31,45,47,16800,Southwest,613,,100,,,430,510,420,520,420,520
C0423,Private,Master's degree,,27,46,49,22734,Far West,15616,80,99,16,18,380,450,400,470,370,440
C0424,Public,Master's degree,,52,58,60,26794,Plains,1009,68,100,29,33,610,710,610,780,610,730
C0425,Private,Doctoral degree,,53,65,66,3910,New England,571,69,93,20,24,420,550,450,580,,
C0426,Private,Doctoral degree,,84,89,91,38510,Far West,11321,46,99,19,23,430,550,440,570,410,500
C0427,Private,Bachelor's degree,,80,84,84,22850,Plains,3352,49,100,23,29,500,630,530,650,,
C0428,Private,Master's degree,,31,37,38,24948,Great Lakes,729,84,100,,,530,630,600,690,,
C0429,Public,Doctoral degree,,16,38,48,7508,Southeast,2292,31,88,18,21,410,520,400,550,390,500
C0430,Public,Doctoral degree,,32,40,44,13010,Southeast,2486,,79,21,26,490,620,480,590,470,590
C0431,Private,Bachelor's degree,,35,42,45,45074,Far West,10192,72,93,,,,,,,,
C0432,Private,Master's degree,,25,58,59,20700,Southeast,2855,69,98,30,34,670,760,690,780,690,780
C0433,Private,Doctoral degree,,14,32,37,28690,Mid East,1255,76,100,18,22,410,520,440,540,400,500
C0434,Private,Bachelor's degree,,93,95,96,46752,Mid East,926,73,61,19,23,440,520,440,540,420,530
C0435,Private,Master's degree,,7,20,22,20040,Great Lakes,6975,73,98,,,,,,,,
C0436,Private,Master's degree,,47,55,57,10037,Southeast,5452,61,83,24,28,520,620,540,620,500,590
C0437,Private,Bachelor's degree,,25,39,39,30999,Southwest,6075,95,100,23,27,510,610,520,620,,
C0438,Private,Doctoral degree,,15,34,43,34470,Plains,5445,41,97,,,,,,,,
C0439,Public,Doctoral degree,,59,66,67,18900,Far West,1035,57,100,,,,,,,,
C0440,Private,Master's degree,,60,72,74,6471,Mid East,951,58,70,20,25,460,570,470,580,470,580
C0441,Public,Master's degree,,24,44,51,13470,Mid East,525,87,92,19,25,440,550,450,550,,
C0442,Private,Bachelor's degree,,71,76,77,,Southeast,2023,69,,,,430,520,450,540,430,530
C0443,Public,Doctoral degree,,44,53,53,6624,Southwest,3414,72,77,19,26,440,630,410,580,440,590
C0444,Private,Master's degree,,,,,7063,New England,412,60,98,22,25,450,520,450,535,440,510
C0445,Private,Master's degree,,40,45,45,8756,Rocky Mountains,924,95,85,14,18,340,430,340,440,330,410
C0446,Public,Doctoral degree,,24,36,40,34250,Southeast,,60,99,17,22,410,530,420,530,390,500
C0447,Private,Master's degree,,45,50,52,9027,Great Lakes,16111,86,89,16,21,380,480,420,510,,
C0448,Private,Master's degree,,23,40,42,25772,Great Lakes,44599,67,95,21,24,470,570,480,580,450,545
C0449,Public,Doctoral degree,,56,58,58,8574,Far West,11241,45,85,20,25,460,580,460,550,420,530
C0450,Public,Doctoral degree,,18,33,39,24634,Mid East,3084,49,90,27,32,570,670,640,720,,
C0451,Public,Doctoral degree,,18,42,49,31940,Southwest,4053,,99,20,26,460,620,470,590,460,600
C0452,Private,Doctoral degree,,15,32,39,7255,Great Lakes,9478,91,86,24,29,540,660,540,650,535,640
C0453,Private,Master's degree,,,,,36860,Southeast,43762,64,98,,,,,,,,
C0454,Private,Doctoral degree,,2,2,2,6336,Southwest,5140,92,64,23,29,490,620,500,610,480,620
C0455,Private,Master's degree,,61,72,73,6450,Southeast,28786,83,70,15,19,370,450,380,470,350,440
C0456,Private,Bachelor's degree,,49,57,59,8900,Mid East,669,71,99,18,22,440,520,420,520,,
C0457,Private,Master's degree,,33,47,49,33600,Great Lakes,2495,68,79,19,23,440,530,440,540,,
C0458,Public,Doctoral degree,,49,56,58,7410,Southeast,12791,64,50,18,24,420,540,440,550,,
C0459,Private,Master's degree,,32,48,52,13608,Mid East,31820,85,89,,,,,,,,
C0460,Private,Bachelor's degree,,60,72,74,28160,Mid East,4034,46,97,16,19,410,480,410,490,390,470
C0461,Public,Doctoral degree,,13,25,32,8769,Plains,846,65,81,20,24,460,550,470,550,470,560
C0462,Public,Bachelor's degree,,50,69,73,5055,Mid East,10520,67,88,,,,,,,,
C0463,Public,Doctoral degree,,14,36,41,22425,Plains,3210,86,99,13,17,340,420,330,420,,
C0464,Public,Master's degree,,21,40,45,45612,Mid East,310,83,64,,,410,530,420,540,,
C0465,Private,Master's degree,,30,39,42,4060,New England,3266,70,91,,,,,,,,
C0466,Public,Doctoral degree,,66,73,73,40640,Far West,22206,60,98,18,25,410,580,420,570,,
C0467,Private,Doctoral degree,,77,83,84,28483,Southeast,1455,76,93,22,29,500,640,530,680,500,640
C0468,Public,Master's degree,,32,47,48,29350,Southeast,4456,,99,30,34,670,760,690,790,680,780
C0469,Public,Doctoral degree,,34,51,55,6698,Mid East,1877,67,88,22,28,510,650,480,630,,
C0470,Public,Master's degree,,52,62,63,29894,Southwest,1117,69,100,20,24,,,,,,
C0471,Public,Doctoral degree,,33,53,55,8916,Mid East,1190,57,74,19,25,440,550,450,540,450,540
C0472,Public,Master's degree,,,,,20090,Southwest,2187,26,100,25,30,540,650,570,670,,
C0473,Private,Master's degree,,29,61,70,31170,Southeast,17129,20,98,,,,,,,,
C0474,Public,Doctoral degree,,21,31,36,26344,New England,11414,54,100,,,,,,,,
C0475,Public,Doctoral degree,,26,40,40,8100,Great Lakes,24630,60,93,18,24,430,550,420,560,420,540
C0476,Public,Master's degree,,34,38,43,12300,Great Lakes,653,83,97,28,32,650,740,620,715,645,730
C0477,Public,Doctoral degree,,49,56,57,16170,Great Lakes,541,65,98,18,23,425,533,405,505,380,475
C0478,Private,Doctoral degree,,87,95,97,28966,Rocky Mountains,953,81,100,31,33,630,740,640,740,650,750
C0479,Private,Doctoral degree,,48,67,70,6675,US Service schools,1255,,82,20,26,400,550,430,560,,
C0480,Private,Master's degree,,57,65,65,5147,Far West,2912,79,81,16,27,430,550,430,570,410,520
C0481,Private,Bachelor's degree,,43,52,54,20550,New England,15426,65,100,30,33,660,740,650,730,660,750
C0482,Private,Bachelor's degree,,28,47,54,28580,Mid East,11648,,99,23,29,500,590,510,620,480,580
C0483,Private,Bachelor's degree,,14,43,60,5642,Great Lakes,2871,83,96,22,27,500,600,520,620,500,600
C0484,Private,Doctoral degree,,16,29,30,23250,Southeast,48036,80,100,13,14,310,360,320,440,340,360
C0485,Public,Bachelor's degree,,52,52,52,5587,Great Lakes,20181,80,,26,31,570,680,580,680,,
C0486,Public,Master's degree,,37,51,51,19970,Southeast,1660,,100,,,,,,,,
C0487,Public,Bachelor's degree,,34,47,48,22510,Rocky Mountains,1356,46,100,20,24,440,540,480,580,430,520
C0488,Public,Bachelor's degree,,82,87,88,32890,Mid East,1037,75,100,19,25,430,560,440,580,,
C0489,Public,Doctoral degree,,23,33,38,45870,Southeast,1647,43,74,19,24,450,550,470,580,,
C0490,Public,Master's degree,,75,81,82,14740,Mid East,16935,16,56,23,26,540,620,540,610,500,590
C0491,Public,Bachelor's degree,,44,60,64,30880,Great Lakes,2752,80,81,31,35,700,800,710,800,710,790
C0492,Private,Doctoral degree,,29,51,56,7506,Southeast,10561,69,94,,,450,560,460,570,460,560
C0493,Private,Master's degree,,42,59,61,19775,Mid East,3299,14,100,18,23,450,550,450,560,430,550
C0494,Public,Doctoral degree,,29,42,43,7484,Great Lakes,4025,29,86,19,26,460,570,440,570,,
C0495,Private,Master's degree,,,,,20180,Far West,6973,100,95,22,28,510,610,520,620,510,620
C0496,Private,Bachelor's degree,,10,25,31,10209,Mid East,19464,37,71,25,30,550,650,590,690,,
C0497,Public,Doctoral degree,,76,81,82,34640,Southeast,18398,74,100,22,28,500,600,530,630,,
C0498,Public,Doctoral degree,,64,79,80,46870,Far West,1012,60,88,,,,,,,,
C0499,Private,Master's degree,,38,50,52,41290,New England,26594,82,94,20,25,460,550,470,580,460,560
C0500,Public,Doctoral degree,,56,59,60,29890,Mid East,4157,67,100,25,29,520,630,550,650,520,630
C0501,Public,Doctoral degree,,55,62,65,23231,Plains,1522,,100,21,27,470,580,490,590,450,560
C0502,Private,Master's degree,,68,77,78,6760,Mid East,271,60,83,25,29,570,680,580,670,590,673
C0503,Private,Master's degree,,26,47,49,14880,Plains,3661,70,64,20,24,420,510,470,520,,
C0504,Private,Doctoral degree,,15,31,37,23180,New England,2073,33,100,24,29,490,630,540,660,,
C0505,Private,Doctoral degree,,12,32,38,48696,Mid East,2187,66,78,21,27,500,630,510,630,490,600
C0506,Public,Doctoral degree,,86,89,90,33000,New England,1288,61,100,27,29,580,690,600,700,,
C0507,Public,Doctoral degree,,15,30,36,29310,Mid East,646,63,99,23,27,540,660,560,670,520,630
C0508,Public,Doctoral degree,,67,70,71,,Southeast,33307,88,,22,28,460,620,450,610,440,570
C0509,Public,Doctoral degree,,16,28,35,21566,Plains,20503,81,81,,,,,,,,
C0510,Public,Doctoral degree,,56,70,72,6542,Southeast,4649,64,87,15,21,390,500,400,520,380,480
C0511,Private,Master's degree,,30,54,59,11194,Far West,1721,73,96,21,27,460,600,470,600,,
C0512,Private,Doctoral degree,,20,41,49,35515,Mid East,3150,98,92,17,21,440,530,440,540,410,510
C0513,Public,Doctoral degree,,31,38,38,15150,Southeast,2920,71,95,18,22,,,,,,
C0514,Public,Master's degree,,16,34,40,27500,Southeast,5633,,100,20,24,450,550,470,560,450,540
C0515,Private,Master's degree,,65,83,85,25098,Southwest,2269,74,100,23,28,490,590,510,620,483,588
C0516,Private,Master's degree,,21,31,33,7222,Rocky Mountains,16277,76,83,21,27,460,580,470,600,450,570
C0517,Public,Doctoral degree,,13,37,48,38028,New England,1198,,99,20,25,480,570,480,590,480,580
C0518,Private,Master's degree,,42,56,58,24650,Great Lakes,347,54,100,20,25,460,600,470,560,,
C0519,Private,Master's degree,,17,30,34,9720,Southeast,18776,57,68,,,,,,,,
C0520,Private,Master's degree,,10,20,22,8157,Great Lakes,594,84,88,25,30,540,640,590,680,,
C0521,Private,Master's degree,,27,42,46,8972,Southeast,7745,,91,18,24,,,,,,
C0522,Private,Doctoral degree,,76,80,81,38150,Far West,3619,77,99,23,29,433,610,500,638,460,580
C0523,Private,Bachelor's degree,,29,46,53,13470,Southeast,6179,75,95,19,25,440,550,470,600,,
C0524,Private,Master's degree,,40,54,56,13560,Southeast,3229,75,100,20,25,,,,,,
C0525,Private,Master's degree,,14,25,30,7078,Plains,2030,77,82,16,22,420,520,400,520,410,530
C0526,Private,Master's degree,,68,81,83,40426,Far West,7170,54,95,,,,,,,,
C0527,Private,Bachelor's degree,,8,23,29,19670,Far West,552,,99,,,,,,,,
C0528,Private,Doctoral degree,,27,38,39,7660,Far West,635,70,95,28,32,550,660,640,740,550,650
C0529,Private,Doctoral degree,,34,38,40,7109,Southeast,3227,,76,,,,,,,,
C0530,Private,Doctoral degree,,,,,47343,Plains,3516,47,68,17,20,410,490,400,470,390,470
C0531,Private,Doctoral degree,,82,82,82,33358,Mid East,1735,45,98,18,22,398,500,418,520,,
C0532,Public,Master's degree,,55,64,66,37505,Mid East,1923,87,94,,,,,,,,
C0533,Private,Doctoral degree,,12,30,39,14940,Southeast,2357,54,88,,,,,,,,
C0534,Private,Doctoral degree,,45,58,58,11950,Far West,6296,73,72,,,,,,,,
C0535,Private,Master's degree,,8,17,21,6353,Southwest,1692,45,95,,,480,570,540,610,,
C0536,Private,Master's degree,,69,79,81,18500,Southeast,1979,78,100,22,28,500,620,520,650,,
C0537,Private,Master's degree,,28,40,43,5640,Southeast,30974,92,99,17,22,370,510,380,500,,
C0538,Private,Master's degree,,13,35,45,25990,New England,14707,49,100,,,,,,,,
C0539,Private,Doctoral degree,,13,27,34,6552,Southwest,1917,82,77,19,27,400,580,410,590,,
C0540,Private,Bachelor's degree,,,,,28055,New England,926,64,100,18,22,430,530,430,540,420,510
C0541,Public,Master's degree,,21,25,25,,Far West,2556,52,,17,22,,,,,,
C0542,Public,Master's degree,,,,,35085,Southwest,15097,68,96,19,24,400,530,410,440,,
C0543,Private,Master's degree,,8,22,30,6926,New England,2442,,89,26,30,590,690,570,660,580,680
C0544,Private,Bachelor's degree,,49,59,60,43498,Southeast,30564,77,87,20,26,450,570,480,600,430,560
C0545,Private,Doctoral degree,,12,29,41,36310,Mid East,2315,33,99,20,26,455,585,420,540,445,565
C0546,Private,Bachelor's degree,,31,39,41,22730,Southeast,6728,,100,19,25,460,540,410,500,490,540
C0547,Private,Master's degree,,46,68,72,8100,Mid East,13352,100,96,23,28,530,650,530,640,530,630
C0548,Private,Doctoral degree,,10,23,29,23970,Southeast,23019,74,100,23,27,500,600,510,610,490,590
C0549,Public,Doctoral degree,,39,46,49,37362,Mid East,3736,57,97,,,,,,,,
C0550,Public,Doctoral degree,,86,91,92,45470,Mid East,6628,50,61,,,,,,,,
