ID,Control,Highest degree offered,,Tuition and fees 2013-14 ($),Admission rate (%),Geographic region,Total enrollment,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),ACT Composite score (25th percentile),ACT Composite score (75th percentile),Receiving financial aid (%)
C0347,Private,Bachelor's degree,,33145,60,Mid East,2001,67,77,79,21,26,100
C0348,Private,Master's degree,,19000,61,Plains,1375,24,63,68,23,28,100
C0349,Private,Doctoral degree,,7401,50,Southwest,3962,17,33,36,25,30,83
C0350,Private,Bachelor's degree,,17400,40,New England,2569,25,45,50,18,24,95
C0351,Private,Bachelor's degree,,29836,51,Southeast,6714,30,47,49,33,35,97
C0352,Private,Master's degree,,26240,83,Mid East,3193,27,39,44,24,29,100
C0353,Public,Master's degree,,26430,68,Mid East,5870,43,55,57,,,95
C0354,Public,Doctoral degree,,10054,27,Plains,505,20,42,48,22,27,90
C0355,Private,Doctoral degree,,39040,17,Mid East,16958,53,62,63,22,27,97
C0356,Public,Doctoral degree,,11448,,Great Lakes,9591,35,44,44,19,25,92
C0357,Public,Doctoral degree,,7265,,New England,1409,31,50,53,23,28,94
C0358,Public,Master's degree,,30040,,Southeast,1122,17,33,37,22,28,100
C0359,Public,Master's degree,,12668,69,Southeast,3883,10,22,29,19,24,54
C0360,Public,Doctoral degree,,14240,53,New England,1392,81,82,82,20,26,75
C0361,Public,Master's degree,,23612,73,Great Lakes,1183,9,29,41,15,19,98
C0362,Public,Master's degree,,27345,88,Plains,11369,30,50,53,19,22,100
C0363,Public,Master's degree,,12160,84,Mid East,194,40,56,58,,,100
C0364,Private,Doctoral degree,,22196,,Southeast,4260,82,84,85,21,26,95
C0365,Private,Doctoral degree,,5824,66,Mid East,3028,54,61,62,19,25,93
C0366,Private,Doctoral degree,,32370,35,Southeast,59589,74,78,79,,,91
C0367,Private,Master's degree,,31280,96,Southeast,6421,16,42,50,20,25,97
C0368,Private,Doctoral degree,,30540,,Southeast,2396,44,53,53,16,25,100
C0369,Private,Doctoral degree,,6908,47,Southeast,1343,27,32,43,23,28,89
C0370,Public,Master's degree,,46902,73,New England,923,11,24,32,,,55
C0371,Public,Master's degree,,21832,77,New England,1469,72,75,75,,,99
C0372,Private,Master's degree,,15688,45,New England,793,63,71,73,19,26,99
C0373,Private,Master's degree,,9386,75,Southeast,1044,29,29,43,29,33,99
C0374,Private,Master's degree,,8849,74,Plains,2039,55,73,76,19,24,91
C0375,Private,Bachelor's degree,,9032,29,Far West,2357,47,67,70,,,97
C0376,Private,Master's degree,,32920,60,Southeast,2040,31,38,39,,,89
C0377,Private,Master's degree,,29990,76,Far West,883,3,10,14,29,31,100
C0378,Private,Doctoral degree,,13602,60,Rocky Mountains,1172,50,62,64,19,26,81
C0379,Private,Bachelor's degree,,8460,80,New England,1963,14,22,27,20,24,77
C0380,Private,Doctoral degree,,31990,74,Southeast,3067,37,54,57,23,29,100
C0381,Private,Master's degree,,27900,34,Southeast,6316,43,47,47,,,92
C0382,Private,Bachelor's degree,,4000,77,Southwest,1113,39,43,43,,,95
C0383,Private,Doctoral degree,,7577,61,Great Lakes,1765,42,55,57,16,19,84
C0384,Private,Master's degree,,13397,44,Plains,2854,35,62,67,,,80
C0385,Private,Bachelor's degree,,9852,59,Mid East,1351,30,53,59,27,31,76
C0386,Private,Master's degree,,5808,54,Southwest,1144,24,48,54,24,30,96
C0387,Private,Doctoral degree,,11025,58,Southwest,3694,14,24,30,17,21,96
C0388,Private,Doctoral degree,,13412,59,Southeast,2251,24,40,45,23,26,93
C0389,Private,Doctoral degree,,26500,63,New England,14691,88,93,93,18,22,96
C0390,Private,Master's degree,,6344,68,Great Lakes,1271,0,76,76,13,16,87
C0391,Private,Bachelor's degree,,19986,95,Great Lakes,1921,30,44,50,19,23,97
C0392,Public,Doctoral degree,,4482,35,Southeast,2882,15,34,43,,,89
C0393,Private,Bachelor's degree,,,51,Southwest,10913,37,44,44,21,25,
C0394,Public,Doctoral degree,,30290,41,Southeast,579,58,69,70,19,28,100
C0395,Private,Master's degree,,47510,79,Mid East,2756,51,59,61,,,41
C0396,Private,Bachelor's degree,,5105,,Southeast,4179,51,62,64,22,28,69
C0397,Private,Doctoral degree,,5574,58,Far West,1408,41,47,48,16,19,92
C0398,Private,Master's degree,,6058,58,Mid East,3657,55,58,58,,,91
C0399,Private,Master's degree,,22628,80,Mid East,26132,29,34,34,20,26,100
C0400,Public,Doctoral degree,,25880,53,Mid East,3383,48,51,52,19,24,96
C0401,Private,Bachelor's degree,,43902,64,Far West,1623,45,56,56,24,30,92
C0402,Private,Doctoral degree,,28378,44,Great Lakes,11823,,,,22,26,83
C0403,Private,Master's degree,,,67,Great Lakes,1400,71,74,75,,,
C0404,Private,Master's degree,,6968,,Great Lakes,27416,46,52,53,21,25,90
C0405,Private,Bachelor's degree,,31866,,Mid East,2297,27,34,34,18,25,99
C0406,Private,Master's degree,,44000,56,Southeast,824,88,91,92,,,61
C0407,Private,Doctoral degree,,5818,93,New England,3675,27,52,57,18,24,99
C0408,Private,Master's degree,,,,Southwest,3175,44,54,56,21,28,
C0409,Private,Bachelor's degree,,6690,,Mid East,17220,58,67,69,,,92
C0410,Private,Bachelor's degree,,10800,51,Mid East,4336,,,,25,31,100
C0411,Private,Bachelor's degree,,18690,67,Mid East,2150,9,14,18,22,26,93
C0412,Private,Bachelor's degree,,22700,57,Southeast,29517,21,51,59,22,28,100
C0413,Public,Doctoral degree,,26880,66,Mid East,1701,90,92,92,32,35,100
C0414,Public,Master's degree,,15840,85,Plains,8483,19,38,38,14,20,100
C0415,Private,Master's degree,,18300,60,Southeast,8279,68,82,82,20,25,100
C0416,Public,Doctoral degree,,5924,81,Mid East,7546,18,27,33,16,21,88
C0417,Private,Master's degree,,6265,34,Great Lakes,11020,44,67,67,25,30,83
C0418,Public,Doctoral degree,,6252,6,Plains,2378,45,56,57,21,26,95
C0419,Private,Master's degree,,33746,85,Great Lakes,2175,19,38,44,18,24,100
C0420,Private,Master's degree,,27456,,Southeast,3905,51,69,71,,,98
C0421,Private,Master's degree,,13078,12,Mid East,9053,65,72,73,19,25,97
C0422,Private,Master's degree,,16800,,Southwest,613,31,45,47,,,100
C0423,Private,Master's degree,,22734,80,Far West,15616,27,46,49,16,18,99
C0424,Public,Master's degree,,26794,68,Plains,1009,52,58,60,29,33,100
C0425,Private,Doctoral degree,,3910,69,New England,571,53,65,66,20,24,93
C0426,Private,Doctoral degree,,38510,46,Far West,11321,84,89,91,19,23,99
C0427,Private,Bachelor's degree,,22850,49,Plains,3352,80,84,84,23,29,100
C0428,Private,Master's degree,,24948,84,Great Lakes,729,31,37,38,,,100
C0429,Public,Doctoral degree,,7508,31,Southeast,2292,16,38,48,18,21,88
C0430,Public,Doctoral degree,,13010,,Southeast,2486,32,40,44,21,26,79
C0431,Private,Bachelor's degree,,45074,72,Far West,10192,35,42,45,,,93
C0432,Private,Master's degree,,20700,69,Southeast,2855,25,58,59,30,34,98
C0433,Private,Doctoral degree,,28690,76,Mid East,1255,14,32,37,18,22,100
C0434,Private,Bachelor's degree,,46752,73,Mid East,926,93,95,96,19,23,61
C0435,Private,Master's degree,,20040,73,Great Lakes,6975,7,20,22,,,98
C0436,Private,Master's degree,,10037,61,Southeast,5452,47,55,57,24,28,83
C0437,Private,Bachelor's degree,,30999,95,Southwest,6075,25,39,39,23,27,100
C0438,Private,Doctoral degree,,34470,41,Plains,5445,15,34,43,,,97
C0439,Public,Doctoral degree,,18900,57,Far West,1035,59,66,67,,,100
C0440,Private,Master's degree,,6471,58,Mid East,951,60,72,74,20,25,70
C0441,Public,Master's degree,,13470,87,Mid East,525,24,44,51,19,25,92
C0442,Private,Bachelor's degree,,,69,Southeast,2023,71,76,77,,,
C0443,Public,Doctoral degree,,6624,72,Southwest,3414,44,53,53,19,26,77
C0444,Private,Master's degree,,7063,60,New England,412,,,,22,25,98
C0445,Private,Master's degree,,8756,95,Rocky Mountains,924,40,45,45,14,18,85
C0446,Public,Doctoral degree,,34250,60,Southeast,,24,36,40,17,22,99
C0447,Private,Master's degree,,9027,86,Great Lakes,16111,45,50,52,16,21,89
C0448,Private,Master's degree,,25772,67,Great Lakes,44599,23,40,42,21,24,95
C0449,Public,Doctoral degree,,8574,45,Far West,11241,56,58,58,20,25,85
C0450,Public,Doctoral degree,,24634,49,Mid East,3084,18,33,39,27,32,90
C0451,Public,Doctoral degree,,31940,,Southwest,4053,18,42,49,20,26,99
C0452,Private,Doctoral degree,,7255,91,Great Lakes,9478,15,32,39,24,29,86
C0453,Private,Master's degree,,36860,64,Southeast,43762,,,,,,98
C0454,Private,Doctoral degree,,6336,92,Southwest,5140,2,2,2,23,29,64
C0455,Private,Master's degree,,6450,83,Southeast,28786,61,72,73,15,19,70
C0456,Private,Bachelor's degree,,8900,71,Mid East,669,49,57,59,18,22,99
C0457,Private,Master's degree,,33600,68,Great Lakes,2495,33,47,49,19,23,79
C0458,Public,Doctoral degree,,7410,64,Southeast,12791,49,56,58,18,24,50
C0459,Private,Master's degree,,13608,85,Mid East,31820,32,48,52,,,89
C0460,Private,Bachelor's degree,,28160,46,Mid East,4034,60,72,74,16,19,97
C0461,Public,Doctoral degree,,8769,65,Plains,846,13,25,32,20,24,81
C0462,Public,Bachelor's degree,,5055,67,Mid East,10520,50,69,73,,,88
C0463,Public,Doctoral degree,,22425,86,Plains,3210,14,36,41,13,17,99
C0464,Public,Master's degree,,45612,83,Mid East,310,21,40,45,,,64
C0465,Private,Master's degree,,4060,70,New England,3266,30,39,42,,,91
C0466,Public,Doctoral degree,,40640,60,Far West,22206,66,73,73,18,25,98
C0467,Private,Doctoral degree,,28483,76,Southeast,1455,77,83,84,22,29,93
C0468,Public,Master's degree,,29350,,Southeast,4456,32,47,48,30,34,99
C0469,Public,Doctoral degree,,6698,67,Mid East,1877,34,51,55,22,28,88
C0470,Public,Master's degree,,29894,69,Southwest,1117,52,62,63,20,24,100
C0471,Public,Doctoral degree,,8916,57,Mid East,1190,33,53,55,19,25,74
C0472,Public,Master's degree,,20090,26,Southwest,2187,,,,25,30,100
C0473,Private,Master's degree,,31170,20,Southeast,17129,29,61,70,,,98
C0474,Public,Doctoral degree,,26344,54,New England,11414,21,31,36,,,100
C0475,Public,Doctoral degree,,8100,60,Great Lakes,24630,26,40,40,18,24,93
C0476,Public,Master's degree,,12300,83,Great Lakes,653,34,38,43,28,32,97
C0477,Public,Doctoral degree,,16170,65,Great Lakes,541,49,56,57,18,23,98
C0478,Private,Doctoral degree,,28966,81,Rocky Mountains,953,87,95,97,31,33,100
C0479,Private,Doctoral degree,,6675,,US Service schools,1255,48,67,70,20,26,82
C0480,Private,Master's degree,,5147,79,Far West,2912,57,65,65,16,27,81
C0481,Private,Bachelor's degree,,20550,65,New England,15426,43,52,54,30,33,100
C0482,Private,Bachelor's degree,,28580,,Mid East,11648,28,47,54,23,29,99
C0483,Private,Bachelor's degree,,5642,83,Great Lakes,2871,14,43,60,22,27,96
C0484,Private,Doctoral degree,,23250,80,Southeast,48036,16,29,30,13,14,100
C0485,Public,Bachelor's degree,,5587,80,Great Lakes,20181,52,52,52,26,31,
C0486,Public,Master's degree,,19970,,Southeast,1660,37,51,51,,,100
C0487,Public,Bachelor's degree,,22510,46,Rocky Mountains,1356,34,47,48,20,24,100
C0488,Public,Bachelor's degree,,32890,75,Mid East,1037,82,87,88,19,25,100
C0489,Public,Doctoral degree,,45870,43,Southeast,1647,23,33,38,19,24,74
C0490,Public,Master's degree,,14740,16,Mid East,16935,75,81,82,23,26,56
C0491,Public,Bachelor's degree,,30880,80,Great Lakes,2752,44,60,64,31,35,81
C0492,Private,Doctoral degree,,7506,69,Southeast,10561,29,51,56,,,94
C0493,Private,Master's degree,,19775,14,Mid East,3299,42,59,61,18,23,100
C0494,Public,Doctoral degree,,7484,29,Great Lakes,4025,29,42,43,19,26,86
C0495,Private,Master's degree,,20180,100,Far West,6973,,,,22,28,95
C0496,Private,Bachelor's degree,,10209,37,Mid East,19464,10,25,31,25,30,71
C0497,Public,Doctoral degree,,34640,74,Southeast,18398,76,81,82,22,28,100
C0498,Public,Doctoral degree,,46870,60,Far West,1012,64,79,80,,,88
C0499,Private,Master's degree,,41290,82,New England,26594,38,50,52,20,25,94
C0500,Public,Doctoral degree,,29890,67,Mid East,4157,56,59,60,25,29,100
C0501,Public,Doctoral degree,,23231,,Plains,1522,55,62,65,21,27,100
C0502,Private,Master's degree,,6760,60,Mid East,271,68,77,78,25,29,83
C0503,Private,Master's degree,,14880,70,Plains,3661,26,47,49,20,24,64
C0504,Private,Doctoral degree,,23180,33,New England,2073,15,31,37,24,29,100
C0505,Private,Doctoral degree,,48696,66,Mid East,2187,12,32,38,21,27,78
C0506,Public,Doctoral degree,,33000,61,New England,1288,86,89,90,27,29,100
C0507,Public,Doctoral degree,,29310,63,Mid East,646,15,30,36,23,27,99
C0508,Public,Doctoral degree,,,88,Southeast,33307,67,70,71,22,28,
C0509,Public,Doctoral degree,,21566,81,Plains,20503,16,28,35,,,81
C0510,Public,Doctoral degree,,6542,64,Southeast,4649,56,70,72,15,21,87
C0511,Private,Master's degree,,11194,73,Far West,1721,30,54,59,21,27,96
C0512,Private,Doctoral degree,,35515,98,Mid East,3150,20,41,49,17,21,92
C0513,Public,Doctoral degree,,15150,71,Southeast,2920,31,38,38,18,22,95
C0514,Public,Master's degree,,27500,,Southeast,5633,16,34,40,20,24,100
C0515,Private,Master's degree,,25098,74,Southwest,2269,65,83,85,23,28,100
C0516,Private,Master's degree,,7222,76,Rocky Mountains,16277,21,31,33,21,27,83
C0517,Public,Doctoral degree,,38028,,New England,1198,13,37,48,20,25,99
C0518,Private,Master's degree,,24650,54,Great Lakes,347,42,56,58,20,25,100
C0519,Private,Master's degree,,9720,57,Southeast,18776,17,30,34,,,68
C0520,Private,Master's degree,,8157,84,Great Lakes,594,10,20,22,25,30,88
C0521,Private,Master's degree,,8972,,Southeast,7745,27,42,46,18,24,91
C0522,Private,Doctoral degree,,38150,77,Far West,3619,76,80,81,23,29,99
C0523,Private,Bachelor's degree,,13470,75,Southeast,6179,29,46,53,19,25,95
C0524,Private,Master's degree,,13560,75,Southeast,3229,40,54,56,20,25,100
C0525,Private,Master's degree,,7078,77,Plains,2030,14,25,30,16,22,82
C0526,Private,Master's degree,,40426,54,Far West,7170,68,81,83,,,95
C0527,Private,Bachelor's degree,,19670,,Far West,552,8,23,29,,,99
C0528,Private,Doctoral degree,,7660,70,Far West,635,27,38,39,28,32,95
C0529,Private,Doctoral degree,,7109,,Southeast,3227,34,38,40,,,76
C0530,Private,Doctoral degree,,47343,47,Plains,3516,,,,17,20,68
C0531,Private,Doctoral degree,,33358,45,Mid East,1735,82,82,82,18,22,98
C0532,Public,Master's degree,,37505,87,Mid East,1923,55,64,66,,,94
C0533,Private,Doctoral degree,,14940,54,Southeast,2357,12,30,39,,,88
C0534,Private,Doctoral degree,,11950,73,Far West,6296,45,58,58,,,72
C0535,Private,Master's degree,,6353,45,Southwest,1692,8,17,21,,,95
C0536,Private,Master's degree,,18500,78,Southeast,1979,69,79,81,22,28,100
C0537,Private,Master's degree,,5640,92,Southeast,30974,28,40,43,17,22,99
C0538,Private,Master's degree,,25990,49,New England,14707,13,35,45,,,100
C0539,Private,Doctoral degree,,6552,82,Southwest,1917,13,27,34,19,27,77
C0540,Private,Bachelor's degree,,28055,64,New England,926,,,,18,22,100
C0541,Public,Master's degree,,,52,Far West,2556,21,25,25,17,22,
C0542,Public,Master's degree,,35085,68,Southwest,15097,,,,19,24,96
C0543,Private,Master's degree,,6926,,New England,2442,8,22,30,26,30,89
C0544,Private,Bachelor's degree,,43498,77,Southeast,30564,49,59,60,20,26,87
C0545,Private,Doctoral degree,,36310,33,Mid East,2315,12,29,41,20,26,99
C0546,Private,Bachelor's degree,,22730,,Southeast,6728,31,39,41,19,25,100
C0547,Private,Master's degree,,8100,100,Mid East,13352,46,68,72,23,28,96
C0548,Private,Doctoral degree,,23970,74,Southeast,23019,10,23,29,23,27,100
C0549,Public,Doctoral degree,,37362,57,Mid East,3736,39,46,49,,,97
C0550,Public,Doctoral degree,,45470,50,Mid East,6628,86,91,92,,,61
C0551,Public,Doctoral degree,,7276,44,Mid East,4036,14,28,31,,,78
C0552,Private,Doctoral degree,,29606,61,Far West,10142,26,48,54,21,27,99
C0553,Public,Master's degree,,23350,83,Southeast,10943,48,65,66,18,22,97
C0554,Private,Master's degree,,12815,62,Southwest,2170,61,80,83,21,26,83
C0555,Private,Master's degree,,8312,70,Plains,1170,0,4,11,19,23,97
C0556,Private,Master's degree,,7022,56,Southwest,2573,38,45,45,20,25,87
C0557,Private,Bachelor's degree,,16340,72,Far West,1440,26,48,54,19,23,92
C0558,Private,Master's degree,,6344,58,Great Lakes,1596,50,58,59,17,21,82
C0559,Public,Master's degree,,7115,57,New England,1175,10,20,25,22,25,84
C0560,Private,Doctoral degree,,6866,68,Mid East,16077,61,69,71,20,27,100
C0561,Private,Master's degree,,5706,,Southwest,37270,42,49,50,29,33,
C0562,Private,Master's degree,,23590,31,Southeast,473,19,44,57,,,97
C0563,Public,Master's degree,,7617,44,Southeast,2512,25,39,43,21,26,92
C0564,Private,Doctoral degree,,34975,99,Plains,5678,12,25,30,28,33,99
C0565,Private,Bachelor's degree,,29200,28,Plains,693,20,39,42,,,99
C0566,Private,Doctoral degree,,26640,91,Mid East,2839,74,85,88,,,92
C0567,Private,Doctoral degree,,21020,66,Southwest,837,33,50,51,24,31,98
C0568,Public,Doctoral degree,,8211,,Plains,4441,43,53,57,,,75
C0569,Private,Bachelor's degree,,29992,79,Great Lakes,6305,21,34,36,20,26,98
C0570,Private,Doctoral degree,,7728,58,Southeast,10755,4,4,40,27,31,83
C0571,Private,Doctoral degree,,37530,69,Southeast,3523,12,15,17,,,100
C0572,Private,Bachelor's degree,,30562,75,Mid East,925,36,51,56,22,28,100
C0573,Private,Master's degree,,24930,66,Southeast,9928,43,61,61,19,24,100
C0574,Private,Doctoral degree,,13550,75,Far West,989,51,67,70,,,94
C0575,Public,Master's degree,,35650,59,Far West,3470,43,58,60,20,25,95
C0576,Private,Bachelor's degree,,29410,62,Plains,1850,33,59,66,30,33,100
C0577,Private,Master's degree,,9946,95,Mid East,3062,65,83,85,19,25,97
C0578,Private,Master's degree,,9448,80,Plains,1907,54,61,62,18,24,87
C0579,Private,Doctoral degree,,2712,64,Far West,5528,33,51,54,17,23,35
C0580,Public,Master's degree,,27970,68,Mid East,1791,41,54,56,16,21,100
C0581,Private,Master's degree,,6739,69,Mid East,3848,6,13,16,20,26,92
C0582,Private,Bachelor's degree,,15915,21,Southwest,114,38,53,55,,,86
C0583,Private,Bachelor's degree,,29450,81,Great Lakes,2116,31,42,48,21,26,100
C0584,Private,Doctoral degree,,24790,69,Rocky Mountains,1787,19,34,40,,,99
C0585,Private,Master's degree,,8100,88,Southeast,8770,26,38,38,15,18,97
C0586,Private,Bachelor's degree,,46080,96,Southeast,4814,77,80,80,22,27,58
C0587,Private,Bachelor's degree,,28720,86,Southeast,1449,34,45,49,,,94
C0588,Private,Master's degree,,5700,98,Plains,1666,36,43,44,18,23,
C0589,Public,Doctoral degree,,6846,66,Plains,3521,27,46,50,21,26,98
C0590,Private,Master's degree,,32134,,Southeast,585,17,36,44,20,26,100
C0591,Private,Master's degree,,31668,91,Southwest,4407,49,51,57,19,25,91
C0592,Private,Doctoral degree,,26780,39,New England,370,27,41,45,18,28,99
C0593,Public,Doctoral degree,,13728,81,Southeast,6747,21,42,51,18,21,97
C0594,Public,Doctoral degree,,37170,61,Southeast,1004,36,51,56,15,20,100
C0595,Private,Master's degree,,,,Far West,1773,86,92,93,19,24,
C0596,Private,Bachelor's degree,,23628,,Southwest,1796,15,21,23,20,25,80
C0597,Private,Master's degree,,40700,72,Southeast,478,80,82,82,25,30,93
C0598,Public,Doctoral degree,,9474,,New England,1655,32,54,57,20,27,95
C0599,Private,Bachelor's degree,,11904,74,Plains,2421,8,30,43,19,25,90
C0600,Private,Bachelor's degree,,6207,82,Mid East,11885,,,,26,31,95
C0601,Public,Master's degree,,29090,34,New England,920,56,63,64,23,28,100
C0602,Private,Doctoral degree,,6263,,Great Lakes,506,35,42,46,19,23,96
C0603,Private,Doctoral degree,,17720,71,Great Lakes,24932,13,17,17,19,25,61
C0604,Private,Master's degree,,8124,17,Mid East,458,16,34,40,28,32,90
C0605,Private,Master's degree,,,38,Mid East,39794,72,76,76,26,30,
C0606,Public,Doctoral degree,,,72,Mid East,37272,39,55,56,,,
C0607,Public,Doctoral degree,,22683,49,Southwest,8371,18,30,34,28,32,93
C0608,Public,Doctoral degree,,18106,37,Mid East,9775,10,21,34,23,29,99
C0609,Public,Doctoral degree,,24435,71,Plains,4587,26,45,51,19,24,96
C0610,Public,Doctoral degree,,7294,80,New England,1307,82,85,86,21,25,94
C0611,Private,Bachelor's degree,,41400,92,Mid East,28038,7,15,22,19,22,100
C0612,Public,Master's degree,,8376,67,Southwest,6634,35,59,66,21,27,95
C0613,Public,Doctoral degree,,35000,70,Southeast,2828,87,91,91,18,22,97
C0614,Private,Master's degree,,4866,,Southwest,8283,27,46,51,,,95
C0615,Private,Bachelor's degree,,7580,50,Southeast,1938,28,43,45,21,25,98
C0616,Public,Doctoral degree,,27530,52,Great Lakes,3211,10,26,34,17,24,100
C0617,Private,Master's degree,,23160,57,Mid East,26887,51,68,70,17,22,97
C0618,Private,Master's degree,,27598,83,Mid East,4960,32,40,42,,,100
C0619,Private,Bachelor's degree,,5468,,Mid East,20877,16,34,38,16,21,96
C0620,Public,Doctoral degree,,40170,63,Southeast,14513,60,70,71,,,60
C0621,Public,Doctoral degree,,39810,77,Plains,4383,22,36,41,18,24,91
C0622,Private,Doctoral degree,,18236,64,Far West,623,68,79,82,30,34,89
C0623,Public,Master's degree,,7181,7,Plains,2223,0,5,14,17,19,96
C0624,Private,Bachelor's degree,,12960,,Southeast,16083,64,72,72,,,86
C0625,Private,Doctoral degree,,,49,Plains,2480,39,62,66,,,
C0626,Private,Bachelor's degree,,27830,45,New England,327,17,40,44,21,27,100
C0627,Private,Master's degree,,29458,75,Southwest,189,11,52,61,22,28,100
C0628,Private,Master's degree,,33740,74,Great Lakes,5304,26,35,37,20,24,95
C0629,Private,Master's degree,,9404,65,New England,16583,56,63,63,26,30,91
C0630,Private,Bachelor's degree,,6184,24,Great Lakes,1997,35,42,45,18,24,70
C0631,Private,Doctoral degree,,7065,55,Plains,2249,71,81,82,15,18,70
C0632,Private,Bachelor's degree,,8128,59,Great Lakes,3861,46,59,61,19,25,88
C0633,Public,Doctoral degree,,31034,80,Southeast,8351,7,24,31,19,23,91
C0634,Public,Doctoral degree,,39084,69,Southeast,1724,20,32,37,20,24,91
C0635,Public,Doctoral degree,,29810,35,Plains,24143,44,57,59,,,100
C0636,Public,Bachelor's degree,,10347,23,Great Lakes,558,68,82,84,,,59
C0637,Public,Doctoral degree,,9239,58,Far West,2371,43,58,59,,,89
C0638,Public,Bachelor's degree,,43245,72,Southeast,25264,55,68,70,,,81
C0639,Public,Doctoral degree,,6348,13,Great Lakes,2956,38,48,50,18,22,93
C0640,Private,Bachelor's degree,,11525,45,Mid East,2466,38,43,43,19,25,97
C0641,Private,Master's degree,,39794,66,Far West,4542,78,90,91,18,23,95
C0642,Private,Bachelor's degree,,21100,85,Southwest,2023,30,51,57,23,28,96
C0643,Public,Doctoral degree,,6287,68,Rocky Mountains,884,59,62,63,19,24,80
C0644,Private,Master's degree,,9080,64,Mid East,9513,28,39,46,16,21,88
C0645,Private,Doctoral degree,,30950,79,Mid East,1747,35,52,56,20,24,100
C0646,Private,Bachelor's degree,,35204,39,Southeast,28592,41,54,58,21,26,98
C0647,Private,Master's degree,,31604,77,Great Lakes,3136,38,41,41,18,25,100
C0648,Private,Doctoral degree,,22455,66,Rocky Mountains,3417,22,39,46,20,24,100
C0649,Private,Doctoral degree,,33852,77,Great Lakes,7400,9,32,42,18,22,100
C0650,Private,Doctoral degree,,10286,54,Plains,8510,31,55,61,,,92
C0651,Public,Master's degree,,34850,64,Southeast,1542,47,54,55,18,25,100
C0652,Public,Doctoral degree,,14868,,Rocky Mountains,1629,30,40,45,20,24,99
C0653,Public,Master's degree,,24660,49,Mid East,3800,47,60,62,21,27,98
C0654,Private,Master's degree,,7200,72,New England,13900,55,65,66,22,26,91
C0655,Private,Master's degree,,24040,7,Mid East,680,,,,19,25,99
C0656,Public,Doctoral degree,,25126,82,New England,12818,14,25,29,,,98
C0657,Public,Doctoral degree,,6579,73,Southeast,6387,29,52,58,18,24,92
C0658,Private,Master's degree,,29959,54,Southwest,4178,19,47,54,19,24,100
C0659,Public,Doctoral degree,,,78,New England,1399,78,84,84,16,18,
C0660,Public,Doctoral degree,,39120,76,Mid East,6634,54,64,65,29,33,99
C0661,Public,Master's degree,,7466,18,Plains,322,48,53,54,,,97
C0662,Private,Doctoral degree,,9950,93,Great Lakes,1026,8,35,42,,,81
C0663,Public,Doctoral degree,,25468,84,Mid East,30478,29,52,60,20,25,94
C0664,Private,Bachelor's degree,,7149,69,Southeast,633,12,25,29,19,26,90
C0665,Public,Doctoral degree,,6863,47,Southeast,1875,28,32,32,21,23,93
C0666,Private,Bachelor's degree,,23650,60,New England,2229,13,26,31,21,27,99
C0667,Private,Doctoral degree,,34480,65,Southeast,2224,27,44,49,,,100
C0668,Private,Master's degree,,6438,36,Great Lakes,745,19,31,37,19,23,97
C0669,Private,Bachelor's degree,,39220,,Southeast,4270,53,60,62,32,34,99
C0670,Public,Master's degree,,30700,36,Plains,3319,53,60,61,30,34,100
C0671,Private,Master's degree,,13348,73,Southwest,11767,13,35,46,26,30,85
C0672,Private,Master's degree,,20000,65,Southeast,866,42,62,63,,,100
C0673,Private,Master's degree,,43656,54,Plains,2229,43,61,67,30,34,90
C0674,Private,Master's degree,,6639,78,Southwest,6733,1,2,3,18,22,91
C0675,Private,Master's degree,,13380,25,Plains,7892,19,35,42,,,100
C0676,Private,Master's degree,,28190,80,Great Lakes,28895,30,44,47,28,31,100
C0677,Public,Bachelor's degree,,44902,58,Mid East,682,62,67,69,22,27,72
C0678,Public,Master's degree,,9456,84,Great Lakes,6680,70,73,73,21,27,92
C0679,Private,Doctoral degree,,45018,64,Great Lakes,2911,67,74,75,17,23,41
C0680,Private,Doctoral degree,,32445,57,Great Lakes,1848,4,42,42,,,100
C0681,Private,Doctoral degree,,6624,69,Great Lakes,5139,84,87,87,,,66
C0682,Public,Master's degree,,6107,73,New England,3554,45,50,53,,,75
C0683,Private,Master's degree,,8100,47,New England,125,65,68,68,17,20,96
C0684,Public,Master's degree,,4558,68,Plains,28623,48,57,58,19,23,99
C0685,Public,Doctoral degree,,10466,,New England,4241,46,54,54,18,23,96
C0686,Public,Doctoral degree,,5818,,Far West,8162,15,31,38,,,90
C0687,Public,Doctoral degree,,17576,64,Great Lakes,1755,17,37,41,19,24,95
C0688,Public,Doctoral degree,,8506,31,Southwest,704,48,64,66,,,79
C0689,Public,Master's degree,,4528,48,Plains,3787,76,80,81,17,23,96
C0690,Public,Master's degree,,38110,54,Great Lakes,38310,57,61,62,22,27,98
C0691,Private,Bachelor's degree,,6343,78,Great Lakes,322,53,64,66,21,26,69
C0692,Private,Master's degree,,5950,66,New England,3393,8,13,16,16,20,96
C0693,Private,Doctoral degree,,34424,68,Southeast,1835,36,61,67,18,23,95
C0694,Private,Doctoral degree,,7126,86,Southeast,5345,78,81,82,20,25,97
C0695,Private,Doctoral degree,,42292,74,Mid East,9902,19,35,40,20,24,75
C0696,Private,Master's degree,,5846,83,Great Lakes,2397,76,78,78,17,21,82
C0697,Public,Master's degree,,45358,89,Great Lakes,2187,16,38,46,,,64
