ID,Loan amount ($),Loan intent,Annual income ($),Loan grade,Loan interest rate (%),Home ownership,Job title,Length of employment (years),FICO score (high),FICO score (low),Total current balance ($)
L318,15000,Debt consolidation,117000,A,6.99,Mortgage,Head of Corporate Physical Security,1,704,700,658060
L319,4900,Debt consolidation,123000,C,13.44,Mortgage,Project Manager ,2,689,685,421365
L320,18000,Credit card refinancing,70000,A,7.49,Mortgage,Registered Nurse,1,694,690,148756
L321,18000,Debt consolidation,48000,C,14.85,Rent,administrative assistant,5,664,660,41300
L322,25000,Debt consolidation,120000,D,17.27,Mortgage,Account manager,10,664,660,73675
L323,15000,Debt consolidation,50000,C,12.88,Mortgage,line leader,10,669,665,248016
L324,3600,Car financing,97000,B,11.48,Mortgage,Police Officer,1,664,660,245735
L325,33000,Other,92250,B,8.49,Mortgage,Systems Administrator II,5,739,735,320452
L326,14950,Debt consolidation,68000,E,18.99,Mortgage,electrical lead,10,689,685,116969
L327,15000,Debt consolidation,154000,C,12.88,Mortgage,"Associate Director, Info. Management",10,734,730,625574
L328,7000,Debt consolidation,30100,D,16.59,Mortgage,Vendor Auditor,2,684,680,112712
L329,15000,Debt consolidation,35300,D,16.59,Rent,Dispatcher II,10,684,680,37590
L330,35000,Debt consolidation,98000,C,12.88,Rent,Sr Software Eng,4,694,690,115692
L331,8000,Credit card refinancing,58000,B,8.49,Mortgage,0,0,734,730,308483
L332,20000,Credit card refinancing,40000,C,11.99,Mortgage,Driver,8,714,710,21678
L333,14375,Debt consolidation,80000,E,19.89,Mortgage,Sr Tax Accountant,1,699,695,224733
L334,21000,Debt consolidation,85000,B,9.17,Mortgage,Paint and Body technician ,1,709,705,198508
L335,3700,Debt consolidation,65000,C,12.88,Own,warehouse reciever/ lead,10,704,700,32007
L336,8400,Credit card refinancing,85000,B,9.17,Rent,Technical manager,10,664,660,40798
L337,7200,Debt consolidation,22000,B,11.48,Rent,Teller,1,754,750,14303
L338,16800,Debt consolidation,85400,B,8.49,Mortgage,Director of Admissions,8,709,705,195318
L339,9000,Major purchase,150000,A,5.32,Mortgage,Financial Advisor,7,799,795,4842
L340,6000,Home improvement,43700,C,13.99,Mortgage,A/C Technician,6,664,660,122566
L341,34000,Debt consolidation,76497,B,10.78,Rent,Clinical Documentation Specialist,7,709,705,34886
L342,20000,Debt consolidation,67000,C,11.99,Mortgage,Police Officer,10,684,680,196474
L343,16000,Debt consolidation,91000,C,12.88,Mortgage,SR. Analyst,10,669,665,377656
L344,11200,Debt consolidation,70000,B,8.49,Mortgage, Equipment operator ,10,689,685,336832
L345,21000,Debt consolidation,95000,D,18.49,Mortgage,Commander /03,10,679,675,364710
L346,16000,Credit card refinancing,65000,C,12.88,Mortgage,Teacher,10,709,705,103228
L347,6000,Debt consolidation,50000,A,7.91,Mortgage,Mortician,10,789,785,144011
L348,9100,Credit card refinancing,84000,A,6.49,Rent,Lean Manger,4,734,730,84112
L349,10000,Other,60000,A,6.99,Mortgage,foodservice manager,10,714,710,278584
L350,28000,Debt consolidation,135000,B,10.78,Mortgage,Process Facility Engineer,3,744,740,342398
L351,30000,Other,115000,G,27.49,Mortgage,Service Technian Lead,1,679,675,300130
L352,8450,Debt consolidation,37380,C,11.99,Rent,Shipping & Receiving,10,674,670,6295
L353,8775,Credit card refinancing,75000,F,22.45,Rent,Service Rep,10,664,660,65963
L354,6000,Debt consolidation,72000,A,5.32,Mortgage,Engineering Manager,5,694,690,149763
L355,10000,Debt consolidation,75000,A,5.32,Mortgage,letter carrier,10,774,770,186318
L356,10000,Debt consolidation,128000,D,15.77,Rent,General Manager,4,689,685,83718
L357,7200,Debt consolidation,22000,D,17.27,Rent,Part-time Supervisor ,3,704,700,31313
L358,20000,Debt consolidation,75000,C,14.85,Own,Accounting Manager,5,709,705,369878
L359,20000,Debt consolidation,95750,B,9.17,Rent,service advisor ,2,689,685,87694
L360,5000,Debt consolidation,130000,A,5.32,Mortgage,Senior Buyer,8,724,720,686601
L361,15000,Debt consolidation,35179,B,9.8,Mortgage,Exec. Administrative,1,709,705,203650
L362,23950,Credit card refinancing,160000,D,17.97,Rent,SALES MANAGER,3,679,675,141658
L363,15000,Debt consolidation,160000,B,10.78,Mortgage,Cheif Electronic Tech ,10,674,670,259264
L364,2250,Credit card refinancing,60000,B,8.49,Mortgage,PTC Support,1,694,690,186499
L365,14000,Debt consolidation,40000,C,13.44,Mortgage,manager,1,674,670,31789
L366,14000,Debt consolidation,80000,C,12.88,Rent,Sales Account Rep,2,664,660,7002
L367,18000,Debt consolidation,83000,A,7.49,Mortgage,Sr. Designer,3,704,700,218712
L368,12000,Other,72500,A,5.32,Mortgage,Executive Steward,3,749,745,349210
L369,5600,Credit card refinancing,46000,B,10.78,Own,Department manager,10,664,660,253597
L370,35000,Debt consolidation,83000,D,16.59,Rent,Certified Teacher,1,704,700,159887
L371,8000,Other,43500,C,12.88,Rent,admin//qa,3,704,700,17589
L372,2400,Debt consolidation,26000,C,13.44,Rent,Logistics,3,674,670,11041
L373,35000,Debt consolidation,98000,D,17.27,Mortgage,irrigation technician,1,689,685,333930
L374,35000,Credit card refinancing,140000,B,10.78,Mortgage,National Sales Manager,10,749,745,474040
L375,7000,Other,55000,C,12.88,Own,BILLING REPRESENTATIVE,10,739,735,52076
L376,8000,Debt consolidation,23200,C,11.99,Own,Manufacturing associate,2,679,675,17312
L377,6125,Debt consolidation,70000,D,17.27,Rent,High Voltage Electrician/Plant Engineer,4,694,690,31704
L378,10400,Debt consolidation,150000,C,13.44,Mortgage,Senior Director,10,674,670,252779
L379,30000,Debt consolidation,134000,A,7.91,Mortgage,District Manager,5,729,725,256121
L380,4000,Debt consolidation,30000,C,14.85,Mortgage,CNA,5,669,665,5339
L381,10000,Debt consolidation,125000,B,10.78,Mortgage,Pharmacist,10,689,685,382609
L382,16000,Debt consolidation,50000,A,7.91,Mortgage,lead operator,1,719,715,106144
L383,24000,Home improvement,67000,D,17.27,Mortgage,Special Education Teacher,10,694,690,251690
L384,19225,,56600,G,26.99,Mortgage,OTR Truck Driver,1,714,710,33946
L385,13000,Home improvement,130000,C,12.88,Mortgage,Sr. Ops Coordinator,5,709,705,221561
L386,16800,Debt consolidation,52000,B,9.17,Mortgage,Public Services Librarian,7,739,735,154736
L387,2000,Credit card refinancing,35037,A,6.49,Own,GIS Specialist,3,764,760,129310
L388,19200,Debt consolidation,50000,A,5.32,Mortgage,Truck driver,1,694,690,25243
L389,10000,Debt consolidation,140000,C,13.44,Rent,General Manager,10,664,660,298210
L390,35000,Debt consolidation,165000,A,7.91,Mortgage,agent,4,714,710,81908
L391,15000,Debt consolidation,60000,C,12.88,Mortgage,Area Manager,10,679,675,200590
L392,35000,Debt consolidation,84468,D,15.77,Rent,Registered Nurse,1,669,665,81087
L393,18000,Credit card refinancing,55000,B,8.49,Rent,General Manager,1,674,670,52980
L394,8000,Debt consolidation,40000,B,9.8,Rent,driver ,6,689,685,27080
L395,15000,Debt consolidation,50000,C,12.88,Own,Credit Reager,10,809,805,96280
L396,17400,Debt consolidation,175000,B,8.49,Mortgage,Owner,10,699,695,315597
L397,35000,Credit card refinancing,156000,C,11.99,Mortgage,Assistant Vice President,10,714,710,388441
L398,12000,Debt consolidation,100000,B,9.17,Rent,Senior Associate,3,749,745,37896
L399,24000,Debt consolidation,66000,B,9.17,Rent,teacher/school employee,10,669,665,125585
L400,8000,Home improvement,66500,A,7.91,Own,Designer/Programmer,5,729,725,50862
L401,16775,Debt consolidation,74000,E,19.89,Mortgage,Media Operations Manager,1,679,675,369811
L402,8000,Credit card refinancing,48000,B,8.49,Mortgage,Truck Driver,3,674,670,123372
L403,21000,Debt consolidation,100000,B,10.78,Mortgage,Problem Manager Level 2,1,734,730,62696
L404,20000,Other,150000,C,13.44,Mortgage,It director,2,674,670,288842
L405,10000,Credit card refinancing,113000,C,12.88,Mortgage,Fire Chief,1,694,690,389737
L406,6000,Debt consolidation,81120,A,7.91,Mortgage,Benefits Subject Matter Expert,1,689,685,190302
L407,6000,Debt consolidation,54744,D,18.49,Mortgage,0,0,669,665,328594
L408,8400,Credit card refinancing,80000,B,11.48,Rent,Customer advocate,1,714,710,26155
L409,10000,Credit card refinancing,33000,C,12.88,Rent,teacher aid,10,669,665,21272
L410,6000,Credit card refinancing,72000,B,9.17,Own,Controller honduras,2,664,660,4752
L411,20000,Credit card refinancing,70000,B,8.49,Rent,Executive Chef,10,679,675,32224
L412,4600,Credit card refinancing,14688,C,11.99,Rent,0,0,674,670,14395
L413,20000,,50000,D,17.27,Mortgage,Electrician,10,709,705,127260
L414,15000,Credit card refinancing,48112,B,9.17,Rent,Customer Service Manager,2,689,685,33101
L415,12000,Debt consolidation,40000,C,12.88,Mortgage,server,4,694,690,238974
L416,5000,Debt consolidation,75000,B,10.78,Own,Reliability Mechanic,10,709,705,56423
L417,6000,Debt consolidation,57000,B,10.78,Mortgage,Procurement ,1,694,690,259307
L418,10050,Credit card refinancing,34000,D,17.27,Rent,Library Associate,10,714,710,6303
L419,6000,Debt consolidation,43000,A,5.32,Rent,Supervisor,10,684,680,27746
L420,28000,Debt consolidation,84000,E,20.5,Rent,Engineer Instructor,10,704,700,114340
L421,15000,Credit card refinancing,81000,A,5.32,Own,teacher assistant,3,804,800,64382
L422,10500,Other,168400,B,8.49,Mortgage,Project Manager,10,719,715,139884
L423,10000,Debt consolidation,34000,C,13.44,Mortgage,MHW2,3,724,720,85375
L424,3600,Debt consolidation,62000,A,7.49,Mortgage,Accounts Receivable Manager,1,724,720,213212
L425,10000,Other,72000,B,11.48,Mortgage,Accounting Assistant,10,684,680,420706
L426,30000,Credit card refinancing,115000,B,8.49,Rent,pit Manager,10,694,690,33898
L427,8000,Debt consolidation,35000,C,11.99,Rent,Customer service,2,724,720,6352
L428,15000,Debt consolidation,55000,D,16.59,Mortgage,CNA,1,664,660,22026
L429,21600,Debt consolidation,60000,B,8.49,Mortgage,Finisher Carpenter,2,689,685,132095
L430,12000,,105000,B,9.17,Mortgage,Outbound Warehouse Manager,10,674,670,242572
L431,28000,Credit card refinancing,102000,A,7.91,Mortgage,Nurse Practitioner,8,704,700,150054
L432,6400,Credit card refinancing,33000,B,11.48,Rent,sales associate,10,689,685,21252
L433,15000,Car financing,48000,B,9.17,Rent,Intl Logistics LifeScience Agent,10,684,680,15450
L434,13000,Credit card refinancing,70000,A,7.91,Rent,Consultant,2,714,710,100336
L435,10000,Credit card refinancing,80000,C,13.44,Rent,assistant svc manager ,3,674,670,47467
L436,24800,,95000,A,7.91,Mortgage,account manager,10,769,765,197541
L437,12000,Other,56000,B,10.78,Own,Maint. Machinist,10,709,705,42392
L438,10800,Car financing,96000,B,8.49,Mortgage,Senior Consultant,9,699,695,231437
L439,15000,,65000,C,11.99,Mortgage,Lead Tech,1,669,665,231860
L440,24000,Credit card refinancing,120000,A,5.32,Mortgage,Pharmacist,3,729,725,470657
L441,2000,Debt consolidation,75600,C,13.44,Own,Engineer,10,689,685,161917
L442,22600,Debt consolidation,53867,D,15.77,Mortgage,Teacher,3,679,675,204160
L443,13500,Debt consolidation,50000,F,23.13,Rent,Electrician,10,664,660,26347
L444,6000,,66000,B,10.78,Mortgage,"Pastor assigned-Minneapolis, MN",10,699,695,287417
L445,20000,Credit card refinancing,84000,B,9.8,Mortgage,CPS Supervisor,10,694,690,142068
L446,5000,Debt consolidation,55000,A,6.49,Own,Pressoperater,10,704,700,56358
L447,20000,Credit card refinancing,100000,A,7.49,Mortgage,Pilot,10,739,735,227847
L448,12000,Debt consolidation,103000,B,9.8,Mortgage,Sergeant Major,10,684,680,85818
L449,32000,Credit card refinancing,107000,B,11.48,Mortgage,Professor,10,714,710,197622
L450,15200,Debt consolidation,69998,C,13.99,Own,Engineer,10,664,660,29586
L451,12500,Debt consolidation,60000,C,11.99,Mortgage,Owner,1,689,685,22593
L452,21000,Debt consolidation,81000,B,10.78,Mortgage,IT Specialist,4,704,700,171617
L453,16000,Credit card refinancing,35000,B,8.49,Rent,Customer Care coordinator,3,709,705,25404
L454,24650,Debt consolidation,100000,B,11.48,Mortgage,Supervising Psychiatric Social Worker,10,729,725,232132
L455,11000,Debt consolidation,77000,A,7.91,Mortgage,Senior Financial/Budget Analyst,3,689,685,102832
L456,22400,Credit card refinancing,70000,C,14.85,Rent,librarian,10,699,695,46351
L457,15125,Debt consolidation,61000,D,18.49,Mortgage,driver,10,684,680,138317
L458,8725,Debt consolidation,60000,C,11.99,Mortgage,account sales mng,10,734,730,182657
L459,8000,Debt consolidation,63800,A,7.91,Mortgage,Teacher,10,734,730,176193
L460,8000,Major purchase,52000,B,9.17,Rent,Wholesale Mgr,2,669,665,4715
L461,11000,,42240,C,14.85,Rent,Field Technician,2,689,685,17527
L462,11725,Debt consolidation,82000,E,18.99,Mortgage,Teacher,5,684,680,462075
L463,28500,Debt consolidation,70000,E,18.99,Mortgage,Sales,1,694,690,51516
L464,25000,Credit card refinancing,120000,A,6.49,Own,Manager,5,749,745,205345
L465,7000,Moving and relocation,70000,B,9.17,Rent,Nurse Lvn ,5,664,660,18851
L466,12000,Debt consolidation,100000,B,9.8,Mortgage,Director of Channel Sales & Marketing,1,669,665,64010
L467,20000,Credit card refinancing,40000,B,8.49,Own,Sales,10,789,785,166975
L468,5875,Debt consolidation,56000,D,15.77,Rent,manufacturing driver,10,674,670,40710
L469,18000,Debt consolidation,145000,D,18.49,Rent,Sales Account Manager,10,674,670,91350
L470,28000,Home improvement,160000,A,7.91,Mortgage,Group Manager,1,714,710,863809
L471,35000,Moving and relocation,205000,B,9.8,Rent,Pilot,10,714,710,52253
L472,31800,Debt consolidation,65000,D,16.59,Mortgage,Finance and Admn. Director,1,814,810,151320
L473,25000,Debt consolidation,105000,D,17.97,Mortgage,Driver,10,684,680,126079
L474,16000,Debt consolidation,54000,D,17.27,Rent,O&M Specialist II,6,719,715,54383
L475,25000,Credit card refinancing,82000,B,10.78,Own,Business Analyst,10,724,720,51088
L476,35000,Credit card refinancing,139000,D,16.59,Mortgage,Registered Nurse,5,674,670,437916
L477,18000,Credit card refinancing,60000,A,7.91,Own,Sales,1,684,680,249471
L478,10000,Debt consolidation,55500,A,7.49,Mortgage,Support Staff,1,704,700,197329
L479,8000,Credit card refinancing,53040,C,14.85,Rent,ESTIMATING ASSISTANT,2,664,660,18745
L480,12000,Debt consolidation,75000,C,13.44,Mortgage,Team member ,10,684,680,188332
L481,15000,Debt consolidation,75000,A,5.32,Mortgage,0,0,784,780,348839
L482,20000,Home buying,155000,C,11.99,Mortgage,CEO/Therapist,4,714,710,589998
L483,14000,Business,80000,E,19.89,Mortgage,Program Group Leader,10,704,700,161577
L484,20500,Debt consolidation,77700,B,8.49,Rent,0,0,689,685,36371
L485,4700,Debt consolidation,88000,C,13.99,Mortgage,Sales,4,664,660,307949
L486,28000,Debt consolidation,76008,B,9.17,Mortgage,Attorney,4,694,690,38235
L487,12000,Debt consolidation,71000,A,7.91,Mortgage,HR Director,10,719,715,314205
L488,7200,Credit card refinancing,42500,A,7.91,Rent,Sales Associate,1,674,670,8187
L489,11000,Debt consolidation,33000,A,7.49,Own,0,0,804,800,33480
L490,11000,Debt consolidation,52000,C,13.99,Mortgage,sales/merchandiser,5,664,660,8800
L491,3500,Car financing,45000,B,9.8,Mortgage,Operation to Cash Analyst,1,729,725,177019
L492,23850,Major purchase,111000,C,13.44,Own,System Administrator,3,664,660,69813
L493,3600,Other,70000,D,15.77,Rent,Production Supervisor,3,689,685,44177
L494,15000,Debt consolidation,54000,A,7.91,Rent,Teacher,2,674,670,24581
L495,16500,Credit card refinancing,76000,C,11.99,Mortgage,Information Specialist 4,10,729,725,7256
L496,8275,Credit card refinancing,55000,B,10.78,Mortgage,0,0,719,715,267768
L497,35000,Home improvement,80000,D,17.27,Mortgage,Director of Catering & Events,1,694,690,43461
L498,20000,Debt consolidation,106000,A,5.32,Mortgage,Radiology Ancillary Manager ,1,739,735,373014
L499,22800,Debt consolidation,76000,A,5.32,Mortgage,Owner,6,739,735,90166
L500,10000,Credit card refinancing,35000,B,8.49,Own,Accounting Clerk,4,709,705,38331
