ID,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),ACT Composite score (25th percentile),ACT Composite score (75th percentile),Admission rate (%),Admission yield (%),Admissions total,Applicants total,Control,Degree of urbanization,Endowment assets ($),Full-time enrollment,Geographic region,Graduate enrollment,Highest degree offered,Historically Black College or University?,Part-time enrollment,Receiving financial aid (%),Religious affiliation,SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile),SAT Writing score (75th percentile),Total enrollment,Tribal college?,Tuition and fees 2010-11 ($),Tuition and fees 2011-12 ($),Tuition and fees 2012-13 ($),Tuition and fees 2013-14 ($),Undergraduate enrollment
C0286,44,56,58,19,24,76,34,1926,2536,Private,Suburb: Large,9032,3342,Great Lakes,1700,Doctoral degree,No,1604,100,N/A,460,560,460,560,,,4946,No,18700,19450,20100,20720,3246
C0287,34,45,45,19,25,68,32,359,528,Private,Town: Distant,27143,523,Great Lakes,0,Bachelor's degree,No,20,99,Presbyterian Church (USA),520,570,500,620,,,543,No,14996,16296,17502,18506,543
C0288,55,73,76,23,28,67,18,6004,8969,Private,City: Midsize,49328,4912,Great Lakes,605,Doctoral degree,No,518,99,N/A,500,640,510,630,490,620,5430,No,25424,26704,28284,29664,4825
C0289,4,15,21,17,20,29,18,1495,5219,Public,City: Large,746,3590,Great Lakes,1361,Doctoral degree,No,2111,97,N/A,430,510,450,530,,,5701,No,8752,9062,8558,9032,4340
C0290,88,91,93,32,35,9,53,2670,30304,Private,City: Large,429800,12848,Great Lakes,9345,Doctoral degree,No,2200,67,N/A,720,800,720,790,700,780,15048,No,42041,43780,45609,47514,5703
C0291,32,39,41,,,91,30,7247,8005,Private,City: Large,13111,9066,Great Lakes,471,Master's degree,No,1076,79,N/A,,,,,,,10142,No,19610,20644,21730,22792,9671
C0292,45,50,53,20,24,54,19,2009,3692,Private,Suburb: Large,4808,1684,Great Lakes,3682,Doctoral degree,No,3602,100,Lutheran Church - Missouri Synod,440,590,450,580,,,5286,No,24396,25456,26476,27598,1604
C0293,54,68,70,23,28,60,20,11948,19957,Private,City: Large,17773,18706,Great Lakes,7994,Doctoral degree,No,5708,95,Roman Catholic,530,630,520,630,,,24414,No,28858,30618,32295,33990,16420
C0294,7,9,11,,,,,,,Private,City: Large,,669,Great Lakes,0,Bachelor's degree,No,15,100,N/A,,,,,,,684,No,15750,16650,17595,18795,684
C0295,34,56,60,19,24,62,27,4879,7881,Public,Town: Remote,4361,8013,Great Lakes,1428,Master's degree,No,1762,93,N/A,,,,,,,9775,No,9987,10534,10930,11144,8347
C0296,59,72,74,21,26,72,26,1940,2702,Private,Suburb: Large,26608,2782,Great Lakes,310,Master's degree,No,428,89,United Church of Christ,450,550,450,580,,,3210,No,28660,30054,31650,32920,2900
C0297,43,61,61,19,26,68,21,651,960,Private,Town: Fringe,22303,644,Great Lakes,0,Bachelor's degree,No,48,100,Christian Church (Disciples of Christ),565,665,530,650,565,585,692,No,18045,18750,19480,20060,692
C0298,,,,,,,,,,Public,Rural: Fringe,367,2009,Great Lakes,2350,Doctoral degree,No,3559,,N/A,,,,,,,5568,No,,,,,3218
C0299,41,50,50,19,25,66,24,1132,1723,Private,Town: Distant,10621,1129,Great Lakes,239,Master's degree,No,239,98,Free Methodist,432,550,515,595,400,570,1368,No,20924,22198,22920,23612,1129
C0300,30,51,57,21,26,71,30,10427,14603,Public,City: Large,7841,23239,Great Lakes,11367,Doctoral degree,No,4799,82,N/A,490,600,510,640,,,28038,No,12056,12656,13122,13410,16671
C0301,38,50,52,19,25,69,43,1465,2108,Private,Suburb: Large,2168,3588,Great Lakes,2490,Doctoral degree,No,2730,96,Roman Catholic,,,,,,,6318,No,23240,23184,24137,25516,3828
C0302,68,82,84,26,31,62,35,20716,33203,Public,City: Small,21391,41118,Great Lakes,12247,Doctoral degree,No,3824,65,N/A,560,670,700,780,580,670,44942,No,13096,13838,14522,14750,32695
C0303,72,77,78,25,30,58,25,2076,3556,Private,City: Small,116710,2001,Great Lakes,0,Bachelor's degree,No,8,99,N/A,510,620,570,740,,,2009,No,35256,36572,37954,39316,2009
C0304,56,63,64,19,25,61,17,1569,2560,Private,Town: Distant,135452,981,Great Lakes,18,Master's degree,No,47,100,Presbyterian Church (USA),410,540,410,580,420,510,1028,No,22800,24550,26500,27800,1010
C0305,32,57,63,25,30,57,29,1618,2840,Private,City: Large,28531,6539,Great Lakes,4924,Doctoral degree,No,1311,100,N/A,520,640,640,740,520,640,7850,No,32443,35125,37969,40117,2926
C0306,46,68,72,22,26,69,28,10582,15354,Public,Suburb: Midsize,4015,17864,Great Lakes,2523,Doctoral degree,No,2408,79,N/A,,,,,,,20272,No,11417,11832,12726,13010,17749
C0307,32,46,50,18,27,71,39,521,737,Private,City: Midsize,11061,856,Great Lakes,104,Doctoral degree,No,314,100,Baptist,460,540,500,590,,,1170,No,24780,26110,27000,27530,1066
C0308,71,79,79,,,75,19,1994,2660,Private,Town: Remote,70137,1400,Great Lakes,0,Bachelor's degree,No,24,98,N/A,,,,,,,1424,No,33024,34464,36492,38952,1424
C0309,58,63,64,23,28,57,19,2110,3684,Private,Suburb: Large,48680,1582,Great Lakes,28,Master's degree,No,36,99,N/A,510,620,510,620,510,610,1618,No,35525,36920,38300,39842,1590
C0310,45,59,63,21,26,56,23,3035,5432,Private,Suburb: Large,8364,4123,Great Lakes,1912,Doctoral degree,No,2402,99,Roman Catholic,440,550,480,590,440,540,6525,No,23780,24770,25770,26780,4613
C0311,,,,16,19,87,39,963,1101,Private,Town: Distant,35491,798,Great Lakes,0,Bachelor's degree,No,442,89,N/A,,,,,,,1240,No,21000,23000,17500,17500,1240
C0312,60,70,71,24,29,91,19,13121,14355,Private,City: Large,31599,13463,Great Lakes,5789,Doctoral degree,No,2494,96,Roman Catholic,520,630,530,630,520,630,15957,No,32114,33294,34578,35573,10168
C0313,28,37,38,19,22,75,16,769,1027,Private,Town: Distant,15519,517,Great Lakes,0,Bachelor's degree,No,54,100,United Methodist,360,470,390,540,,,571,No,19310,20400,21400,22400,571
C0314,32,47,48,20,25,63,38,1017,1617,Private,Suburb: Large,12043,1935,Great Lakes,669,Doctoral degree,No,1092,100,United Methodist,450,520,490,530,430,520,3027,No,23130,24190,25340,26050,2358
C0315,48,59,60,21,26,55,21,2153,3906,Private,City: Small,47043,2126,Great Lakes,108,Doctoral degree,No,135,100,Presbyterian Church (USA),490,570,440,580,450,590,2261,No,27525,28612,28612,28644,2153
C0316,57,58,58,20,25,64,21,1912,2973,Private,Town: Remote,69676,1244,Great Lakes,0,Bachelor's degree,No,11,100,Presbyterian Church (USA),490,540,470,510,480,570,1255,No,26900,28650,30450,31500,1255
C0317,29,29,43,,,99,30,83,84,Private,City: Large,7292,2209,Great Lakes,3387,Doctoral degree,No,2605,86,N/A,,,,,,,4814,No,18355,18895,18930,15915,1427
C0318,51,62,64,22,27,64,20,2598,4082,Private,City: Midsize,33860,2682,Great Lakes,251,Master's degree,No,366,99,United Methodist,,,,,,,3048,No,28224,29733,31071,32613,2797
C0319,39,55,56,19,25,52,18,2073,3961,Private,City: Large,26877,1970,Great Lakes,932,Doctoral degree,No,1166,99,Evangelical Covenant Church of America,,,465,580,470,588,3136,No,19960,21050,22150,23350,2204
C0320,26,45,51,19,24,56,18,14545,25914,Public,Suburb: Small,3355,16053,Great Lakes,5324,Doctoral degree,No,5085,96,N/A,450,550,450,580,430,530,21138,No,11676,12422,13066,12976,15814
C0321,86,93,94,31,34,15,41,4912,32060,Private,City: Small,330031,17190,Great Lakes,12309,Doctoral degree,No,4402,63,N/A,690,760,700,790,690,770,21592,No,40223,41983,43779,45527,9283
C0322,4,12,20,16,21,60,25,3200,5350,Public,City: Large,788,5415,Great Lakes,1871,Master's degree,No,5406,77,N/A,,,,,,,10821,No,7492,7879,8089,8460,8950
C0323,49,56,57,21,27,82,25,3048,3719,Private,Suburb: Small,4882,3185,Great Lakes,1244,Doctoral degree,No,1394,100,Church of the Nazarene,,,,,,,4579,No,25590,27590,28090,29890,3335
C0324,39,47,50,20,25,89,29,955,1078,Private,Town: Remote,11632,1162,Great Lakes,259,Master's degree,No,293,100,Roman Catholic,410,500,500,570,,,1455,No,23000,24140,25180,25834,1196
C0325,76,78,80,,,21,84,857,4080,Private,City: Large,13240,2672,Great Lakes,452,Master's degree,No,561,97,N/A,,,,,,,3233,No,20100,21600,22200,22800,2781
C0326,25,39,39,19,25,41,26,440,1074,Private,City: Midsize,10037,876,Great Lakes,258,Master's degree,No,354,100,N/A,363,553,453,665,410,528,1230,No,24750,25570,26310,26710,972
C0327,27,38,41,19,25,79,17,2655,3370,Private,City: Large,16852,3832,Great Lakes,2472,Doctoral degree,No,2298,96,N/A,480,630,440,590,480,580,6130,No,23000,25000,25950,26500,3658
C0328,50,61,63,20,24,60,24,2100,3502,Private,Suburb: Large,8035,2457,Great Lakes,1401,Doctoral degree,No,1013,100,Roman Catholic,490,540,480,620,490,570,3470,No,25710,26610,27730,28810,2069
C0329,32,54,57,21,25,51,27,877,1706,Private,Suburb: Large,5868,1589,Great Lakes,1984,Doctoral degree,No,2175,100,Roman Catholic,480,610,440,620,460,600,3764,No,24742,25932,26924,27970,1780
C0330,30,45,47,19,24,51,11,5313,10513,Private,City: Large,2896,2635,Great Lakes,1332,Master's degree,No,1617,100,Roman Catholic,455,570,440,545,455,540,4252,No,25520,27060,28110,28970,2920
C0331,28,40,43,20,27,60,36,878,1469,Public,City: Midsize,3068,2587,Great Lakes,2098,Doctoral degree,No,2550,96,N/A,465,623,440,665,,,5137,No,8101,8581,8952,9178,3039
C0332,50,50,60,,,29,100,8,28,Private,City: Large,8109,79,Great Lakes,0,Bachelor's degree,No,18,86,N/A,,,,,,,97,No,29100,30150,30780,31527,97
C0333,23,39,44,19,25,79,28,9176,11634,Public,City: Small,6447,14478,Great Lakes,4658,Doctoral degree,No,3486,88,N/A,450,590,470,620,,,17964,No,10468,11038,11528,12093,13306
C0334,28,46,50,20,25,84,31,6437,7646,Public,Suburb: Large,1512,10759,Great Lakes,2621,Doctoral degree,No,3091,86,N/A,470,580,480,590,460,560,13850,No,8401,8865,9251,9666,11229
C0335,49,56,58,20,25,90,39,526,583,Private,Suburb: Large,7214,1125,Great Lakes,47,Master's degree,No,255,96,Interdenominational,450,640,460,630,430,610,1380,No,21733,22572,23513,24435,1333
C0336,35,42,45,20,25,94,44,418,446,Private,Suburb: Large,27947,1234,Great Lakes,1219,Doctoral degree,No,891,100,Evangelical Free Church of America,460,600,470,560,,,2125,No,23370,24610,25840,26830,906
C0337,29,51,56,18,23,59,26,6260,10554,Public,Town: Remote,2988,9605,Great Lakes,1834,Doctoral degree,No,2102,82,N/A,,,,,,,11707,No,10149,10719,11182,11767,9873
C0338,74,86,87,27,32,69,44,1346,1959,Private,Suburb: Large,115766,2665,Great Lakes,549,Doctoral degree,No,328,81,Undenominational,600,720,610,700,600,710,2993,No,27580,28960,30120,30880,2444
C0339,45,56,57,21,25,55,29,1516,2734,Private,City: Small,10714,1797,Great Lakes,426,Doctoral degree,No,645,100,Church of God,470,570,470,570,,,2442,No,24000,24610,25560,26280,2016
C0340,35,56,60,20,24,61,35,10364,17118,Public,City: Small,8466,16588,Great Lakes,4203,Doctoral degree,No,3915,87,N/A,490,590,490,570,480,570,20503,No,8214,8558,8980,9160,16300
C0341,47,63,65,20,27,72,28,889,1242,Private,City: Small,5294,1333,Great Lakes,149,Master's degree,No,471,100,Missionary Church Inc,440,550,460,580,430,550,1804,No,22590,23630,24280,24970,1655
C0342,51,64,74,25,30,66,16,6185,9357,Private,City: Large,37146,4348,Great Lakes,776,Doctoral degree,No,479,94,N/A,530,630,530,640,520,630,4827,No,30558,31948,33138,34368,4051
C0343,18,27,27,15,20,40,88,218,545,Private,Suburb: Large,5459,622,Great Lakes,152,Master's degree,No,518,95,Roman Catholic,390,460,390,480,340,442,1140,No,14200,14880,14880,15620,988
C0344,74,79,79,25,29,61,21,3113,5086,Private,Town: Distant,232634,2280,Great Lakes,0,Bachelor's degree,No,24,98,United Methodist,520,650,550,680,530,630,2304,No,34905,36970,38750,40640,2304
C0345,59,70,71,26,31,64,21,1204,1890,Private,Town: Distant,305019,1099,Great Lakes,95,Master's degree,No,60,97,Friends,590,700,560,640,520,640,1159,No,36694,38284,40020,41450,1064
C0346,53,62,63,23,29,84,22,2468,2935,Private,City: Midsize,43352,2433,Great Lakes,153,Doctoral degree,No,197,96,United Methodist,490,600,500,620,480,600,2630,No,28076,29416,30556,30596,2477
C0347,53,57,57,19,24,60,22,1333,2221,Private,Suburb: Large,77521,952,Great Lakes,0,Bachelor's degree,No,62,100,American Baptist,450,550,460,560,430,540,1014,No,24655,25865,26895,27695,1014
C0348,54,68,70,21,30,55,39,424,770,Private,City: Small,112373,760,Great Lakes,60,Master's degree,No,128,100,Mennonite Church,470,620,480,630,,,888,No,24500,25700,26900,28500,828
C0349,54,61,61,20,26,79,13,2720,3450,Private,Town: Distant,5365,1416,Great Lakes,289,Doctoral degree,No,488,100,Brethren Church,457,580,460,570,,,1904,No,21700,22546,23290,23970,1615
C0350,68,71,72,23,28,67,16,2118,3174,Private,Town: Distant,120946,1158,Great Lakes,0,Bachelor's degree,No,5,100,Presbyterian Church (USA),490,600,510,600,480,570,1163,No,27500,28850,30268,31760,1163
C0351,42,45,45,19,26,72,30,517,715,Private,Suburb: Large,1504,496,Great Lakes,0,Bachelor's degree,No,28,100,Roman Catholic,440,550,430,530,400,520,524,No,20700,22900,23900,25450,524
C0352,57,61,62,21,27,97,30,763,784,Private,Town: Distant,19571,990,Great Lakes,71,Master's degree,No,134,99,United Brethren Church,440,570,440,560,423,550,1124,No,22330,23210,23780,24040,1053
C0353,6,17,25,19,24,83,54,3076,3702,Public,City: Large,4586,7537,Great Lakes,531,Master's degree,No,5922,87,N/A,440,540,450,550,430,520,13459,No,6545,6708,6876,7013,12928
C0354,15,34,42,19,25,70,45,8510,12230,Public,City: Large,26169,21097,Great Lakes,8079,Doctoral degree,No,9391,85,N/A,440,550,450,570,430,540,30488,No,7885,8243,8605,8756,22409
C0355,45,55,57,19,25,84,19,4486,5313,Private,City: Large,16089,3609,Great Lakes,1290,Doctoral degree,No,1843,98,United Methodist,450,550,460,560,440,540,5452,No,22220,23010,23830,24660,4162
C0356,15,31,37,19,24,69,40,4302,6204,Public,Suburb: Midsize,3890,7513,Great Lakes,989,Doctoral degree,No,2389,88,N/A,440,550,450,560,430,530,9902,No,5740,6032,6325,6698,8913
C0357,22,37,42,16,22,83,29,9152,11019,Public,City: Small,3542,10068,Great Lakes,2180,Doctoral degree,No,2380,92,N/A,400,510,400,510,390,490,12448,No,7714,7982,8098,8256,10268
C0358,7,20,28,18,23,74,65,784,1066,Public,City: Small,2357,2063,Great Lakes,197,Master's degree,No,2115,82,N/A,430,520,420,520,410,510,4178,No,6109,6323,6541,6675,3981
C0359,6,19,26,18,23,70,54,1720,2456,Public,City: Midsize,1979,4083,Great Lakes,561,Master's degree,No,3990,86,N/A,430,530,430,530,400,500,8073,No,6290,6507,6728,6816,7512
C0360,58,74,77,24,30,72,28,27300,37826,Public,City: Small,20689,37467,Great Lakes,9955,Doctoral degree,No,9350,71,N/A,520,630,540,660,510,620,46817,No,9028,9524,10033,10209,36862
C0361,8,19,24,17,23,76,61,1352,1773,Public,City: Small,1924,3358,Great Lakes,483,Master's degree,No,3029,79,N/A,390,510,390,510,390,500,6387,No,6193,6408,6626,6739,5904
C0362,9,23,30,17,23,79,62,1666,2097,Public,Suburb: Large,2762,3695,Great Lakes,585,Master's degree,No,3038,80,N/A,420,530,430,520,410,510,6733,No,6163,6365,6576,6700,6148
C0363,9,20,24,18,23,54,62,656,1219,Public,Rural: Fringe,1832,2009,Great Lakes,130,Master's degree,No,2447,91,N/A,410,520,410,510,400,490,4456,No,6069,6280,6496,6639,4326
C0364,40,48,48,19,25,71,23,1562,2195,Private,Town: Distant,33329,1327,Great Lakes,150,Doctoral degree,No,22,100,Church of Brethren,440,560,450,570,420,540,1349,No,24920,25950,26746,27920,1199
C0365,28,49,52,19,25,58,28,1196,2064,Private,City: Large,11964,1863,Great Lakes,511,Doctoral degree,No,851,99,Roman Catholic,460,550,460,570,,,2714,No,24960,26000,27300,28400,2203
C0366,55,69,71,21,27,95,44,3274,3441,Private,Town: Distant,7844,13321,Great Lakes,4193,Doctoral degree,No,1638,80,Wesleyan,470,580,480,590,460,570,14959,No,21214,21956,23164,23628,10766
C0367,9,9,12,,,,,,,Private,City: Large,,215,Great Lakes,54,Master's degree,No,291,96,N/A,,,,,,,506,No,13520,13520,14180,11960,452
C0368,90,94,95,32,34,22,53,3936,17647,Private,Suburb: Large,545295,11908,Great Lakes,3647,Doctoral degree,No,216,69,Roman Catholic,660,750,680,770,,,12124,No,39919,41417,42971,44605,8477
C0369,41,48,53,19,24,73,23,475,652,Private,Town: Distant,3256,494,Great Lakes,107,Doctoral degree,No,1924,100,Baptist,430,530,440,540,410,520,2418,No,15990,16640,18600,19200,2311
C0370,9,23,30,,,61,53,1571,2591,Public,Suburb: Large,1898,5168,Great Lakes,1032,Master's degree,No,4254,66,N/A,440,540,430,540,,,9422,No,6181,6336,6494,6624,8390
C0371,8,17,22,17,23,72,55,1183,1639,Public,Rural: Fringe,973,2732,Great Lakes,48,Master's degree,No,3370,82,N/A,430,520,430,530,410,510,6102,No,6704,6872,7045,7186,6054
C0372,33,50,51,19,23,54,38,1023,1908,Private,City: Large,8224,1815,Great Lakes,401,Master's degree,No,566,100,Roman Catholic,440,530,450,530,430,520,2381,No,22810,23950,24440,25180,1980
C0373,36,43,44,19,24,64,26,1052,1639,Private,Town: Distant,21160,1039,Great Lakes,22,Master's degree,No,124,100,Roman Catholic,430,540,460,540,,,1163,No,25260,26330,27350,27350,1141
C0374,49,60,60,15,22,98,20,317,325,Private,Rural: Fringe,15698,548,Great Lakes,238,Master's degree,No,339,100,Roman Catholic,390,520,390,500,400,510,887,No,24500,27622,27672,27672,649
C0375,67,70,71,23,28,86,33,1310,1529,Private,Suburb: Large,87994,1469,Great Lakes,0,Bachelor's degree,No,10,98,Roman Catholic,500,610,490,600,500,600,1479,No,31020,32000,33280,34600,1479
C0376,65,74,74,24,31,88,32,1434,1637,Private,Town: Distant,31921,1929,Great Lakes,99,Master's degree,No,316,99,Interdenominational,520,660,510,650,500,620,2245,No,26383,27438,28088,28753,2146
C0377,33,50,51,21,27,72,21,2052,2867,Private,Town: Distant,10985,1430,Great Lakes,1,Master's degree,No,445,100,N/A,470,570,500,620,,,1875,No,25400,26730,27790,28850,1874
C0378,58,69,70,23,29,80,18,4880,6124,Private,Suburb: Large,42568,4062,Great Lakes,1257,Doctoral degree,No,446,92,Lutheran Church in America,500,590,510,620,480,580,4508,No,29582,31040,32250,33480,3251
C0379,63,68,69,,,,,,,Private,Town: Distant,382150,902,Great Lakes,0,Bachelor's degree,No,0,95,N/A,,,,,,,902,No,31050,32450,33950,35650,902
C0380,40,45,45,,,,,,,Private,City: Small,10169,881,Plains,132,Doctoral degree,No,293,97,Roman Catholic,,,,,,,1174,No,23418,24694,25642,26650,1042
C0381,43,52,53,20,25,70,27,980,1409,Private,Town: Remote,48494,1960,Plains,106,Master's degree,No,439,98,Presbyterian Church (USA),,,,,,,2399,No,26306,27226,28314,29448,2293
C0382,62,65,65,21,26,66,17,1870,2842,Private,Town: Distant,47002,1340,Plains,0,Bachelor's degree,No,46,100,Reformed Church in America,470,580,450,620,,,1386,No,26242,27844,29540,30700,1386
C0383,59,68,70,20,25,78,19,969,1250,Private,City: Small,28657,1014,Plains,214,Doctoral degree,No,211,99,Roman Catholic,470,530,475,550,,,1225,No,24610,25760,26950,28000,1011
C0384,61,66,67,23,28,62,21,1834,2972,Private,City: Midsize,61730,1351,Plains,0,Master's degree,No,68,100,Presbyterian Church (USA),493,693,495,670,458,660,1419,No,30860,32380,34220,35730,1419
C0385,64,66,68,23,29,64,18,1413,2204,Private,Town: Fringe,52507,1117,Plains,0,Bachelor's degree,No,8,96,United Methodist,520,670,510,650,510,630,1125,No,31050,32920,34705,36430,1125
C0386,54,61,62,21,28,75,37,1022,1355,Private,Town: Remote,20267,1345,Plains,54,Master's degree,No,85,100,Christian Reformed Church,450,610,500,630,470,590,1430,No,23180,24300,25520,26540,1376
C0387,61,69,70,25,30,66,22,3911,5930,Private,City: Midsize,36792,4120,Plains,1756,Doctoral degree,No,1019,99,N/A,530,640,540,680,,,5139,No,26960,28382,29556,30889,3383
C0388,29,44,47,17,22,77,40,1128,1457,Private,City: Small,40904,1754,Plains,329,Doctoral degree,No,269,94,Presbyterian Church (USA),410,490,390,520,,,2023,No,21590,22620,24530,25520,1694
C0389,30,44,47,18,24,50,33,994,1981,Private,Rural: Remote,26227,1650,Plains,727,Doctoral degree,No,636,100,Other (none of the above),390,520,373,530,,,2286,No,20980,21790,22680,23530,1559
C0390,28,44,48,19,23,95,39,770,807,Private,City: Midsize,9039,1728,Plains,33,Master's degree,No,401,100,Evangelical Lutheran Church,380,450,400,480,360,440,2129,No,20222,21018,21826,22628,2096
C0391,81,85,86,28,32,35,30,1395,3979,Private,Town: Remote,950232,1664,Plains,0,Bachelor's degree,No,57,90,N/A,620,730,630,770,,,1721,No,37482,39810,41004,43656,1721
C0392,38,63,68,22,28,83,39,13648,16539,Public,City: Small,20907,29398,Plains,5296,Doctoral degree,No,3557,88,N/A,460,620,530,680,,,32955,No,6997,7486,7726,7726,27659
C0393,17,29,30,19,24,60,13,793,1319,Private,Town: Remote,23402,482,Plains,0,Bachelor's degree,No,117,100,United Methodist,453,468,420,508,403,445,599,No,22050,23160,24300,25550,599
C0394,48,67,70,25,28,80,26,17363,21642,Public,City: Small,38901,24295,Plains,7774,Doctoral degree,No,5453,83,N/A,540,620,620,680,,,29748,No,7417,7765,8057,8061,21974
C0395,48,60,61,21,26,69,32,1293,1873,Private,City: Small,15625,1500,Plains,67,Master's degree,No,121,100,Roman Catholic,435,575,393,560,,,1621,No,26275,27258,28141,28852,1554
C0396,67,75,76,23,29,72,25,2517,3490,Private,Town: Remote,48610,2413,Plains,0,Bachelor's degree,No,53,100,Evangelical Lutheran Church,433,610,500,638,460,580,2466,No,33480,34885,36100,37530,2466
C0397,24,27,32,,,42,61,31,74,Private,Town: Remote,8751,832,Plains,817,Doctoral degree,No,304,97,N/A,,,,,,,1136,No,24430,24430,26430,26430,319
C0398,48,57,58,20,25,53,18,1986,3721,Private,City: Small,24937,1275,Plains,1237,Master's degree,No,1267,100,United Methodist,,,,,,,2542,No,22980,24050,25000,25990,1305
C0399,66,73,73,20,23,68,42,371,542,Private,City: Midsize,16789,995,Plains,285,Master's degree,No,766,85,Roman Catholic,,,,,,,1761,No,23260,24360,25400,26310,1476
C0400,37,62,66,20,24,83,51,3389,4068,Public,City: Small,7364,9968,Plains,1779,Doctoral degree,No,2191,87,N/A,,,500,640,,,12159,No,7008,7350,7635,7685,10380
C0401,53,62,63,21,27,76,31,929,1221,Private,Town: Distant,35950,1133,Plains,0,Bachelor's degree,No,100,100,Reformed Church in America,423,605,470,580,420,560,1233,No,23330,24630,25740,26764,1233
C0402,47,59,61,20,25,96,20,2786,2897,Private,City: Midsize,37468,2832,Plains,864,Doctoral degree,No,775,100,Roman Catholic,,,,,,,3607,No,23910,24920,25970,26740,2743
C0403,55,62,65,21,27,88,33,1146,1302,Private,Town: Fringe,40815,1500,Plains,61,Master's degree,No,273,100,United Methodist,,,,,,,1773,No,26837,28123,29529,30999,1712
C0404,24,34,40,19,24,58,30,715,1229,Private,Rural: Remote,1934,3651,Plains,672,Master's degree,No,1653,85,N/A,,,,,,,5304,No,22350,23356,24400,24400,4632
C0405,59,62,63,21,26,78,26,1761,2268,Private,Town: Distant,29408,1643,Plains,0,Bachelor's degree,No,71,99,Evangelical Lutheran Church,380,540,440,590,380,520,1714,No,29020,30960,32740,34250,1714
C0406,17,30,34,17,22,58,55,482,836,Private,Town: Remote,4240,1655,Plains,147,Master's degree,No,220,100,Friends,380,500,380,550,,,1875,No,20234,21720,23210,23210,1728
C0407,36,49,52,21,26,87,31,756,870,Private,Town: Fringe,12531,1315,Plains,1179,Doctoral degree,No,1761,100,United Methodist,440,545,490,600,410,555,3076,No,22280,23390,24550,25580,1897
C0408,43,58,59,22,28,61,23,2129,3515,Private,Town: Distant,8865,1796,Plains,64,Master's degree,No,381,100,Roman Catholic,515,655,485,630,,,2177,No,20475,21475,22800,23900,2113
C0409,27,38,39,18,23,59,27,670,1139,Private,Town: Remote,42514,603,Plains,0,Bachelor's degree,No,62,98,Evangelical Lutheran Church,390,510,430,510,380,470,665,No,20026,21677,22624,23305,665
C0410,39,48,53,19,26,64,22,550,854,Private,Town: Distant,34551,464,Plains,0,Bachelor's degree,No,18,100,Other (none of the above),390,520,420,580,380,510,482,No,20700,21700,22600,23500,482
C0411,27,39,40,18,24,50,39,334,662,Private,Town: Remote,8289,741,Plains,0,Bachelor's degree,No,296,93,Free Methodist,390,490,440,530,,,1037,No,18000,18400,19050,14800,1037
C0412,,,,,,,,,,Private,City: Midsize,22002,271,Plains,0,Bachelor's degree,No,203,92,Roman Catholic,,,,,,,474,No,5528,6032,6579,6579,474
C0413,20,35,41,19,25,61,47,1488,2452,Public,Town: Remote,13591,3787,Plains,2160,Doctoral degree,No,2246,96,N/A,438,528,475,545,,,6033,No,4636,4952,5272,5614,3873
C0414,19,39,44,18,24,89,47,2239,2511,Public,Town: Remote,6213,5999,Plains,2008,Master's degree,No,7442,97,N/A,,,,,,,13441,No,3942,4082,4320,4358,11433
C0415,13,32,32,18,24,59,43,432,737,Private,City: Large,22079,1206,Plains,569,Master's degree,No,972,100,N/A,350,490,420,548,,,2178,No,20040,21030,22500,23430,1609
C0416,36,56,62,22,28,92,33,11433,12389,Public,City: Small,52414,23034,Plains,7751,Doctoral degree,No,3934,79,N/A,,,,,,,26968,No,8733,9222,9678,10107,19217
C0417,33,46,50,20,27,45,16,1050,2348,Private,City: Large,10298,1275,Plains,941,Master's degree,No,2461,99,Roman Catholic,460,610,420,530,430,560,3736,No,20712,21716,22238,23650,2795
C0418,26,53,60,,,96,40,9437,9839,Public,City: Small,16992,20549,Plains,4412,Doctoral degree,No,4032,83,N/A,,,,,,,24581,No,7376,7657,8047,8585,20169
C0419,31,39,43,20,24,54,41,370,689,Private,Town: Remote,34444,624,Plains,45,Master's degree,No,105,99,United Methodist,420,510,470,520,,,729,No,20200,21400,22600,23800,684
C0420,43,48,49,19,24,87,31,556,642,Private,Town: Remote,54442,603,Plains,19,Master's degree,No,53,95,Church of Brethren,475,540,500,560,,,656,No,19625,20600,21810,22891,637
C0421,41,55,55,19,21,72,27,731,1012,Private,Suburb: Large,3655,1491,Plains,469,Master's degree,No,416,99,Church of the Nazarene,420,540,420,510,,,1907,No,20250,21500,21500,22290,1438
C0422,22,30,34,19,25,99,55,264,267,Private,Town: Distant,5926,523,Plains,20,Master's degree,No,35,100,American Baptist,390,530,400,550,350,470,558,No,20400,21680,23000,23964,538
C0423,,,,,,,,,,Private,City: Midsize,2018,0,Plains,64,Master's degree,No,356,,American Baptist,,,,,,,356,No,,,,,292
C0424,24,41,49,19,24,79,47,2427,3073,Public,Town: Distant,10809,6006,Plains,1164,Master's degree,No,1394,91,N/A,,,,,,,7400,No,4848,5162,5494,5906,6236
C0425,44,53,53,19,24,47,30,361,767,Private,Town: Fringe,11456,914,Plains,435,Doctoral degree,No,411,100,Roman Catholic,410,500,440,520,,,1325,No,19960,20770,21980,23170,890
C0426,42,51,53,20,25,90,33,391,436,Private,Town: Distant,14161,574,Plains,303,Doctoral degree,No,1087,100,United Methodist,398,548,458,548,380,485,1661,No,20656,21680,22756,23886,1358
