ID,Loan amount ($),Loan intent,Annual income ($),Loan interest rate (%),Loan grade,Total credit limit ($),FICO score (low),Bankcards at >75% limit (%),Bankruptcies,Total current balance ($)
L396,17400,Debt consolidation,175000,8.49,B,327424,695,0,0,315597
L397,35000,Credit card refinancing,156000,11.99,C,438979,710,66.7,0,388441
L398,12000,Debt consolidation,100000,9.17,B,66660,745,0,0,37896
L399,24000,Debt consolidation,66000,9.17,B,168493,665,100,0,125585
L400,8000,Home improvement,66500,7.91,A,88699,725,20,0,50862
L401,16775,Debt consolidation,74000,19.89,E,409218,675,33.3,1,369811
L402,8000,Credit card refinancing,48000,8.49,B,141827,670,100,0,123372
L403,21000,Debt consolidation,100000,10.78,B,194160,730,0,0,62696
L404,20000,Other,150000,13.44,C,316738,670,40,0,288842
L405,10000,Credit card refinancing,113000,12.88,C,435365,690,100,0,389737
L406,6000,Debt consolidation,81120,7.91,A,220385,685,0,1,190302
L407,6000,Debt consolidation,54744,18.49,D,347499,665,50,0,328594
L408,8400,Credit card refinancing,80000,11.48,B,43053,710,25,0,26155
L409,10000,Credit card refinancing,33000,12.88,C,40700,665,0,0,21272
L410,6000,Credit card refinancing,72000,9.17,B,46600,660,0,1,4752
L411,20000,Credit card refinancing,70000,8.49,B,51800,675,66.7,0,32224
L412,4600,Credit card refinancing,14688,11.99,C,21600,670,0,1,14395
L413,20000,,50000,17.27,D,147579,705,50,0,127260
L414,15000,Credit card refinancing,48112,9.17,B,64120,685,80,0,33101
L415,12000,Debt consolidation,40000,12.88,C,256305,690,0,0,238974
L416,5000,Debt consolidation,75000,10.78,B,113838,705,100,0,56423
L417,6000,Debt consolidation,57000,10.78,B,312021,690,25,0,259307
L418,10050,Credit card refinancing,34000,17.27,D,17940,710,66.7,0,6303
L419,6000,Debt consolidation,43000,5.32,A,47281,680,0,0,27746
L420,28000,Debt consolidation,84000,20.5,E,209989,700,22.2,0,114340
L421,15000,Credit card refinancing,81000,5.32,A,250286,800,0,0,64382
L422,10500,Other,168400,8.49,B,236340,715,40,0,139884
L423,10000,Debt consolidation,34000,13.44,C,132650,720,0,0,85375
L424,3600,Debt consolidation,62000,7.49,A,230175,720,25,0,213212
L425,10000,Other,72000,11.48,B,454144,680,100,0,420706
L426,30000,Credit card refinancing,115000,8.49,B,74945,690,22.2,0,33898
L427,8000,Debt consolidation,35000,11.99,C,23600,720,66.7,0,6352
L428,15000,Debt consolidation,55000,16.59,D,27275,660,75,0,22026
L429,21600,Debt consolidation,60000,8.49,B,147841,685,100,0,132095
L430,12000,,105000,9.17,B,271461,670,0,0,242572
L431,28000,Credit card refinancing,102000,7.91,A,258185,700,21.4,0,150054
L432,6400,Credit card refinancing,33000,11.48,B,28921,685,100,1,21252
L433,15000,Car financing,48000,9.17,B,22300,680,25,1,15450
L434,13000,Credit card refinancing,70000,7.91,A,130300,710,0,0,100336
L435,10000,Credit card refinancing,80000,13.44,C,54793,670,50,1,47467
L436,24800,,95000,7.91,A,311769,765,0,0,197541
L437,12000,Other,56000,10.78,B,62836,705,0,1,42392
L438,10800,Car financing,96000,8.49,B,298922,695,12.5,0,231437
L439,15000,,65000,11.99,C,251645,665,100,0,231860
L440,24000,Credit card refinancing,120000,5.32,A,585052,725,12.5,0,470657
L441,2000,Debt consolidation,75600,13.44,C,188481,685,100,0,161917
L442,22600,Debt consolidation,53867,15.77,D,210041,675,0,0,204160
L443,13500,Debt consolidation,50000,23.13,F,61443,660,11.1,1,26347
L444,6000,,66000,10.78,B,322369,695,33.3,0,287417
L445,20000,Credit card refinancing,84000,9.8,B,203104,690,33.3,0,142068
L446,5000,Debt consolidation,55000,6.49,A,82320,700,0,1,56358
L447,20000,Credit card refinancing,100000,7.49,A,295901,735,40,0,227847
L448,12000,Debt consolidation,103000,9.8,B,100066,680,50,0,85818
L449,32000,Credit card refinancing,107000,11.48,B,264927,710,50,0,197622
L450,15200,Debt consolidation,69998,13.99,C,35970,660,75,0,29586
L451,12500,Debt consolidation,60000,11.99,C,37774,685,50,0,22593
L452,21000,Debt consolidation,81000,10.78,B,204648,700,33.3,0,171617
L453,16000,Credit card refinancing,35000,8.49,B,42866,705,0,1,25404
L454,24650,Debt consolidation,100000,11.48,B,314083,725,50,0,232132
L455,11000,Debt consolidation,77000,7.91,A,142858,685,100,0,102832
L456,22400,Credit card refinancing,70000,14.85,C,61506,695,50,0,46351
L457,15125,Debt consolidation,61000,18.49,D,168163,680,33.3,0,138317
L458,8725,Debt consolidation,60000,11.99,C,231019,730,25,0,182657
L459,8000,Debt consolidation,63800,7.91,A,202465,730,0,0,176193
L460,8000,Major purchase,52000,9.17,B,18000,665,0,0,4715
L461,11000,,42240,14.85,C,32800,685,0,0,17527
L462,11725,Debt consolidation,82000,18.99,E,475402,680,50,0,462075
L463,28500,Debt consolidation,70000,18.99,E,77351,690,66.7,0,51516
L464,25000,Credit card refinancing,120000,6.49,A,331839,745,10,0,205345
L465,7000,Moving and relocation,70000,9.17,B,47634,660,50,0,18851
L466,12000,Debt consolidation,100000,9.8,B,78247,665,40,0,64010
L467,20000,Credit card refinancing,40000,8.49,B,232020,785,0,0,166975
L468,5875,Debt consolidation,56000,15.77,D,56536,670,0,0,40710
L469,18000,Debt consolidation,145000,18.49,D,136740,670,30,0,91350
L470,28000,Home improvement,160000,7.91,A,995789,710,37.5,0,863809
L471,35000,Moving and relocation,205000,9.8,B,109250,710,0,0,52253
L472,31800,Debt consolidation,65000,16.59,D,303782,810,0,0,151320
L473,25000,Debt consolidation,105000,17.97,D,150404,680,25,1,126079
L474,16000,Debt consolidation,54000,17.27,D,69983,715,0,0,54383
L475,25000,Credit card refinancing,82000,10.78,B,94054,720,100,0,51088
L476,35000,Credit card refinancing,139000,16.59,D,490301,670,100,0,437916
L477,18000,Credit card refinancing,60000,7.91,A,275636,680,20,0,249471
L478,10000,Debt consolidation,55500,7.49,A,233647,700,0,0,197329
L479,8000,Credit card refinancing,53040,14.85,C,24400,660,85.7,1,18745
L480,12000,Debt consolidation,75000,13.44,C,214359,680,66.7,0,188332
L481,15000,Debt consolidation,75000,5.32,A,402524,780,33.3,0,348839
L482,20000,Home buying,155000,11.99,C,682399,710,25,0,589998
L483,14000,Business,80000,19.89,E,235487,700,50,0,161577
L484,20500,Debt consolidation,77700,8.49,B,64791,685,100,1,36371
L485,4700,Debt consolidation,88000,13.99,C,339546,660,100,0,307949
L486,28000,Debt consolidation,76008,9.17,B,88700,690,22.2,0,38235
L487,12000,Debt consolidation,71000,7.91,A,435795,715,10,0,314205
L488,7200,Credit card refinancing,42500,7.91,A,17400,670,50,0,8187
L489,11000,Debt consolidation,33000,7.49,A,171175,800,0,0,33480
L490,11000,Debt consolidation,52000,13.99,C,15500,660,71.4,0,8800
L491,3500,Car financing,45000,9.8,B,209664,725,0,0,177019
L492,23850,Major purchase,111000,13.44,C,90204,660,57.1,1,69813
L493,3600,Other,70000,15.77,D,49778,685,0,0,44177
L494,15000,Debt consolidation,54000,7.91,A,51902,670,50,0,24581
L495,16500,Credit card refinancing,76000,11.99,C,30900,725,0,0,7256
L496,8275,Credit card refinancing,55000,10.78,B,293433,715,66.7,0,267768
L497,35000,Home improvement,80000,17.27,D,50604,690,66.7,0,43461
L498,20000,Debt consolidation,106000,5.32,A,439594,735,33.3,0,373014
L499,22800,Debt consolidation,76000,5.32,A,141601,735,0,0,90166
L500,10000,Credit card refinancing,35000,8.49,B,75496,705,12.5,0,38331
