ID,Control,Highest degree offered,Admission rate (%),Tuition and fees 2013-14 ($),Geographic region,Total enrollment,4-year graduation rate (%),ACT Composite score (25th percentile),Receiving financial aid (%)
C0420,Private,Master's degree,,27456,Southeast,3905,51,,98
C0421,Private,Master's degree,12,13078,Mid East,9053,65,19,97
C0422,Private,Master's degree,,16800,Southwest,613,31,,100
C0423,Private,Master's degree,80,22734,Far West,15616,27,16,99
C0424,Public,Master's degree,68,26794,Plains,1009,52,29,100
C0425,Private,Doctoral degree,69,3910,New England,571,53,20,93
C0426,Private,Doctoral degree,46,38510,Far West,11321,84,19,99
C0427,Private,Bachelor's degree,49,22850,Plains,3352,80,23,100
C0428,Private,Master's degree,84,24948,Great Lakes,729,31,,100
C0429,Public,Doctoral degree,31,7508,Southeast,2292,16,18,88
C0430,Public,Doctoral degree,,13010,Southeast,2486,32,21,79
C0431,Private,Bachelor's degree,72,45074,Far West,10192,35,,93
C0432,Private,Master's degree,69,20700,Southeast,2855,25,30,98
C0433,Private,Doctoral degree,76,28690,Mid East,1255,14,18,100
C0434,Private,Bachelor's degree,73,46752,Mid East,926,93,19,61
C0435,Private,Master's degree,73,20040,Great Lakes,6975,7,,98
C0436,Private,Master's degree,61,10037,Southeast,5452,47,24,83
C0437,Private,Bachelor's degree,95,30999,Southwest,6075,25,23,100
C0438,Private,Doctoral degree,41,34470,Plains,5445,15,,97
C0439,Public,Doctoral degree,57,18900,Far West,1035,59,,100
C0440,Private,Master's degree,58,6471,Mid East,951,60,20,70
C0441,Public,Master's degree,87,13470,Mid East,525,24,19,92
C0442,Private,Bachelor's degree,69,,Southeast,2023,71,,
C0443,Public,Doctoral degree,72,6624,Southwest,3414,44,19,77
C0444,Private,Master's degree,60,7063,New England,412,,22,98
C0445,Private,Master's degree,95,8756,Rocky Mountains,924,40,14,85
C0446,Public,Doctoral degree,60,34250,Southeast,,24,17,99
C0447,Private,Master's degree,86,9027,Great Lakes,16111,45,16,89
C0448,Private,Master's degree,67,25772,Great Lakes,44599,23,21,95
C0449,Public,Doctoral degree,45,8574,Far West,11241,56,20,85
C0450,Public,Doctoral degree,49,24634,Mid East,3084,18,27,90
C0451,Public,Doctoral degree,,31940,Southwest,4053,18,20,99
C0452,Private,Doctoral degree,91,7255,Great Lakes,9478,15,24,86
C0453,Private,Master's degree,64,36860,Southeast,43762,,,98
C0454,Private,Doctoral degree,92,6336,Southwest,5140,2,23,64
C0455,Private,Master's degree,83,6450,Southeast,28786,61,15,70
C0456,Private,Bachelor's degree,71,8900,Mid East,669,49,18,99
C0457,Private,Master's degree,68,33600,Great Lakes,2495,33,19,79
C0458,Public,Doctoral degree,64,7410,Southeast,12791,49,18,50
C0459,Private,Master's degree,85,13608,Mid East,31820,32,,89
C0460,Private,Bachelor's degree,46,28160,Mid East,4034,60,16,97
C0461,Public,Doctoral degree,65,8769,Plains,846,13,20,81
C0462,Public,Bachelor's degree,67,5055,Mid East,10520,50,,88
C0463,Public,Doctoral degree,86,22425,Plains,3210,14,13,99
C0464,Public,Master's degree,83,45612,Mid East,310,21,,64
C0465,Private,Master's degree,70,4060,New England,3266,30,,91
C0466,Public,Doctoral degree,60,40640,Far West,22206,66,18,98
C0467,Private,Doctoral degree,76,28483,Southeast,1455,77,22,93
C0468,Public,Master's degree,,29350,Southeast,4456,32,30,99
C0469,Public,Doctoral degree,67,6698,Mid East,1877,34,22,88
C0470,Public,Master's degree,69,29894,Southwest,1117,52,20,100
C0471,Public,Doctoral degree,57,8916,Mid East,1190,33,19,74
C0472,Public,Master's degree,26,20090,Southwest,2187,,25,100
C0473,Private,Master's degree,20,31170,Southeast,17129,29,,98
C0474,Public,Doctoral degree,54,26344,New England,11414,21,,100
C0475,Public,Doctoral degree,60,8100,Great Lakes,24630,26,18,93
C0476,Public,Master's degree,83,12300,Great Lakes,653,34,28,97
C0477,Public,Doctoral degree,65,16170,Great Lakes,541,49,18,98
C0478,Private,Doctoral degree,81,28966,Rocky Mountains,953,87,31,100
C0479,Private,Doctoral degree,,6675,US Service schools,1255,48,20,82
C0480,Private,Master's degree,79,5147,Far West,2912,57,16,81
C0481,Private,Bachelor's degree,65,20550,New England,15426,43,30,100
C0482,Private,Bachelor's degree,,28580,Mid East,11648,28,23,99
C0483,Private,Bachelor's degree,83,5642,Great Lakes,2871,14,22,96
C0484,Private,Doctoral degree,80,23250,Southeast,48036,16,13,100
C0485,Public,Bachelor's degree,80,5587,Great Lakes,20181,52,26,
C0486,Public,Master's degree,,19970,Southeast,1660,37,,100
C0487,Public,Bachelor's degree,46,22510,Rocky Mountains,1356,34,20,100
C0488,Public,Bachelor's degree,75,32890,Mid East,1037,82,19,100
C0489,Public,Doctoral degree,43,45870,Southeast,1647,23,19,74
C0490,Public,Master's degree,16,14740,Mid East,16935,75,23,56
C0491,Public,Bachelor's degree,80,30880,Great Lakes,2752,44,31,81
C0492,Private,Doctoral degree,69,7506,Southeast,10561,29,,94
C0493,Private,Master's degree,14,19775,Mid East,3299,42,18,100
C0494,Public,Doctoral degree,29,7484,Great Lakes,4025,29,19,86
C0495,Private,Master's degree,100,20180,Far West,6973,,22,95
C0496,Private,Bachelor's degree,37,10209,Mid East,19464,10,25,71
C0497,Public,Doctoral degree,74,34640,Southeast,18398,76,22,100
C0498,Public,Doctoral degree,60,46870,Far West,1012,64,,88
C0499,Private,Master's degree,82,41290,New England,26594,38,20,94
C0500,Public,Doctoral degree,67,29890,Mid East,4157,56,25,100
C0501,Public,Doctoral degree,,23231,Plains,1522,55,21,100
C0502,Private,Master's degree,60,6760,Mid East,271,68,25,83
C0503,Private,Master's degree,70,14880,Plains,3661,26,20,64
C0504,Private,Doctoral degree,33,23180,New England,2073,15,24,100
C0505,Private,Doctoral degree,66,48696,Mid East,2187,12,21,78
C0506,Public,Doctoral degree,61,33000,New England,1288,86,27,100
C0507,Public,Doctoral degree,63,29310,Mid East,646,15,23,99
C0508,Public,Doctoral degree,88,,Southeast,33307,67,22,
C0509,Public,Doctoral degree,81,21566,Plains,20503,16,,81
C0510,Public,Doctoral degree,64,6542,Southeast,4649,56,15,87
C0511,Private,Master's degree,73,11194,Far West,1721,30,21,96
C0512,Private,Doctoral degree,98,35515,Mid East,3150,20,17,92
C0513,Public,Doctoral degree,71,15150,Southeast,2920,31,18,95
C0514,Public,Master's degree,,27500,Southeast,5633,16,20,100
C0515,Private,Master's degree,74,25098,Southwest,2269,65,23,100
C0516,Private,Master's degree,76,7222,Rocky Mountains,16277,21,21,83
C0517,Public,Doctoral degree,,38028,New England,1198,13,20,99
C0518,Private,Master's degree,54,24650,Great Lakes,347,42,20,100
C0519,Private,Master's degree,57,9720,Southeast,18776,17,,68
C0520,Private,Master's degree,84,8157,Great Lakes,594,10,25,88
C0521,Private,Master's degree,,8972,Southeast,7745,27,18,91
C0522,Private,Doctoral degree,77,38150,Far West,3619,76,23,99
C0523,Private,Bachelor's degree,75,13470,Southeast,6179,29,19,95
C0524,Private,Master's degree,75,13560,Southeast,3229,40,20,100
C0525,Private,Master's degree,77,7078,Plains,2030,14,16,82
C0526,Private,Master's degree,54,40426,Far West,7170,68,,95
C0527,Private,Bachelor's degree,,19670,Far West,552,8,,99
C0528,Private,Doctoral degree,70,7660,Far West,635,27,28,95
C0529,Private,Doctoral degree,,7109,Southeast,3227,34,,76
C0530,Private,Doctoral degree,47,47343,Plains,3516,,17,68
C0531,Private,Doctoral degree,45,33358,Mid East,1735,82,18,98
C0532,Public,Master's degree,87,37505,Mid East,1923,55,,94
C0533,Private,Doctoral degree,54,14940,Southeast,2357,12,,88
C0534,Private,Doctoral degree,73,11950,Far West,6296,45,,72
C0535,Private,Master's degree,45,6353,Southwest,1692,8,,95
C0536,Private,Master's degree,78,18500,Southeast,1979,69,22,100
C0537,Private,Master's degree,92,5640,Southeast,30974,28,17,99
C0538,Private,Master's degree,49,25990,New England,14707,13,,100
C0539,Private,Doctoral degree,82,6552,Southwest,1917,13,19,77
C0540,Private,Bachelor's degree,64,28055,New England,926,,18,100
C0541,Public,Master's degree,52,,Far West,2556,21,17,
C0542,Public,Master's degree,68,35085,Southwest,15097,,19,96
C0543,Private,Master's degree,,6926,New England,2442,8,26,89
C0544,Private,Bachelor's degree,77,43498,Southeast,30564,49,20,87
C0545,Private,Doctoral degree,33,36310,Mid East,2315,12,20,99
C0546,Private,Bachelor's degree,,22730,Southeast,6728,31,19,100
C0547,Private,Master's degree,100,8100,Mid East,13352,46,23,96
C0548,Private,Doctoral degree,74,23970,Southeast,23019,10,23,100
C0549,Public,Doctoral degree,57,37362,Mid East,3736,39,,97
C0550,Public,Doctoral degree,50,45470,Mid East,6628,86,,61
C0551,Public,Doctoral degree,44,7276,Mid East,4036,14,,78
C0552,Private,Doctoral degree,61,29606,Far West,10142,26,21,99
C0553,Public,Master's degree,83,23350,Southeast,10943,48,18,97
C0554,Private,Master's degree,62,12815,Southwest,2170,61,21,83
C0555,Private,Master's degree,70,8312,Plains,1170,0,19,97
C0556,Private,Master's degree,56,7022,Southwest,2573,38,20,87
C0557,Private,Bachelor's degree,72,16340,Far West,1440,26,19,92
C0558,Private,Master's degree,58,6344,Great Lakes,1596,50,17,82
C0559,Public,Master's degree,57,7115,New England,1175,10,22,84
C0560,Private,Doctoral degree,68,6866,Mid East,16077,61,20,100
C0561,Private,Master's degree,,5706,Southwest,37270,42,29,
C0562,Private,Master's degree,31,23590,Southeast,473,19,,97
C0563,Public,Master's degree,44,7617,Southeast,2512,25,21,92
C0564,Private,Doctoral degree,99,34975,Plains,5678,12,28,99
C0565,Private,Bachelor's degree,28,29200,Plains,693,20,,99
C0566,Private,Doctoral degree,91,26640,Mid East,2839,74,,92
C0567,Private,Doctoral degree,66,21020,Southwest,837,33,24,98
C0568,Public,Doctoral degree,,8211,Plains,4441,43,,75
C0569,Private,Bachelor's degree,79,29992,Great Lakes,6305,21,20,98
C0570,Private,Doctoral degree,58,7728,Southeast,10755,4,27,83
C0571,Private,Doctoral degree,69,37530,Southeast,3523,12,,100
C0572,Private,Bachelor's degree,75,30562,Mid East,925,36,22,100
C0573,Private,Master's degree,66,24930,Southeast,9928,43,19,100
C0574,Private,Doctoral degree,75,13550,Far West,989,51,,94
C0575,Public,Master's degree,59,35650,Far West,3470,43,20,95
C0576,Private,Bachelor's degree,62,29410,Plains,1850,33,30,100
C0577,Private,Master's degree,95,9946,Mid East,3062,65,19,97
C0578,Private,Master's degree,80,9448,Plains,1907,54,18,87
C0579,Private,Doctoral degree,64,2712,Far West,5528,33,17,35
C0580,Public,Master's degree,68,27970,Mid East,1791,41,16,100
C0581,Private,Master's degree,69,6739,Mid East,3848,6,20,92
C0582,Private,Bachelor's degree,21,15915,Southwest,114,38,,86
C0583,Private,Bachelor's degree,81,29450,Great Lakes,2116,31,21,100
C0584,Private,Doctoral degree,69,24790,Rocky Mountains,1787,19,,99
C0585,Private,Master's degree,88,8100,Southeast,8770,26,15,97
C0586,Private,Bachelor's degree,96,46080,Southeast,4814,77,22,58
C0587,Private,Bachelor's degree,86,28720,Southeast,1449,34,,94
C0588,Private,Master's degree,98,5700,Plains,1666,36,18,
C0589,Public,Doctoral degree,66,6846,Plains,3521,27,21,98
C0590,Private,Master's degree,,32134,Southeast,585,17,20,100
C0591,Private,Master's degree,91,31668,Southwest,4407,49,19,91
C0592,Private,Doctoral degree,39,26780,New England,370,27,18,99
C0593,Public,Doctoral degree,81,13728,Southeast,6747,21,18,97
C0594,Public,Doctoral degree,61,37170,Southeast,1004,36,15,100
C0595,Private,Master's degree,,,Far West,1773,86,19,
C0596,Private,Bachelor's degree,,23628,Southwest,1796,15,20,80
C0597,Private,Master's degree,72,40700,Southeast,478,80,25,93
C0598,Public,Doctoral degree,,9474,New England,1655,32,20,95
C0599,Private,Bachelor's degree,74,11904,Plains,2421,8,19,90
C0600,Private,Bachelor's degree,82,6207,Mid East,11885,,26,95
C0601,Public,Master's degree,34,29090,New England,920,56,23,100
C0602,Private,Doctoral degree,,6263,Great Lakes,506,35,19,96
C0603,Private,Doctoral degree,71,17720,Great Lakes,24932,13,19,61
C0604,Private,Master's degree,17,8124,Mid East,458,16,28,90
C0605,Private,Master's degree,38,,Mid East,39794,72,26,
C0606,Public,Doctoral degree,72,,Mid East,37272,39,,
C0607,Public,Doctoral degree,49,22683,Southwest,8371,18,28,93
C0608,Public,Doctoral degree,37,18106,Mid East,9775,10,23,99
C0609,Public,Doctoral degree,71,24435,Plains,4587,26,19,96
C0610,Public,Doctoral degree,80,7294,New England,1307,82,21,94
C0611,Private,Bachelor's degree,92,41400,Mid East,28038,7,19,100
C0612,Public,Master's degree,67,8376,Southwest,6634,35,21,95
C0613,Public,Doctoral degree,70,35000,Southeast,2828,87,18,97
C0614,Private,Master's degree,,4866,Southwest,8283,27,,95
C0615,Private,Bachelor's degree,50,7580,Southeast,1938,28,21,98
C0616,Public,Doctoral degree,52,27530,Great Lakes,3211,10,17,100
C0617,Private,Master's degree,57,23160,Mid East,26887,51,17,97
C0618,Private,Master's degree,83,27598,Mid East,4960,32,,100
C0619,Private,Bachelor's degree,,5468,Mid East,20877,16,16,96
C0620,Public,Doctoral degree,63,40170,Southeast,14513,60,,60
C0621,Public,Doctoral degree,77,39810,Plains,4383,22,18,91
C0622,Private,Doctoral degree,64,18236,Far West,623,68,30,89
C0623,Public,Master's degree,7,7181,Plains,2223,0,17,96
C0624,Private,Bachelor's degree,,12960,Southeast,16083,64,,86
C0625,Private,Doctoral degree,49,,Plains,2480,39,,
C0626,Private,Bachelor's degree,45,27830,New England,327,17,21,100
C0627,Private,Master's degree,75,29458,Southwest,189,11,22,100
C0628,Private,Master's degree,74,33740,Great Lakes,5304,26,20,95
C0629,Private,Master's degree,65,9404,New England,16583,56,26,91
C0630,Private,Bachelor's degree,24,6184,Great Lakes,1997,35,18,70
C0631,Private,Doctoral degree,55,7065,Plains,2249,71,15,70
C0632,Private,Bachelor's degree,59,8128,Great Lakes,3861,46,19,88
C0633,Public,Doctoral degree,80,31034,Southeast,8351,7,19,91
C0634,Public,Doctoral degree,69,39084,Southeast,1724,20,20,91
C0635,Public,Doctoral degree,35,29810,Plains,24143,44,,100
C0636,Public,Bachelor's degree,23,10347,Great Lakes,558,68,,59
C0637,Public,Doctoral degree,58,9239,Far West,2371,43,,89
C0638,Public,Bachelor's degree,72,43245,Southeast,25264,55,,81
C0639,Public,Doctoral degree,13,6348,Great Lakes,2956,38,18,93
C0640,Private,Bachelor's degree,45,11525,Mid East,2466,38,19,97
C0641,Private,Master's degree,66,39794,Far West,4542,78,18,95
C0642,Private,Bachelor's degree,85,21100,Southwest,2023,30,23,96
C0643,Public,Doctoral degree,68,6287,Rocky Mountains,884,59,19,80
C0644,Private,Master's degree,64,9080,Mid East,9513,28,16,88
C0645,Private,Doctoral degree,79,30950,Mid East,1747,35,20,100
C0646,Private,Bachelor's degree,39,35204,Southeast,28592,41,21,98
C0647,Private,Master's degree,77,31604,Great Lakes,3136,38,18,100
C0648,Private,Doctoral degree,66,22455,Rocky Mountains,3417,22,20,100
C0649,Private,Doctoral degree,77,33852,Great Lakes,7400,9,18,100
C0650,Private,Doctoral degree,54,10286,Plains,8510,31,,92
C0651,Public,Master's degree,64,34850,Southeast,1542,47,18,100
C0652,Public,Doctoral degree,,14868,Rocky Mountains,1629,30,20,99
C0653,Public,Master's degree,49,24660,Mid East,3800,47,21,98
C0654,Private,Master's degree,72,7200,New England,13900,55,22,91
C0655,Private,Master's degree,7,24040,Mid East,680,,19,99
C0656,Public,Doctoral degree,82,25126,New England,12818,14,,98
C0657,Public,Doctoral degree,73,6579,Southeast,6387,29,18,92
C0658,Private,Master's degree,54,29959,Southwest,4178,19,19,100
C0659,Public,Doctoral degree,78,,New England,1399,78,16,
C0660,Public,Doctoral degree,76,39120,Mid East,6634,54,29,99
C0661,Public,Master's degree,18,7466,Plains,322,48,,97
C0662,Private,Doctoral degree,93,9950,Great Lakes,1026,8,,81
C0663,Public,Doctoral degree,84,25468,Mid East,30478,29,20,94
C0664,Private,Bachelor's degree,69,7149,Southeast,633,12,19,90
C0665,Public,Doctoral degree,47,6863,Southeast,1875,28,21,93
C0666,Private,Bachelor's degree,60,23650,New England,2229,13,21,99
C0667,Private,Doctoral degree,65,34480,Southeast,2224,27,,100
C0668,Private,Master's degree,36,6438,Great Lakes,745,19,19,97
C0669,Private,Bachelor's degree,,39220,Southeast,4270,53,32,99
C0670,Public,Master's degree,36,30700,Plains,3319,53,30,100
C0671,Private,Master's degree,73,13348,Southwest,11767,13,26,85
C0672,Private,Master's degree,65,20000,Southeast,866,42,,100
C0673,Private,Master's degree,54,43656,Plains,2229,43,30,90
C0674,Private,Master's degree,78,6639,Southwest,6733,1,18,91
C0675,Private,Master's degree,25,13380,Plains,7892,19,,100
C0676,Private,Master's degree,80,28190,Great Lakes,28895,30,28,100
C0677,Public,Bachelor's degree,58,44902,Mid East,682,62,22,72
C0678,Public,Master's degree,84,9456,Great Lakes,6680,70,21,92
C0679,Private,Doctoral degree,64,45018,Great Lakes,2911,67,17,41
C0680,Private,Doctoral degree,57,32445,Great Lakes,1848,4,,100
C0681,Private,Doctoral degree,69,6624,Great Lakes,5139,84,,66
C0682,Public,Master's degree,73,6107,New England,3554,45,,75
C0683,Private,Master's degree,47,8100,New England,125,65,17,96
C0684,Public,Master's degree,68,4558,Plains,28623,48,19,99
C0685,Public,Doctoral degree,,10466,New England,4241,46,18,96
C0686,Public,Doctoral degree,,5818,Far West,8162,15,,90
C0687,Public,Doctoral degree,64,17576,Great Lakes,1755,17,19,95
C0688,Public,Doctoral degree,31,8506,Southwest,704,48,,79
C0689,Public,Master's degree,48,4528,Plains,3787,76,17,96
C0690,Public,Master's degree,54,38110,Great Lakes,38310,57,22,98
C0691,Private,Bachelor's degree,78,6343,Great Lakes,322,53,21,69
C0692,Private,Master's degree,66,5950,New England,3393,8,16,96
C0693,Private,Doctoral degree,68,34424,Southeast,1835,36,18,95
C0694,Private,Doctoral degree,86,7126,Southeast,5345,78,20,97
C0695,Private,Doctoral degree,74,42292,Mid East,9902,19,20,75
C0696,Private,Master's degree,83,5846,Great Lakes,2397,76,17,82
C0697,Public,Master's degree,89,45358,Great Lakes,2187,16,,64
C0698,Public,Doctoral degree,64,6207,Southeast,1640,18,17,61
C0699,Private,Doctoral degree,78,7140,Mid East,20573,5,21,92
C0700,Private,Doctoral degree,67,16480,Great Lakes,12024,,18,98
C0701,Private,Bachelor's degree,,7784,Southeast,962,45,19,92
C0702,Private,Bachelor's degree,91,9364,Far West,1979,65,20,97
C0703,Private,Doctoral degree,59,,Great Lakes,1459,27,19,
C0704,Private,Bachelor's degree,37,34644,Far West,3074,7,19,100
C0705,Public,Master's degree,44,9804,Southwest,6264,54,25,99
C0706,Private,Master's degree,68,23300,Rocky Mountains,1444,91,22,100
C0707,Public,Master's degree,,43554,Great Lakes,3170,25,19,68
C0708,Public,Doctoral degree,81,37400,Southeast,1554,22,20,96
C0709,Public,Doctoral degree,73,12550,Great Lakes,6301,14,17,96
C0710,Public,Master's degree,71,25736,Great Lakes,736,62,21,100
C0711,Private,Master's degree,72,21200,Southwest,2291,90,,100
C0712,Public,Bachelor's degree,85,27920,Southeast,18074,38,20,100
C0713,Private,Doctoral degree,59,6500,Mid East,1315,41,18,90
C0714,Public,Master's degree,37,18640,Plains,6225,52,20,100
C0715,Private,Master's degree,65,29732,Plains,1263,33,23,94
C0716,Private,Doctoral degree,,46285,Southeast,27292,16,20,61
C0717,Private,Bachelor's degree,26,8100,New England,16765,11,19,96
C0718,Private,Master's degree,71,7343,Southeast,8376,44,20,91
C0719,Private,Master's degree,79,32256,Southeast,5852,54,16,92
C0720,Public,Master's degree,47,,New England,5693,22,22,
C0721,Private,Master's degree,96,18770,Far West,3269,27,18,93
C0722,Public,Doctoral degree,30,8920,Great Lakes,49878,,18,93
C0723,Private,Master's degree,37,46298,Southeast,14404,24,19,67
C0724,Public,Doctoral degree,49,,Mid East,419,81,25,
C0725,Public,Master's degree,86,18900,Southeast,4043,21,17,96
C0726,Private,Doctoral degree,68,9313,Great Lakes,17004,,21,73
C0727,Private,Master's degree,69,21150,Mid East,6238,42,20,91
C0728,Public,Master's degree,83,7530,New England,2136,28,,94
C0729,Private,Master's degree,84,7181,Mid East,6725,63,15,91
C0730,Public,Doctoral degree,,6775,Great Lakes,9166,22,19,81
C0731,Public,Doctoral degree,53,7033,Southeast,1146,40,25,90
C0732,Public,Bachelor's degree,83,46509,Far West,10599,55,,75
C0733,Private,Master's degree,82,7676,Far West,23060,40,28,89
C0734,Private,Bachelor's degree,74,7140,Mid East,1419,62,18,87
C0735,Private,Doctoral degree,79,17014,Far West,6051,65,21,99
C0736,Private,Doctoral degree,91,23900,Great Lakes,2361,82,,100
C0737,Private,Doctoral degree,,5241,Southeast,1321,14,19,85
C0738,Private,Doctoral degree,77,23460,Southeast,2204,52,,98
C0739,Public,Doctoral degree,8,5250,Mid East,29127,0,17,92
C0740,Public,Master's degree,69,20595,Rocky Mountains,11674,42,25,69
C0741,Public,Bachelor's degree,65,5932,Great Lakes,26073,63,20,87
C0742,Public,Doctoral degree,47,34744,New England,449,6,24,100
C0743,Private,Doctoral degree,70,16180,Rocky Mountains,1178,82,,85
C0744,Private,Bachelor's degree,31,31368,Southeast,190,38,26,98
C0745,Public,Master's degree,67,23000,Great Lakes,10821,28,20,100
C0746,Private,Bachelor's degree,60,8412,Mid East,11118,53,16,86
C0747,Private,Master's degree,68,12776,Mid East,2257,,20,96
C0748,Private,Doctoral degree,68,10920,Southwest,3076,25,22,100
C0749,Private,Master's degree,35,25396,Great Lakes,1529,48,21,100
C0750,Private,Doctoral degree,63,23500,Mid East,3628,83,18,100
C0751,Private,Doctoral degree,48,33720,Rocky Mountains,2002,10,24,90
C0752,Private,Doctoral degree,77,35518,Great Lakes,4003,21,23,99
C0753,Private,Doctoral degree,30,26632,Mid East,3461,73,24,84
C0754,Private,Master's degree,44,38526,Rocky Mountains,10923,21,23,95
C0755,Public,Doctoral degree,72,32454,Mid East,7260,42,,100
C0756,Public,Doctoral degree,82,25740,Southeast,1164,76,,99
C0757,Public,Doctoral degree,77,10105,Southeast,1223,0,32,22
C0758,Private,Doctoral degree,14,10784,Great Lakes,1985,36,20,83
C0759,Public,Doctoral degree,,40296,Great Lakes,1998,70,17,94
C0760,Public,Doctoral degree,57,24080,Southeast,2406,58,22,100
C0761,Private,Doctoral degree,33,7343,Plains,1582,25,26,60
C0762,Public,Master's degree,64,33110,Mid East,1476,57,18,100
C0763,Private,Master's degree,81,35730,Southeast,9722,7,19,100
C0764,Public,Doctoral degree,81,24090,Great Lakes,914,18,21,100
C0765,Public,Doctoral degree,65,5745,Great Lakes,3598,6,24,90
C0766,Public,Doctoral degree,63,8878,Far West,2832,55,,79
C0767,Private,Doctoral degree,76,31880,Far West,1093,3,,100
C0768,Private,Doctoral degree,56,5598,Far West,21193,50,18,95
C0769,Private,Doctoral degree,86,43573,Southeast,3512,47,18,87
C0770,Private,Doctoral degree,51,5086,Far West,4942,41,23,74
C0771,Public,Doctoral degree,47,10726,Southeast,1225,77,18,96
C0772,Public,Master's degree,64,9065,New England,600,51,19,50
C0773,Public,Master's degree,56,8100,Southwest,4367,1,21,94
C0774,Public,Doctoral degree,76,26306,Southeast,281,35,18,100
C0775,Public,Master's degree,64,4723,Great Lakes,2910,,27,97
C0776,Public,Master's degree,74,13486,Southeast,1654,58,21,93
C0777,Public,Doctoral degree,,31612,Southeast,31278,54,19,100
C0778,Public,Doctoral degree,68,37816,Southwest,2368,5,20,100
C0779,Public,Doctoral degree,51,38030,Plains,5658,28,20,99
C0780,Public,Bachelor's degree,64,26340,Southeast,1187,26,21,97
C0781,Private,Master's degree,66,16496,Far West,22501,87,24,84
C0782,Public,Master's degree,75,7206,Mid East,1259,38,,90
C0783,Private,Master's degree,35,,Far West,4044,33,24,
C0784,Private,Doctoral degree,37,10600,Mid East,887,0,18,91
C0785,Private,Doctoral degree,65,11960,Southeast,6130,31,,96
C0786,Private,Doctoral degree,90,32310,Southeast,3419,21,,98
C0787,Private,Bachelor's degree,87,31250,Far West,906,11,22,99
C0788,Private,Master's degree,97,4605,Mid East,2630,58,20,96
C0789,Private,Master's degree,76,10816,Southeast,815,43,20,90
C0790,Private,Bachelor's degree,59,47514,New England,3987,7,18,67
C0791,Private,Doctoral degree,89,6318,Great Lakes,592,44,19,96
C0792,Private,Master's degree,30,5606,New England,3454,54,19,94
C0793,Private,Master's degree,93,25690,Mid East,51526,57,19,99
C0794,Private,Doctoral degree,67,5460,Great Lakes,24477,39,14,95
C0795,Private,Master's degree,88,22150,Mid East,2644,21,22,100
C0796,Private,Master's degree,74,28000,Mid East,5112,44,23,98
C0797,Private,Doctoral degree,78,5732,Far West,1311,9,17,91
C0798,Public,Master's degree,76,14730,Mid East,2022,,30,100
C0799,Public,Master's degree,56,35972,Southeast,12513,54,25,96
C0800,Public,Master's degree,37,44068,Mid East,6917,23,18,97
C0801,Public,Doctoral degree,74,,Plains,5015,0,20,
C0802,Public,Doctoral degree,92,5564,New England,3764,31,19,95
C0803,Public,Doctoral degree,96,17125,New England,731,35,18,100
C0804,Public,Master's degree,51,25830,Great Lakes,5847,17,17,100
C0805,Public,Master's degree,61,26170,Great Lakes,1387,20,31,99
C0806,Public,Bachelor's degree,59,31132,Southeast,1606,61,20,100
C0807,Public,Bachelor's degree,45,12564,Plains,4252,6,18,100
C0808,Public,Master's degree,54,9020,Southwest,3125,15,,81
C0809,Public,Master's degree,50,6410,Far West,1028,86,,98
C0810,Private,Doctoral degree,,43250,Far West,2942,39,,81
C0811,Private,Doctoral degree,49,6838,Plains,2009,27,,94
C0812,Private,Doctoral degree,62,6550,Great Lakes,4580,32,17,75
C0813,Private,Doctoral degree,41,31760,Mid East,3033,30,22,100
C0814,Private,Master's degree,62,23594,Southeast,21480,56,19,100
C0815,Public,Master's degree,47,13499,Great Lakes,1081,74,,76
C0816,Private,Doctoral degree,42,19790,Southeast,1225,16,19,99
C0817,Private,Bachelor's degree,,15130,Great Lakes,4977,46,16,99
C0818,Private,Bachelor's degree,42,21100,Great Lakes,2404,,18,98
C0819,Private,Master's degree,99,9192,Southeast,2988,67,17,87
C0820,Private,Master's degree,51,25580,Southeast,997,59,20,100
C0821,Private,Doctoral degree,68,8899,Southeast,3520,15,19,91
C0822,Private,Master's degree,36,46040,Southeast,981,10,,95
C0823,Private,Master's degree,98,45650,Great Lakes,16387,47,19,43
C0824,Private,Doctoral degree,63,12494,Great Lakes,2806,,16,94
C0825,Private,Master's degree,99,45320,Southeast,7110,43,,63
C0826,Private,Master's degree,,34070,Mid East,3868,60,,96
C0827,Private,Doctoral degree,93,44805,Far West,4732,21,20,53
C0828,Private,Doctoral degree,84,10262,Plains,2178,51,19,94
C0829,Private,Master's degree,,6353,Far West,18568,74,17,94
C0830,Private,Master's degree,84,4911,Mid East,24864,37,25,58
C0831,Private,Doctoral degree,75,29090,Mid East,543,15,31,100
C0832,Private,Master's degree,,8722,Great Lakes,2809,53,18,93
C0833,Private,Bachelor's degree,,13271,Great Lakes,3194,14,23,62
C0834,Private,Doctoral degree,49,43164,Mid East,6549,15,,86
C0835,Private,Doctoral degree,76,14772,Mid East,3118,,17,100
C0836,Private,Doctoral degree,69,12864,Plains,20272,27,20,69
C0837,Private,Master's degree,76,29144,Mid East,2598,31,18,100
C0838,Private,Master's degree,62,10068,Southeast,9422,19,,77
C0839,Private,Doctoral degree,74,26460,New England,3180,22,19,99
C0840,Private,Master's degree,61,4990,Southeast,410,6,18,82
C0841,Private,Doctoral degree,43,5714,Southeast,1368,,,96
C0842,Private,Doctoral degree,57,34670,Mid East,3711,54,21,99
